20090203150040AAITUBF	Pets;Other - Pets	What is a Rabbit????????????????????????…	Is it a rodent? My friend who is wrong says they are!!!
20090203154712AAvtlTA	Pets;Cats	Question about cat's accessibility to water?	I live in an apartment, and I have been told that the tenants around me have cockroaches. I have noticed a few. When I moved in the problem was bad, but the building brought in an exterminator and they went to each suite, and I didn't see any for a long time. Now I have noticed here and there a few again. I want to stop this before it gets out of hand, and I have eliminated all sources of food and water. However, my cat's food and water is left out overnight! She normally finishes what's in her food bowl by nighttime, but I'm worried about taking her water away at night. I want to empty the water bowl so they have no access to water. Will taking her water away at night be a health hazard for her? Extra info: she had a bladder stone a few years ago, got it surgically removed. She needs to have access to fresh water all the time - will taking her water away harm her?
20090203154959AAVzfJY	Pets;Reptiles	What can my frog eat besides crickets!?	help my red eyed tree frogs are very hungry and havent eaten in days, but the petstore is closed so i can't buy crickets! what else can they eat?
20090203155016AAcMx8K	Pets;Reptiles	What can I put in the bottom of our red ear slider turtle tank?	We have little rocks from the pet store and they get dirty very quickly.  It is too big of a tank to clean once a week.  We need ideas for something to put in there.
20090203153420AAM2yfp	Pets;Horses	Where can I find a EEE/WEE Vaccination?? (NOT a tetanus combo)?	My horse(before I owned her) was vaccinated against tetanus as a baby and had west nile 2 years ago.(she's now 3,turning 4 yrs.) I need to find an Eastern and Western Encephalitis(sleeping sickness) vaccine that doesn't have tetanus in it,because I need to give her a follow up shot for EEE and WEE and she's already had Tetanus before. (I'm vaccinating her myself-please don't say anything bad about this,I know what I'm doing) I also can't seem to find the prevenile vaccine in a single dose...does anyone know where I can find that at?Otherwise,I'll just bring her to the vet for that one. THANK YOU!!!
20090203153055AA77LoB	Pets;Reptiles	Do baby turtles get along with older ones?	Ok i need help. First of all i have four red eared sliders. Two baby's and two older ones that are about 3in. And i have two baby's a little bigger than quarter size. I have the baby's in a little container not two small. But i think they would be more happier in a bigger place. Any ideas?
20090203154312AABwOpm	Pets;Dogs	Two canine teeth in the same place?	My 5 month old Golden Retriever has what looks like two canine teeth coming in the same spot. He has this on both sides of his mouth. I talked to my vet and she said that the one tooth must be a baby tooth that will fall out shortly. However, I know that he has already lost his baby canine teeth and that these two teeth came out of his gum at the same time. I told my vet all of this and my vet doesn't believe me. Changing vets isn't an option. I'm just wondering if anyone has ever seen this before?      Here is a picture of one side of his mouth. The other side looks exactly the same.       http://s291.photobucket.com/albums/ll319...       Thanks!
20090203155302AAzDN23	Pets;Birds	Help I cant Choose A Bird Really Easy 10 Points ?	what parrot should i get I have all the stuff i need to get a parrot a huge 6ft Aviary and i have experience with all kinds of birds i have narrowed it down to Orange wingg Amazon,Eclectus,Timneh African Grey,Red Lored Amazon,Mexican Redhead,Mealy Amazon, Sulfur crested cockatoo,Goffin cockatoo
20090203153101AA4HAbI	Pets;Fish	What is the rule for cleaning out uneaten fish food from the bottom?	I'm feeding my discus frozen shrimp mix that sinks to the bottom. I've heard something like 15 minutes.  Does that mean to clean it out if they haven't consumed it 15 minutes or 15 minutes after they finished and left the food alone?  My fish don't finish it in 15 but they keep coming back to it and eventually finish it maybe in like an hour. I have cory cats too. Which is the correct way?
20090203153244AAMqGir	Pets;Dogs	How much should I charge to dog-sit 2 dogs and stay at their home for 6 days in Los Altos,CA?	N/A
20090203153223AAo1xx8	Pets;Reptiles	How do u disect a frog?	N/A
20090203153154AASbMpC	Pets;Dogs	Ear cropping at arizona humane society.....?	how much does it cost....and also where is a cheep place to do it at in phoenix arizona???
20090203153431AAiQcVw	Pets;Dogs	Why does my dog always try to hump me?	I have a 1and a half year old mini rat terrier (she is not fixed) and after my boyfriend and I have sex she always tries to hump us! Does anyone have any explanation for this?
20090203153442AAs4SE5	Pets;Other - Pets	Can Male rabbits pull out fur?	Or is it only females who are about to deliver?
20090203153627AAMd0TD	Pets;Rodents	Has anyone ever owned a Degu or Ferret?	i just found two extremely cute Degus available for adoption on an animal shelter site. me and my sister have been looking for a small pet such as a guinea pig, hamster, ferret, bunny, etc. and this video of these Degus is adorable.  i've had guinea pigs, hamsters, and watched over a ferret for a friend before.  so do degus have any special needs such as their diet or just needs in general i should know about??  I would get two, as they're brothers.  also, instead of a Degu, we could get a ferret. Anything useful on ferrets? please help.  Thank you! (:  chow.
20090203153656AAwQLhS	Pets;Horses	How do you become a Horse Vet?	N/A
20090203153705AAWiAbW	Pets;Dogs	Chihuahua traveling???????????????????	how much is ti to shipp a chihuahua from mexico to Cleveland Hopkins Int Airport....................................   do they have pet traveling..................................   wat do u need like rabbies shot or other kind of shots      ........................pleas.help.tha...
20090203153756AADckCf	Pets;Reptiles	My Snake was bitten by Rat will he die?	my python was bitten by a big rat a lot of times big cuts will he Die   he has big bumps on him he is 9 foot long what do i do ps ...squash
20090203153806AAdcVDt	Pets;Cats	Why does my kitten always rip up the litter box?	My kitten will go to his litter box, and when he's done he always goes to the big cat's litter box and rips it to shreds. He never does it to his though. Does anyone know why?
20090203153903AAoIi9b	Pets;Cats	Run Away Cat.............?	My cousin's cat ran away. They adopted him when he was 5 months old from a shelter. He was born a stray. They were his first home. Well, on Sunday he ran away. They had him for almost two years. It is winter where we live, and they really want their cat to come home. He does not have a tag, or microchip. He is lost.    I need tips on how to find him. I know to put up flyers and stuff, but what are some tips about looking for him. I was thinking that they look at night, because cats are more active at night. I suggest they open a can of tuna, and they walk slowly around the area, looking for him. Is that a good idea? What are some ideas you have? All help would be great, thanks :)
20090203153956AAExbmY	Pets;Fish	I need some info on oscar fish?	i am planning on getting an oscar fish and i need to know if they do well by themselves? or should they have a tank buddy?
20090203154125AAJxyfr	Pets;Other - Pets	How to train my hamster?	hey i m getting a hamster soon i have no idea what to do plz dont ask me to search up on google can u plz just write it to me best 1 gets best answer plz!
20090203154343AAwJ4Vi	Pets;Fish	How do shrimp have sex? ?	this topic came up one day with me and a friend. i know its random and maybe horny, but aren't they too small to hump each other? Is it called shrimpy sex?!? :D
20090203154605AAhN4Su	Pets;Dogs	Ah! HELP! Potty Training!!!?	Here's a little background info on the issue...      My boyfriend and I have a Westie, Oscar. He is basically potty trained just has a few forgivable accidents every now and then but that's fine because he's not even two yet. We decided to get another puppy while he is still a puppy himself. Her name is Scarlet.      Scarlet is a Yorkie/Maltese/Pekingese. She is about 11 weeks old. We got her and the breeder said that she was about 80%  potty pad trained, we brought her home and it was more like 50% tops.       So our problem is... we want her to go potty outside. We are trying the crate training. Her crate is actually our 1/2 bathroom with a gate up, she has her food and water in there because they are less likely to go potty where they eat.  She has never had an accident in the crate. We take her to go potty and say go potty go potty go potty if she goes potty then she gets to be out of the crate and play for awhile if she does not go potty then she goes back in the crate and we try again about 20 mins later. She will not go potty all of the sudden!! I put her outside and she just sits & shakes (it's freezing out by the way, we're in MN). Then I feel bad because it's so cold and put her back in the crate and try again and repeat and repeat. She still will not go and I'm afraid of like a urinary tract infection or holding in her poo too long.      Am I doing everything right? Any suggestions?! Any help at all would be sooo great! My boyfriend loves her but is extremely impatient with the potty training so I do it all (which is fine! I agreed to it so that we could get her =]) and I want to train her as quick as possible.
20090203154837AAtmFfc	Pets;Rodents	Can gerbils eat garbanzo beans (Chick Peas)?	N/A
20090203155112AAUdaHh	Pets;Cats	My new kitten licks windows from stress. Any ideas about changing behavior?	I adopted two sibling male kittens when they were 12 weeks old. Both eat and drink well. Although he didn't do this at his birth home, the smaller kitten immediately took up licking the aluminum sliding glass door frame and the aluminum framing around windows, and the glass of each. If it leads to the outside, this kitten licks it (these kittens are kept indoors). The kittens were born in a house and stayed in the same single room until we adopted them at 12 weeks old. They weaned at around 8 weeks. It is clear that the kitten is licking in response to stress. When he tries a new activity or when something changes in the room, he runs to a window or door and licks for three minutes. He will not let anything distract him. His brother tackles him when he starts, but he will not play. If I offer a fun toy, he will not play. If I pull him away, he moves right back. I do not scold him. I've cleaned all the surfaces that he licks with plain water, so at least he will not be ingesting something bad, but at some point, it would be nice to use cleansers in the course of housekeeping. I would be concerned about leaving any residue if kitty is licking. We have only had these kittens for a week and a half. I'd like to help my poor window licking kitten adjust so he doesn't need to do this. I am toying with the idea of applying a bitter deterrent to the surfaces, but I'd rather give him a better way to displace his anxiety so he stops on his own. Suggestions?
20090225065505AATz0t5	Pets;Horses	Can you ride a Shire horse or are they a bit big ?	N/A
20090203160529AAqItaJ	Pets;Cats	"Are you a dog person or a cat person"?	N/A
20090203161922AAsdI0P	Pets;Dogs	Does it get any easier? Shelter Workers?	Today was my first day at my new job, and I know that everyone says it's hard to work at a shelter. But does it get a little easier once you're used to animals being surrendered and the ones that never leave? It was so hard not to cry when a cat was dropped off today, and the cat has no idea what's going on but I know it's parent just left him to us. And the cat totally shuts down and doesn't want anyone to come near him/her because they've never been forced to live in a kennel. Or the dog that's been there for 5 months and isn't showing any progress in it's stranger anxiety and might not be able to be adopted? How do you cope? Do you let yourself cry sometimes? Or do you hold it in?
20090203162239AAfVwO7	Pets;Rodents	My hamster lost weight, OH NO?	My panda bear hamster just got over having wet tail. She didn't loose any weight then, but I've noticed that she lost some weight now. Either when I put her wheel back in her cage she ran on it a lot or something else happened. Do you think she will be ok? Oh, and I've also switched her food to something more healthy since she's had wet tail.       This is besides the point but I didn't put the question mark in the title. Y! A did...
20090203161534AAKe6mf	Pets;Dogs	What is a good name for a male chocolate lab puppy? ?	N/A
20090203162138AAqFldL	Pets;Dogs	Is an Australian Kelpie (my new favorite dog) right for me?	I am 16 going on 17 and I've been looking to buy a dog. I've looked through all the pure bread dog breeds in all of Australia 4 or 5 times each just to make sure I find the right one and I just can't get over the Australian Kelpie. I love their looks, especially the pointy ears and all the color choices. My family and I already have a miniature Australian shepherd. I looked on pedigree.com.au and it says the kelpie has excellent compatibility with other pets and animals which is a plus, but then other sites said that they get aggressive when bored. I also have 5 acres of land with a barbed wire fence around it so it could get away if it ran off, but training or a long chain could accommodate for that sort of thing. Any help???
20090203162333AAIVwOI	Pets;Reptiles	Do baby bearded dragons change colors?	I got my baby bearded dragon last thursday and he started off an orange like color and he was eating and everything and now he is a brown color and he will not eat and all he does is sleep could these be affecting him and should i be worred and a side note i ran out of crickets on the 3rd day so he went a couple of days with out them does is this a problem. i have new crickets but he will not eat them?
20090203160024AANXGbN	Pets;Horses	Is this realistic for me?	I'm 13, will be 14 soon.   I started loving horses since birth, and riding since 8.   I've went through so many phases, but let me tell you, I don't think horses are a phase I have a real passion for horses.      This is what I want to do when I get older.   Own a barn with 10 stalls (2 of these will be mine.)   Go to college for equine chiropractics. (This will be my main income)   Go to college for farrier services.(Just do it for me & my boarders)   Go to college for training. (Again use this for me & my boarders)      So, I will be able to board up to 8 horses.    Is this realistic? Can I live off of that?
20090203160400AATyQK0	Pets;Dogs	Dog question??????????	wuts the best breed to get and y?
20090203160538AAj3hto	Pets;Rodents	Used to love? rats... ?	i just got 2 baby male rats and at first they were licking me and stuff but now im not so sure there licking me like i saw there teeth come and i pulled away why?
20090203160145AAwvqHw	Pets;Reptiles	Reptile & exotic pet show?	when i was watching animale planet i saw somthing thing that said reptile & exotic pet show if you know what im talking about can u plz tell me were its located the commercal went to fast
20090203162403AAZDgNH	Pets;Dogs	Another pet quiz @!!!!!!!!?	1 breed that bites the hardest    (THERE IS PROOF)  2 war dogs (HINT in the book "cracker")  3 biggest dog  4 the dog that there owners had to make a webcam to check on them when they were at work  5 know as the "hot dog, dog"  6 old yeller
20090203162917AAMWQ6X	Pets;Fish	Confused about my pregnant fish?	so im almost sure my fish is pregnant (balloon belly molly)    should i buy her a breeding net from petco   or a tank divider from petsmart, which is safer for her and the babies?      and for those of you whom think im stupid because she has a big belly and im just making assumptions, im not!   I had a balloon belly molly give birth before and lost all the babies because i wasnt prepared!
20090203161520AAzkQ5m	Pets;Fish	What is wrong with my goldfish it is smiling?	N/A
20090203161258AAq4Hxe	Pets;Reptiles	How long does a green sea turtle live?	N/A
20090203160300AA1EwcI	Pets;Horses	I NEED CRIT!!!! ME & HORSE!!!!?	Alright, how can I get him more collected and faster. Also, just a bit more 'on the bit'. He needs alot of encouragement and is still slow. I NEED a way to make him faster. Please dont say 'use a crop' or 'kick him more!!' HE IS BEING VERY VERY ENCOURAGED!!!       http://www.youtube.com/watch?v=r3gxo2gsr...       or channel       http://www.youtube.com/user/X0treameXjum...       comment too         OMG BE SPECIFIC! LIKE A SPECIFIC EXERSIZE! PLEEEASE!   (i need a much much faster gate... is there a way? Or should I sell?)
20090225064616AA1jhcI	Pets;Cats	Does your cat go through the garbage?	Do you cats knock over your garbage pale?  My newest cat loves going through the garbage!  She rips open tied bags and starts ripping up paper towels and anything else she can find.  I wake up in the morning and the kitchen is a mess!  How do you think I should handle this?  She does it in the middle of the night when I'm sleeping.
20090203162427AAanFAr	Pets;Dogs	Do female dogs HAVE to be in heat to get pregnat?	Apparently my two min pins went at it for the first time and got stuck together.  She's not in heat but I'm scared she might get pregnat already.   My never-wrong-boyfriend says she has to be in heat in order for her to get pregnat.    Is this true?   Thanks in advance.
20090203160545AALUwsq	Pets;Other - Pets	What kind of cat is this,[pic of cat]?	N/A
20090225065026AA5HvN8	Pets;Cats	Do I need to take my cat to the vet?	I have a 3 year old male cat.  He has been fixed since he was a kitten.  Lately, he keeps throwing up all over the house.  Sometimes it has big hairballs in it other times it just like he didn't chew his food.  He is an indoor cat and eats purina cat food for indoor cats.      Also, he has recently started peeing on laundry.  He pees on the dirty laundry in the baskets sitting on the floor mostly but has occasionally gotten in to a bag of brand new clothes and peed on them to.        Help, I don't know what to do.
20090203160506AAhWSOu	Pets;Rodents	How many babies does a rat have at most?  ?	i have a preganet rat who is very large at her belly. how many babies does a rat have at most?
20090203155453AAv7V0t	Pets;Dogs	In regards to dog training, what is your definition.....?	For dog training, what is your definition of a correction?        Please give me a detailed exampele of what you would consider a correction.  You are welcome to give more than one example as well.      You do not have to actually be the type of trainer that uses corrections in your training either.  I am just curious as to what people perceive.
20090225065032AAQN8jQ	Pets;Cats	How do i stop my cat from going out of the house at night?	he's a big fella, he likes to get out as soon as anyone opens a door, and will return in the morning.   the problem is the dogs outside have killed 3 of my cats, and I don't want this guy to get hurt.   but more importantly, he fights with other cats and returns home with injuries, which make him look really bad.
20090203162629AAgvNnT	Pets;Dogs	When should I take my dog off of puppy food?	My rottweiler is 13 months and about 90 pounds. I give him solid gold organic large breed puppy food. It is meant to not make dogs grow so fast to prevent diseases like hip dysplasia.       Just wondering when to switch to adult food.
20090203160008AAUBQnH	Pets;Cats	What can I do for avoid my cat put its nails in my leather sofa?	N/A
20090225064541AAsIy0Z	Pets;Other - Pets	Wolf Freaks!! WHY??? This couple are nuts!?	We recorded this & are just watching it now. Why would she feel she has to put herself through this to be with him? Why would he insist she had to? If he wants to be up close with the wolves, fine, let him. Why cant she just live with him outside the enclosure & he can go do his stuff whenever he wants. WOW...i think both have a screw loose!
20090203161443AAVwxq3	Pets;Dogs	Do dog bones have calories? Is it bad to feed your dog lots of bones? If so, how much is too much? ?	N/A
20090203161551AAbi9b2	Pets;Fish	If someone uses usps priority mail and lives in the same state as me will it still take 3-4 days to get here?	i live in alaska and someone is going to send me some fish UPS for $50 but i could drive there for a little more than that. USPS priority is $10 n i wuz wondering if it will get here in 1-2 days since it is so close
20090203155912AAerXF7	Pets;Birds	PARAKEETS??????????????????	can u tell me what they need and how to take care of them ty
20090203155526AAPdXzQ	Pets;Birds	Ok im sorry for every ones cunfushion but i cant get a ferret but i can get a parakeet yeah so plz rehelp me ?	yeha plz help me ty
20090203161348AAJ0iO3	Pets;Dogs	Which names fits better for this breed?	Izzie, Zena, or Zora  I want a Australian shepherd female and im not sure what to name it which one sounds better to you....if you want you can tell me a different name that is not in this group. I like names hat have Z and X's in them! =]
