20060817121730AAhxF3J	Consumer Electronics;Games & Gear	Qual é a vantagem que eu ganho respodendo isso?	? tenho a dizer
20070222024934AAgNZnp	Consumer Electronics;Land Phones	As conversas ao telefone s?o gravadas e armazenadas pelas empresas de telefonia?	N/A
20061120090742AATxmKb	Consumer Electronics;Other - Electronics	Porque avi?o tem farol??	N/A
20070113162731AAUL3Qk	Consumer Electronics;TVs	O que você acha do programa Panico na TV ?	N/A
20061201083117AArlTCB	Consumer Electronics;Cell Phones & Plans	Alguém sabe um site bem bacana ae?	Tipo de humor ou coisas legais, sem ser de video como o youtube
20061120083206AAQ7BJK	Consumer Electronics;Other - Electronics	Qual o melhor lugar para se fazer as compras de Natal???	N/A
20061204033227AAzigqB	Consumer Electronics;Cell Phones & Plans	Você gosta de celular?	Até que é importante mas as vezes me enlouquece
20061207153618AA0eRwF	Consumer Electronics;Other - Electronics	Porque ninguem responde as minhas perguntas??	N/A
20061207153721AA9ZgTl	Consumer Electronics;Other - Electronics	Porque as veses sempre ninguem responde as minhas perguntas??	N/A
20061211181316AAxlmPA	Consumer Electronics;Music & Music Players	Tenho direito de exigir q meu produto seja trocado quando aparece defeito?	depois de dois dias de uso. obs um mp3 ,comprado no mercado livre.
20070104090756AA7RdE4	Consumer Electronics;Other - Electronics	Como posso ser um rádio-escuta sem prefixo no Echolink?	N/A
20070104173014AA77rL8	Consumer Electronics;Other - Electronics	Posso ligar um computador sem o estabilizador?	N/A
20070205092250AAYkRbJ	Consumer Electronics;Land Phones	Qual a melhor escola de samba que existe em s?o paulo?	eu acho que é a gavi?es da fiel
20070225063821AAXpWKw	Consumer Electronics;Cell Phones & Plans	Qual e a melhor marca de celular no momento?	qualidade e aceita??o no mercado, já comprei uma marca que a 3 vez que ele deu defeito
20070331192728AArDwYO	Consumer Electronics;Cell Phones & Plans	Telefone celular ou internet, de qual dessas duas "febres da modernidade" vc abriria m?o com mais facilidade?	N/A
20070808105236AAVjM57	Consumer Electronics;Music & Music Players	O que é um auto falante pentaxial?	N/A
20080306123615AAsLbJw	Consumer Electronics;Land Phones	Voce tem identificador de chamadas no seu telefone fixo?	estou com vontade de colocar,já estou cansada de atender trotes...rsrsrsr...   beijos a todos....
20090427153453AAGetZ3	Consumer Electronics;TVs	Can you have to powerful of hdtv antenna or to big?	N/A
20090203102458AAGGw6k	Consumer Electronics;Cameras	What's wrong with my camera?? :[?	ok so i was just watching a random video i had on it and it just shut off automatically. so i tried to turn it back on and it would stay on for  3 seconds and then shut back off. it couldn't have been the battery because it was still 3/4 charged. and i checked if the battery was in right and it was, so it couldn't have been that. so what could be wrong?? do i have to bring it back and change it? :/    pleasee help.
20090203101756AA7H2T8	Consumer Electronics;Cameras	Does anyone know how to upload pictures with the SD memory card already in the computer?	I recently got a digital camera.  Of course the first thing i do is go out and by a memory card.  When i went to upload the pictures on my computer, nothing shows up.  I have a computer where you can put the memory card into, so i don't need the USB cord.  I don't know what other files to look into to search for these pictures. I searched around the internet and nothing seems to work thus far.  If someone can explain, that would be greatly appreciated.
20070327051105AAj3nR6	Consumer Electronics;TVs	Que horas é o jogo  Brasil x Gana  hoje?	N/A
20070412103155AAC0zt6	Consumer Electronics;Other - Electronics	Uma boa marca de monitor?	N/A
20070808021740AASTwqq	Consumer Electronics;Other - Electronics	Apa sic perbedaan komputer sama leptop dan kenapa orang lebih suka leptop di banding komputer?	N/A
20080324095251AArgFuk	Consumer Electronics;TVs	Quero comprar uma TV de LCD, qual é a melhor marca?	Estou querendo comprar uma tv de LCD de pelo menos 32" com boa qualidade e bom pre?o, o que vocês me indicam???
20080919041228AALUruI	Consumer Electronics;TVs	O que é o correio eletr?nico?	fale no sentido geral
20090203104957AAMlF7p	Consumer Electronics;Cameras	My camera does have a zoom and its just basically a local band?	thanks for any help I just never used a camera that had a video camera on it also if its low light in there will it be difficult to videotape
20090203110248AAftblP	Consumer Electronics;Cell Phones & Plans	On sony erricson w910i?	there is red phone with an arrow pointing right at the top of my screen, what is this, it is not to signal divert is on
20090203113514AAYf66R	Consumer Electronics;Cell Phones & Plans	Please Help!!!!! Samsung Headset?	I've got a Samsung WEP500 and i need a replacement Silicone ear tip/bud for it, and i can't find one for love or money. Please see picture.       Thank you in advanced       http://images.google.co.uk/imgres?imgurl... 
20090203114037AA2VRS2	Consumer Electronics;Cell Phones & Plans	What is a good ringtone?	I need a good new ringtone for my new cell phone. can anyone help me out? Please no one say "it depends on what type of music you like" or anything along the lines of the abc's, elmo's song, twinkle twinkle little star, etc.   thanks!
20060614110621AAlTzev	Consumer Electronics;Other - Electronics	Quais s?o os melhores sites de tecnologia brasileiros?	N/A
20090203114203AAuMrES	Consumer Electronics;Cell Phones & Plans	Will i be notified that my orange magic number has been added?	N/A
20090203114255AAdtL0R	Consumer Electronics;Cell Phones & Plans	Sony Ericcson C905 - Speaker broken?	Hi, please help!! This is the THIRD time the bloody speaker has broken. It works on loud speaker but not when i hold it to my ear. I'm pretty sure it has something to do with the use of my handsfree cable that came with the phone...as i used it this morning and this evening its broken. I'v had the phone replaced once and repaired once..this must be a product fault surely i'm not the only one...any one got any ideas?? And how many times wil Carphone Warehouse fix it before I have to pay? (I havent got insurance)
20090203114323AAh7sZw	Consumer Electronics;Cell Phones & Plans	Would I be able to buy a Blackberry and put my Virgin Mobile sim card in it?	I want a Blackberry buy my Virgin contract isn't up for another year. Would i be able to buy the new Blackberry on Orange Pay As You Go and put my Virgin sim card in it or would I have to get it unlocked, and how would I go about doing that?
20060619182202AAwYpNL	Consumer Electronics;TVs	Qual a melhor marca de televis?o?	N/A
