20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20070201080524AAPehPi	Entertainment & Music;Polls & Surveys	Have you ever been stopped by a police officer for the sole purpose of them to flirt with you?	This happens alot when the female cops see me, they turn there sirens and lights on and always force me to pull over even when I've done no wrong.
20070201122156AA7wF25	Entertainment & Music;Polls & Surveys	When is the next full moon, and then next new moon?	N/A
20070201123753AAbAz1r	Entertainment & Music;Polls & Surveys	Have you ever did Drugs or Somked a little crack?	I
20070201225801AACWRWC	Entertainment & Music;Television	MTV's dance life song that plays during blakes dvd release performance?	it is the song that plays during blakes performace with those four girls at his DVD release party....it sounds like the singer is saying something like "that girl, that girl is like magic" or something like that.
20070202113836AA08Gy6	Entertainment & Music;Polls & Surveys	How much is too much... and...?	when is it not enough?
20070202173418AAyD1M1	Entertainment & Music;Music	Which is the site for free download of malayalam music?	N/A
20070211210302AAYrvfQ	Entertainment & Music;Comics & Animation	How does ranma 1/2 end?	N/A
20070211150251AA1BuAS	Entertainment & Music;Polls & Surveys	What do you think about my website???	OK i know that i have a LONG way to go before it's done but i would really like to know what you think of it.   Be brutally Honest, i dont want you to just say what i want to hear. say exactly what you think of it.    :)      thank you!      the website is    http://www.freewebs.com/bahafaith/index....       remember it's not done yet but still be Honest, i need to know what to improve on.
20070209184850AASSpcJ	Entertainment & Music;Polls & Surveys	What methods do you employ to deal with worry?	N/A
20070208165336AASR3OY	Entertainment & Music;Celebrities	Ashley Tisdale???Britney Spears??	Is Ashley Tisdale taking the place of Britney Spears???                Cuz I hear people say that...is it true
20070208093641AAnhSbi	Entertainment & Music;Polls & Surveys	I'm so ______ I could just_________?	N/A
20070208103959AAYebTt	Entertainment & Music;Polls & Surveys	When do you usually go for the big one, in the morning, at work or in the evening?	N/A
20070213003725AAujNuS	Entertainment & Music;Polls & Surveys	Was it ok for me to go skinny dipping as a kid?	N/A
20070209010116AAn8HdW	Entertainment & Music;Polls & Surveys	Have you ever just twirled your dress or skirt to show off what you got?	N/A
20070209010306AAtz8B2	Entertainment & Music;Polls & Surveys	Has there ever been a real occassion to just wave your arms in the air like you just don't care?	N/A
20070212102941AAeCrD9	Entertainment & Music;Music	What about linkin park's new cd?date of release..name.etc.?	N/A
20070206045553AAh2nxG	Entertainment & Music;Movies	Anyone here found the movie 'soccer dog:european cup' very good?	i liked it immensely but in reviews ,they used all sorts of slangs to describe it!
20070207204257AAPNCkH	Entertainment & Music;Movies	What is "HDNet Movie"What is it????????????????????????????…	N/A
20070205084155AAi2W8C	Entertainment & Music;Jokes & Riddles	The things that people do?!?!?!?	1. People who point at their wrist while asking for the time.... I know   where my watch is pal, where the **** is yours? Do I point at my crotch when   I ask where the toilet is?     2. People who are willing to get off their *** to search the entire room for   the TV remote because they refuse to walk to the TV and change the channel   manually.     3. When people say "Oh you just want to have your cake and eat it too." Damn   right! What good is a cake if you can't eat it?     4. When people say "it's always the last place you look." Of course it is.   Why the **** would you keep looking after you've found it?     5. When people say while watching a film "did you see that?". No Loser, I   paid $12 to come to the cinema and stare at the ******* floor.     6. People who ask "Can I ask you a question?".... Didn't really give me a   choice there, did ya sunshine?     7. When something is 'new and improved!'. Which is it? If it's new, then   there has never been anything before it.
20070208162724AAqgaKa	Entertainment & Music;Music	What song is in the video?	the website is right here       http://www.youtube.com/watch?v=p5-yPavKH... 
20070210191852AAGZefO	Entertainment & Music;Music	Is David Silveria out of Korn?	I was just cheking the preview of the Korn MTV Unplugged, and i found another rabbit fella playing the drums, any idea of what is going on? in the official website he still appears as a member but...    Only one thing, spare me the pain of stupid answers to get some points. Just real info please.
20070204113400AA4QKcR	Entertainment & Music;Television	There was a tv commercial a while back with a man singing crazy (by seal) - anybody know who he is?	he sang it with guitar only
20070204133727AAoXFhj	Entertainment & Music;Music	Song Ideas?	I am 11 amnd just got an ipod I need help finding songs I like songs that are rap hip hop country and other stuff like that Some example songs i like are smack that Crazy b****h
20070205172421AAoiyEZ	Entertainment & Music;Comics & Animation	Can someone help me find sites that have bleach manga in english????	N/A
20070205205831AAapaFm	Entertainment & Music;Celebrities	Abhishek Bachchan - no looks, no acting skills, sheer luck in a dynastic Bollywood?	Abhishek Bachchan is in the news everywhere nowadays. Not because of his acting skills, but because of his pedigree & the proposed marriage with THE Aishwarya Rai. Some people, it seems get everything in life on a platter.    When you have Amitabh Bachchan as your father, the Sahara group of Subroto Roy uncle to back you up & Amar Singh uncle to give you political mileage & Z+ security (atleast in Uttam Pradesh of Nithari fame) what more can you ask for in life?    While street children in Nithari were being butchered, Mulayam Singh & uncle Amar Singh were busy felicitating Abhishek Bachchan for his immense contribution towards the development of Uttar (Uttam) Pradesh.    If I rope in Bollywood's biggest production houses, finest directors, leading actresses, famous technicians, richest financiers with multi-crore promotion budgets, even an *** would deliver a hit. But does that make The *** a fine actor?
20070206084334AAGkgNO	Entertainment & Music;Polls & Surveys	Favorite Superfriend?	N/A
20070206210927AAw9yeP	Entertainment & Music;Polls & Surveys	WHAT IS THE BEST INTERNATIONAL CALLING CARD TO CANADa...?	Im looking to buy a $5-$20 international calling card but i will only be calling CANADA so which one is best?
20070208075505AApSOoh	Entertainment & Music;Polls & Surveys	Como reagir com um bando de fofoqueiras?	Gente tá terrível!!! Até no meu orkut ficam curiando!! Pior s?o as que tem idade da minha m?e... Eita gente chata, ninguém paga as minhas contas!!! Pior que tem uma amiga que só me conta fofoca delas, me fazendo ficar com mais raiva... E eu n?o quero mais saber... Essa minha amiga vive fu?ando o orkut de todo mundo, até o meu, quer saber de tudo, parece um interrogatório...
20070208123746AARLiXd	Entertainment & Music;Horoscopes	What Is The Best Match For A Male Taurus?	N/A
20070208155142AAdVDjV	Entertainment & Music;Polls & Surveys	What in ladies do men find them attractive?	N/A
20070208160451AAckczZ	Entertainment & Music;Television	Has naruto taken dragon ball z's place?	I personaly think it has gone far beyod the screming,multi-color palm blast, unbeatable, constantly having a new form, sayians.This the next generation of shonen jump, get out the past and look at the future" Every Saturday At 7:00 (check your local listings) on toonami"
20070208174320AA7DmoF	Entertainment & Music;Comics & Animation	What dose debut maen?	N/A
20070208190835AAUo1PA	Entertainment & Music;Movies	Was the movie "the departed" over rated?	who's performance stood out? what did you think of the ending?   anyone else but me faill to see how this was nominated 5 times?
20070209051937AArQv2X	Entertainment & Music;Celebrities	Amir Khan' Mail ID?	Can anybody give me Amir Khan's mail ID?
20070209123841AAr0GRC	Entertainment & Music;Celebrities	Do you like Los Lonely Boys Music?	Me, my Wife and 10yrs like them good other in are is Motor Head ,Tina Turner and Clay Aiken,
20070209163829AAEFWif	Entertainment & Music;Music	Music artists-creative process?	Do music artists usually create the track first,or write the lyrics?Or does it just usually depend on personal preference?
20070210014652AAUrwXw	Entertainment & Music;Jokes & Riddles	Oh my god! My friends joke! Star me for it!?	Coming out of the garage rain is pouring down; it is like a torrential down pour. There is snow mixed in with the rain, and the wind is blowing 50 mph.  Minutes later, I returned to the garage.     I came back into the house and turned the TV to the weather channel. I find it's going to be bad weather all day long, so I put the clubs back in the garage, quietly undressed and slipped back into bed. There I cuddled up to  my wife's back, now with a different type of activity on my mind, and whispered, "The weather out there is terrible."    To which she sleepily replies, "I know! Can you believe my stupid *** husband is out golfing in this ****? "
20070211104142AAiUMkz	Entertainment & Music;Celebrities	Whats the name of this comedian?	i remember watching this comedian who seemed really depressed and he was on letterman back in the 80's so this was filmed a while ago. he was really witty but acted really bummed out. he had a low voice and talked kind of slow. he had frizzy hair but was balding.
20070211140851AACFh0U	Entertainment & Music;Polls & Surveys	I saw this girl in the city streets...?	She had small red leather skirt on with knee-high boots and fish net leggings. She had a leather jacket with only a bra under it. SHE WAS A REAL BABE!!!! She asked me to come with her to this nifty alley and she pulled off her shirt. SHE THEN MADE ME PAY FIFTY DOLLARS. I walked away. Who was she and what should I have done?????
20070211140518AAM6ogb	Entertainment & Music;Polls & Surveys	If you had a crush one of  your best friends...?	and he ended up liking your other best friend....what did you do...?
20070211201823AAcXKNF	Entertainment & Music;Music	OK, Little Survey Here, do you like Marching Bands?	im in it and i was JW because there are a lot of diff opinions
20070211204734AA13cq8	Entertainment & Music;Music	Grammy Winners?	Who won album record and song of the year at the grammys?
20070211221005AAYrymo	Entertainment & Music;Comics & Animation	Dexter's mom on Dexter's Laboratory.?	Does she look hot and sexy?
20070216154639AAa5fa9	Entertainment & Music;Polls & Surveys	What do you think of this video?	 http://www.roxwel.com/player/kaiserchief...       brand new single
20070215102857AA3M1zG	Entertainment & Music;Polls & Surveys	What and who makes you happy?	N/A
20070303061238AAdjSpJ	Entertainment & Music;Polls & Surveys	Why is our relationship so tumultuous?	highly agitated, as the mind or emotions; distraught; turbulent...
20070226043813AAG0wPz	Entertainment & Music;Polls & Surveys	Drink driving story -- What do you think?	A routine police patrol parked outside a local neighbourhood tavern.Late in the evening the officer noticed a man leaving the bar so intoxicated that he could barely walk.The man stumbled around the car park for a while,with the officer quietly observing.After what seemed an eternity & trying his keys on 5 vehicles,the Man managed to find his car which he fell into.He was there for a few minutes,as a few other patrons left the bar & drove off.Finally he started the car,switched the wipers on & off(wasn't raining),flicked the indicators on,then off, tooted the horn & then switched on the lights.He moved the vehicle forward a few cm,reversed a little & then remained stationary for a few more minutes as some more vehicles left.At last he pulled out of the car park & started to drive slowly down the road.The police officer,having patiently waited all this time,now started up the patrol car,put on the flash flashing lights,promptly   pulled the man over and carried out a.... continued-----
20070225033518AAV7et3	Entertainment & Music;Television	Hogan Knows Best?	today on hogan knows best, hogans son and daughter were singing a song about speedos...i was wonderin if anybody had the lyrics to that song...it was funny    thanks for any help
20070216173424AAjmYny	Entertainment & Music;Music	What's this song?	it's a old hindi song. has a man and woman in a boat, and they keep teasing each other. then they go to a bridge. i think it has madhubala or another famous actor
20070220152151AAbEbh0	Entertainment & Music;Polls & Surveys	Why is it that upon first meeting someone new...?	people always ask "what do you do for a living"?    I'm always tempted to say mortician just to see what the say.
20070216163252AAJ7CSM	Entertainment & Music;Polls & Surveys	Anybody want?	An alien kitten? (See picture.) I just can't take care of them right. Can you come to my 360 page and right click? Take as many as you want. Does it matter if they are easy to take care of, box train and lovable?
20070308114833AALz6h8	Entertainment & Music;Television	What TV Show is this from?	"We do not live in this world alone, but in a thousand other worlds."
20070220145047AAMV1Tx	Entertainment & Music;Polls & Surveys	Who is the sexiest man alive in holly wood?	N/A
20070220145411AA5obpl	Entertainment & Music;Polls & Surveys	What do u do when all ur questions don't post?	N/A
20070220223742AA0k5ez	Entertainment & Music;Music	Does anyone like the song Big Papa? and do any of you like 2pac?	you know the song that goes "throw your hands in the air if youse a true playa!"
20070308113556AA0HC6k	Entertainment & Music;Television	Vcs do yahoo! resposta n?o tem o que fazer n?o????	kraca vcs n?o tem nada pra fazer n?o, tem gente que tem mais de mil pontos , outros com mil e quinhentos!!! vcs sabiam que tem coisas mais interessantes pra fazer???? sei que as vezes é bom está aqui, mais em excesso enjoa!!! se toca!!!
20070309141314AA9dmRH	Entertainment & Music;Television	Alguém viu e lembra do filme em que o personagem ia para fran?a e era confundido com um espi?o secreto?	Para quem tem mais de 35anos, este filme passava na sess?o da tarde e era com um adolescente que ia fazer um curso de francês (se lembro bem) e no aeroporto era confundido com um espi?o (tipo 007) e daí ele ganhava um carro todo equipado e tinha vários equipamentos de espionagem. A miss?o era proteger uma garota, e no final, claro ele fica com ela. Quero  muito saber quem é o ator e se ele continua fazendo filmes.
20070312072600AA0J6wg	Entertainment & Music;Movies	Votereste per me?  http://www.off-festival.ro/con…  Il manifesto è Cristina si Nicola. GRAZIE!!!?	Stò concorrendo ad una manifestazione che deciderà quale è il miglior manifesto per un film festival a Bucarest, Ma ho bisogno di voti. Mi aiutereste??? Dai ragazzi, forse non è così che dovrei fare, ma vi prego, aiutatemi! GRAZIE! questo è il link       http://www.off-festival.ro/concurs.php?p... 
20070312091138AA2qFSA	Entertainment & Music;Polls & Surveys	Ho bisogno di tutto il VOSTRO AIUTO!!!?	Stò concorrendo ad una manifestazione che deciderà quale è il miglior manifesto per un film festival a Bucarest, Ma ho bisogno di voti. Mi aiutereste??? Dai ragazzi, forse non è così che dovrei fare, ma vi prego, aiutatemi! GRAZIE! questo è il link  http://www.off-festival.ro/concurs.php?p...     Il manifesto da votare è quello con scritto sotto CRISTINA SI NICOLA. Possibilmente mettete le 5 stelline!   Grazie mille
20070301124629AAcFiJl	Entertainment & Music;Music	When do more t in the park tickets go for sale?	N/A
20070225193709AAGLDNm	Entertainment & Music;Music	HELP ME FIND A SONG PLEASE!!! its r n b?	im trying to find this song its goes like "tell me what your thinking about, tell me am i just wasting my time, tell me if im annoying you" and 2 guys sing it and one has a low voice which he repeats things. ive tried tell me in google and looking up the lyrics but i not finding anything, PLEASEEEE HELP ME!
20070215105215AAxZC6L	Entertainment & Music;Movies	How to download hindi movies from torrent sites?	N/A
20070309121706AAIgPf6	Entertainment & Music;Polls & Surveys	For all the 17 & 18 year old guys...?	what essential characteristics(both physically & emotionally)do you search for in a girl.for a serious relationship that is.      what attracts you most?      thanks guys!   (can you pls write your age too,if you don't mind)
20070307010339AAgkneu	Entertainment & Music;Celebrities	Is it true???	I heard tat Brandon jay mclaren(red ranger of power rangers spd) is dead.. Is it really true???if true gimme some links about this news...
20070224135555AAzHBUJ	Entertainment & Music;Television	Predictions on American Idol. i say sonjaya.?	N/A
20070216231249AAESHVZ	Entertainment & Music;Music	Do you have .....??	an icebox where your heart used to be???..=D.
20070214154441AAAHXE4	Entertainment & Music;Polls & Surveys	Do you think ?NashvilleGirl4Life? has lived a perfect life so far......?	Read her "about me" section on her profile (yes im nosey)       http://answers.yahoo.com/my/profile;_ylt... 
20070223213251AAjdt24	Entertainment & Music;Polls & Surveys	What's the name of the kid who stars in the new Maggi advertisment?	The one with those spokes of hair, and who shows off the Maggi packets, etc. Chilli Chow, etc....
20070213184438AAV953W	Entertainment & Music;Celebrities	Are denzel and isiah washington brothers?	N/A
20070213194945AABlAe2	Entertainment & Music;Music	Who had the worst performance at the Grammys?	personally for me it was Carrie Underwood trying to sing the Eagles.I'm sorry i like her i really do but she's not good live.
20070214090017AACRdG1	Entertainment & Music;Music	Where could i find free sheet music online?	i am trying to find sheet music from jazz artists like kim waters and najee
20070214103147AALYvO1	Entertainment & Music;Music	Funny song?	My friends dad has a song on his comedy Cd. and it is I'm a genuie in a body but instead of that is like i got my wennie in a body baby, someone come please help me out! or sumthing like that!!
20070214101402AALnLY9	Entertainment & Music;Music	What music do you like to clean to?	i need something with beats to make me want to clean for im lazy ;\   any suggestions?
20070214103548AAXAZxf	Entertainment & Music;Polls & Surveys	Do you like my website?	Can you give me any tips about more things I can add or whatever? And can you tell me your opinion on it like it is? It is  http://www.justemily.zoomshare.com/ 
20070215080807AAbOyXZ	Entertainment & Music;Television	I missed last weeks show is there anyway to see that show  I missed?	abby and luka are getting married????
20070215122805AAxwI9I	Entertainment & Music;Polls & Surveys	How do i get a real pic on my avatar instead of theese brats dollies?	N/A
20070215132845AAnNLfi	Entertainment & Music;Polls & Surveys	Pictureish?	 http://i121.photobucket.com/albums/o209/...  the necklace in this picture...what is that symbol called?and what does it mean? i know its not The Star Of David..so what is it?
20070215181325AAoVcQN	Entertainment & Music;Music	Hoo likes hip hop or country?	N/A
20070215230453AAF855u	Entertainment & Music;Music	Anyone know of any good indie bands?	Let me know, I'm looking to update my music library! :D
20070216031432AAPAi5a	Entertainment & Music;Television	Is Sam Tyler mad or in a coma ?	N/A
20070216080706AAJRZRr	Entertainment & Music;Polls & Surveys	Whats ur favorite color?	whats ur favorite color of the rainbow
20070216104559AA0ng4z	Entertainment & Music;Celebrities	Is Pete Wentz Getting Married???	I read on a website somewhere,  That Pete Wentz was getting married to Ashlee Simpson,  Is this true,  Is the worlds sexiest man getting married???
20070216180953AAoStxq	Entertainment & Music;Polls & Surveys	Do we just imagine everything, or does it all really exist?	N/A
20070216213012AAGP1Pp	Entertainment & Music;Other - Entertainment	Who here doesn't like High School Musical?	I totally hate it. hate it. Hate it. HATE IT!!      Does anyone else not like it?
20070216225834AAA0zgH	Entertainment & Music;Celebrities	Why do shahrukh khan copy amitabh bachhan?	N/A
20070217095110AAzi8xY	Entertainment & Music;Movies	Lyrics to for all my days sung by mary hopkins?	lyrics to for all my days sung by mary hopkins soundtrack to kidnapped 1971 version
20070218204700AA3TEiT	Entertainment & Music;Celebrities	How old is Pete Wentz?	tell truth cuz pple say he's    -36   -27   -23
20070219135044AANgQMI	Entertainment & Music;Music	Can anyone tell the who sings "Down in the Boondocks"?	N/A
20070220150037AAbJx3e	Entertainment & Music;Polls & Surveys	What are you wearing right now?	N/A
20070220181940AA5Ebqx	Entertainment & Music;Music	I need help with a song?	the begining starts off  with like a cross between pac man mario tune it raps about a white boy wanting to be black
20070220182322AAyL6lv	Entertainment & Music;Music	Does anyone know the song that plays on the new iPod commercial?  Please HELP ME!?	N/A
20070220183528AAmE90c	Entertainment & Music;Music	What's that one Evanescence song? It was very popular in the begining- has piano in the begining of the song	Thanks =]
20070221095411AAgrTQN	Entertainment & Music;Movies	Need a first date dvd to watch?	N/A
20070222110523AAHrVqv	Entertainment & Music;Polls & Surveys	What will you choose as the greatest invention of all time in the Human History?	N/A
20070222121347AAyAG8f	Entertainment & Music;Polls & Surveys	What do you love to abuse?	N/A
20070222130025AAKkpjR	Entertainment & Music;Polls & Surveys	I have to ask this - what would your rapper name be?	N/A
20070222192139AA35EHw	Entertainment & Music;Movies	Does anyone know where i can watch the decline of western civilization parts 1 & 3 online?	N/A
20070222192245AAVYJXR	Entertainment & Music;Music	Where can i find Rudolph the Red nosed reindeer sheet music for the alto saxophone?	N/A
20070222203253AAOHn7Y	Entertainment & Music;Polls & Surveys	I'm in love with you, why don't you say you love me back?	:(
20070223001928AAvDvmp	Entertainment & Music;Celebrities	Who is the first miss universe?	N/A
20070223083629AActKpo	Entertainment & Music;Celebrities	Who is the more popular in world between Amitabh Bachan & Aishwarya Rai?	N/A
20070224041012AAaEKTs	Entertainment & Music;Movies	Question about the movie Castaway starring Tom Hanks!!?	Near the end of the movie Tom Hanks character delivers a    Fed Ex parcel,what was in that parcel?Why did he feel compelled to deliver it?
20070224060456AA1VuzX	Entertainment & Music;Celebrities	Why do they call the"Oscars" an academy award?	N/A
20070224130708AAUeYv2	Entertainment & Music;Polls & Surveys	Do you think that the Number 23 should be hogtied and thrown in the cellar until it learns to behave?	N/A
20070226021127AAWJ0r6	Entertainment & Music;Celebrities	Where can i get the contact number of the laughter challenge winners like Navin Prabhakar,Rajiv paul etc?	Its really urgent.Please reply soon
20070226060211AAwrNQR	Entertainment & Music;Television	I am in love with the show 24. Does anyone have any advise on how to stop myself from thinking of it always?	N/A
20070227012657AAOiPWJ	Entertainment & Music;Polls & Surveys	WHAT is your biggest issue with the state of your COUNTRY???	eg. polusion, racism, government, crime
20070301141836AAPRN2G	Entertainment & Music;Other - Entertainment	Aus welcher richtung kommt das glück?	N/A
20070303184531AABx5pL	Entertainment & Music;Television	What song was playing on the hills at the end of episode 6? a girl singing "I've been waiting for this moment"	N/A
20070303205837AAmvT0J	Entertainment & Music;Movies	Kindly post prashant anzhagan movie?	the film in which prashant acted as a lady.
20070304001931AABEmOH	Entertainment & Music;Movies	Eijaz khan id please?	N/A
20070304220508AAtfpM3	Entertainment & Music;Television	Whos going to win vh1's i love new york?	better be ...chance
20070305195648AABDBEY	Entertainment & Music;Music	Anyone know of a keyboard similar to the roland: Jupiter-8?	I was wondering if anyone either knew where I could find a roland jupiter-8, or, if someone knew of a similar keyboard.
20070306012525AAdlALZ	Entertainment & Music;Horoscopes	Can neone predict  my future?????plzzzzzzz?	my birth details are 18-02-1986   at 03:05pm tuesday kolkata....n plz say bout my love life.marrige(when) n career.....
20070307081919AAykZKF	Entertainment & Music;Television	Quem assistia Chapolin??	Já era neh..nunca mais passou an tv, pelo menos nunca mais vi, !!! Saudades, lembra da′pedra que flutuava? eu adorava!!!!
20070307142356AAtQQLm	Entertainment & Music;Movies	Red fern movie questions?	i have seen both movies and i know that in one of the movies the devil cat(mountain lion at the end) gets away. Which one is it the original or the newer disney version?
20070308095608AAV5WAy	Entertainment & Music;Polls & Surveys	Did you earn it or sleep your way up...?	to Top Contributer?
20070308101023AA6GFHK	Entertainment & Music;Television	Quem sente saldades do brasil ????	N/A
20070309065712AASemdz	Entertainment & Music;Jokes & Riddles	Did you know.......?	there are three rules of getting older and if you live long enough, well;    1.  Never pass a bathroom     2.  Don't waste a hard-on     3.  Never ever trust a fart
20070310180947AArJhDw	Entertainment & Music;Television	One Tree Hill?	will OTH continue showing episodes? i mean is there gonna be a season 5? and when?
20070405025220AABIVr3	Entertainment & Music;Polls & Surveys	Given the opportunity, would u walk on Saturn?	N/A
20070323151347AANi0dW	Entertainment & Music;Polls & Surveys	What is your favorite past time when you were younger?	Can you give a little description about your favorite past time when you were younger or while you were growing up?  Also, I don't mean to be rude, but, do you still enjoy this past time now while you are an adult?
20070320023258AAQbRTV	Entertainment & Music;Polls & Surveys	Did you think that Ricky Bobby looked hot running around in his tightie whities on the track?	mmmmmmmmph!!!  Yeah!!!      Shake and bake!!!
20070312170032AAYBBFo	Entertainment & Music;Music	Any New songs that i could download into my ipod?	Im more into Hip Hop, Rap, R&B and Rock.
20070322132700AA0BYxC	Entertainment & Music;Polls & Surveys	What for you?	is happening all over again?
20070418100154AAy2pn7	Entertainment & Music;Polls & Surveys	Do you remember when we met ??	N/A
20070418143157AAVR1v2	Entertainment & Music;Music	What Is The Name Of This Tongan Song ?	I've heard it many times through the years by different people but I never knew the name.....I hope someone can help me with this, please        http://www.youtube.com/watch?v=Nn_bytv1h... 
20070418152003AA24VHF	Entertainment & Music;Polls & Surveys	Well Bye Everyone, Will You Miss Me ?....I've Reached My Daily Limit Of Asking Questions.?	N/A
20070425112016AAHoCCY	Entertainment & Music;Polls & Surveys	Do you just answer questions to get points?	Or do you it to acutally help people? Be honest.
