20090309232421AAIV19H	Games & Recreation;Video & Online Games	What's the next class update for Team Fortress 2?	I'm hoping for Demoman. Then Soldier, then Engineer, then Spy.
20090225095552AA3U2iO	Games & Recreation;Hobbies & Crafts	Answerman, who will supply me with 50 State quarters?	I've a collection of circulated 50 State Quarters (out of loose change when I was in the 'States) but I'm missing a few, I'm looking for a small US dealer who can supply the missing ones, good condition circulated or BU, doesn't matter which. I'm not a serious collector, I'm going to frame them for my grand-daughter.
20061106102857AAcNehU	Games & Recreation;Video & Online Games	Are they going to be selling playstation 3 at COSTCO?	N/A
20070102233953AAXUsao	Games & Recreation;Other - Games & Recreation	Sapete vero che...?	...non potete starnutire con gli occhi aperti? Provare per credere!
20070121003826AA6DS9y	Games & Recreation;Other - Games & Recreation	If marbles are not made of marble, why are they called marbles?	N/A
20070103150234AAPdKNw	Games & Recreation;Video & Online Games	Magic workstation?	10 points for the guy that can give me a link to a site where i can download magic workstation crack but online version of MWS.i want to play solitare but i cant with non-registered version..help??
20070110061720AAUoufi	Games & Recreation;Hobbies & Crafts	Do you enter competitions for a hobby?if so whats the best magazine/website please?	N/A
20090225091832AA9LoUT	Games & Recreation;Other - Games & Recreation	Nintendo DSi help plz?	can i trade a normal ds for a dsi to get it cheaper? & if so what shops can i trade it at in england?
20090225083801AAWDye1	Games & Recreation;Video & Online Games	I want to know if WoW is any good?	I've heard its a good game but i don't know if its any good. I've been playing Dungeon Runner for a while but it has gotten old and boring and i've been looking for a new and better game. Is WoW really that good and if so, can you tell me where to get. Thanks!
20090225083529AAQ8pGE	Games & Recreation;Video & Online Games	Could somebody please help me?	I need to find detailed information about Video Game Animation and Video Game Animation Careers .    But Google just doesn't seem to help me in any way .    So i'd appreciate it if somebody in that field or somebody who doesn't use Google for everything would help with full points up for grabs :D  .
20090225082158AAS76nv	Games & Recreation;Video & Online Games	Ds: How do i connect to my access point :)?	I have a laptop the connected to the internet via wireless ,   how do i connect to it on my ds?   i have no ideaa what im doinn i need help :\   when i search for an acces point it comes up   " the access point's security settings are not supported by nintendo...."   anyone have any idea why?      oxoxo
20090225083403AALVgAq	Games & Recreation;Video & Online Games	Warcraft 3 The frozen throne?	Hi   Is there any hero map which heroes level's can be more than 25 ?   Thanks for any help
20090225081549AAn1f34	Games & Recreation;Video & Online Games	Sims 2 Pets (PC) fish tank malfunctions....?	Why can't I see fish in any of the fish tanks I buy even after I restock them and everything...   Are you even supposed to see fish?
20090225083701AACjQ7G	Games & Recreation;Video & Online Games	Does anybody know of any good game sites that arn't blocked?	N/A
20090225075653AAvqmQr	Games & Recreation;Video & Online Games	I want to install quake 1 on m y windows xp so i can play it with the expansions?	i have all the expansions for quake 1 and i have a version of quake i downloaded and every time i try to install the expansions it says you must have quake installed to do so, and it pisses me of because i cant find a version that will INSTALL it on my pc and i want to so yea, anybody know of one?
20090225082813AAxh6nj	Games & Recreation;Other - Games & Recreation	I'm bored....... Anybody fancy playing a game?	If so, what game???
20090225090413AAX1vcz	Games & Recreation;Hobbies & Crafts	How much would an antique sewing machine be worth today details below?	antique essex 1950's sewing machine complete with manual and original brown leather carry case
20090225090808AAadYEd	Games & Recreation;Video & Online Games	Ro Question ,im really interested?	Would anyone trade rebirthro items for a black account with full gears thana gtb ect.
20090225091420AAeJCfM	Games & Recreation;Video & Online Games	Sims 2 inseminator? where can i get it?	so the website is down.. so where can i get it from.. please help    thanks
20060803220141AANiqLL	Games & Recreation;Video & Online Games	Xbox 360  live connectivity?	Can i just use my regular ehternet cable to connect or do i have to purchase a certain kind for the xbox 360.
20060809204215AAxJZo8	Games & Recreation;Video & Online Games	Gunz Online?	I wanna play gunzonline cause i hear its great. I downloaded the set up perfectly. When i opened it up it said RUNTIME ERROR. Wat do i do to fix this.
20060912174751AA2zulo	Games & Recreation;Video & Online Games	Call of duty 3 ps2?	I really wanna know more about this game. Especially online. I know everything about the story mode but i dont play story mode. Is the game ganna have buddy lists, stat tracking, and in-game clan creation any of these. Please help. And does Call of duty 2 on 360 have it.
20060902164244AAbRZRL	Games & Recreation;Video & Online Games	Will someone PLEASE give me the codes for MAFIA and HITMAN:CONTRACTS on Ps2?	I desperatly need the code for infinite health for the games MAFIA and HITMAN:CONTRACTS.  i need the ones i can manually put in from my ps2 controller.( example: up,up,left,triangle,down,circle) Thank you so much!!!!!!!!!!!!!!!1
20060909101255AA8KVde	Games & Recreation;Video & Online Games	Any1 know of a good 2d mmorpg game like maple story that you have to dowload of interent and is free?	don't include dragon's gem pls.
20060910214454AAX9i2c	Games & Recreation;Video & Online Games	In MAPLESTORY, is there such thing as a bandit/sin, and if it is, wat is it?	N/A
20061009183347AAzDrj0	Games & Recreation;Video & Online Games	I need to know where I can find the lyrics and full length song for you'll lose a good thing?	N/A
20061013145129AAXtgRf	Games & Recreation;Video & Online Games	Connaissez vous un site de jeux pour enfants?	N/A
20061109002816AAWpxDn	Games & Recreation;Video & Online Games	Is there any way a person can cheat on yahoo naval command?	this dude confessed to me after losin to him 5 times that he was cheating on naval command?! How the hell is that even possible?! I just thought he was a good plaer. Boo on me I guess.. =(
20061118233357AAF4W7w	Games & Recreation;Video & Online Games	Why can't I use 1,000 needles?	I spent the 35 lp on the technic, but I cannot use it.  I don't understand it at all.  Help please!
20061208173629AAZ07yj	Games & Recreation;Other - Games & Recreation	Anyone have one of those fun e-mail quizzes?	You know, number your paper 1-10, etc etc..?
20061217232331AAFX1HE	Games & Recreation;Video & Online Games	More help please on Maplestory...?	Why do you think the job magician is the best?   Where do i find turkeys?   For beginners - where do i find tood - how -to - hunt    & henna for the mirror? They are in a specific place.... BUT I CAN'T FIND THEM....
20061219151722AA1yQa2	Games & Recreation;Video & Online Games	I'm stuck in the remove program?	it's in the middle of unistalling bricks of egypt i can use the inernet it just dont look like its making any progess in removing this progamn yahoo games i have windows xp
20061224191058AAowys9	Games & Recreation;Video & Online Games	Does any one know where i can get a free trial of the Sims 2?	id like to try it befor i buy it...
20070106193747AArlVtd	Games & Recreation;Video & Online Games	How come the game thing woun't open?	N/A
20070119154423AAMtu2D	Games & Recreation;Video & Online Games	Great virtual dog site care to join?url inside?	 http://www.furry-paws.com/index.php?refe...    This is the best site ever you will absolutly love it.Trust me.If you sign up(free) then message me there my id number is 394564
20070121061323AAe6Lk0	Games & Recreation;Card Games	Need to know the rules for the card game rummy?	N/A
20070121110434AAPVrFo	Games & Recreation;Hobbies & Crafts	Does anyone know how to do telekaneisus?	N/A
20070126185917AA5DsW6	Games & Recreation;Video & Online Games	What is wrong with pogo? everytime i log in i get booted right back out  .. when i try to load a game?	N/A
20070127151949AA9cihu	Games & Recreation;Video & Online Games	Where to go to play online lan games?	N/A
20070730100641AACNJh3	Games & Recreation;Card Games	Black Jack mit System?	Mir ist aus dem Fernesehen bekannt, da? man Black Jack mit System spielen kann. Ich  m?chte mich spa?eshalber mal damit besch?ftigen, und freue mich über jeden Tipp von Euch.
20070421115725AAPjJls	Games & Recreation;Toys	Where would I find Dragon Ball Z action figures?	At a retail store.  Not online.
20070402120521AA8zQ2i	Games & Recreation;Gambling	Online Casinos?	So, out of curiousity, is it illegal to do online gambling in the U.S. and if it isn't then what are the ins and outs of it all?  How does one place bets, gamble and collect winnings or hand out losses?
20070203081116AAOgQOf	Games & Recreation;Other - Games & Recreation	Kanufahren?	Wer von euch ist schon einmal Kanu gefahren und wie waren die Erlebnisse dabei? Seid ihr schon mal gekentert?      Ich bin letztes Jahr schon einmal gefahren und dabei zwei mal gekentert. Einmal war es ausversehen und das andere mal konnte man nichts dafür.
20070316123923AAs0GqH	Games & Recreation;Video & Online Games	Wieso meinen m?nner ........?	das sie das alleinige recht auf die fernbedienung vom fernsehger?t haben?
20070726071148AACUSL0	Games & Recreation;Other - Games & Recreation	Wer kennt nette einsame Badepl?tze im Raum Leipzig..?	oder südlicher?? Also keine offiziellen Str?nde sondern eher unberührte Natur wo man mit der Freundin auch mal allein   (sein) (hin)kann?
20071018111252AAqPX8j	Games & Recreation;Gambling	Sollten wir es noch einmal versuchen?	 http://www.youtube.com/watch?v=JDahrKdv9...     http://www.youtube.com/watch?v=ak9hOF3YB...     http://www.youtube.com/watch?v=ti25Fb9Av...          Wie w?rs organisieren wir noch mal ein solches Rennen nach modernen Gesichtspunkten..wird das nicht ein irrer Spass werden?   Wer hat ein paar Vorschl?ge?
20070614092400AAG1zpH	Games & Recreation;Hobbies & Crafts	Aggiustare modelli in piombo?	Vorrei sapere come si fa per aggiustare dei modelli in piombo. Ho un cavaliere che ha perso la punta della lancia! Posso crearne una io e sostituirla? In che modo? Esistono paste modellabili??
20070326104644AAuvOjU	Games & Recreation;Other - Games & Recreation	Di che materiale sono...?	Di che materiale sono fatti esattamente i piattelli utilizzati per il tiro al volo/al piattello???
20070328143923AAsrUiK	Games & Recreation;Other - Games & Recreation	What is the next word in this list?	leave   plateau   remember   day   too
20070203065307AA6gkit	Games & Recreation;Other - Games & Recreation	Anyone else slept in igloo lately?	March is coming... so are few first time igloo dewellers heading North.. out for a day or fews days with the inuit for a night in the igloo complete with dog teams....are you coming....
20080227184904AAkTCUm	Games & Recreation;Video & Online Games	I need help in dragonball z budokai 3 for the ps2?	can anyone tell me how to make adult gohan break into the dragon arena? (i need to to know because thats how i get pan)
20080302204054AA4lHvy	Games & Recreation;Video & Online Games	How to get pan in dragonball z budokai 3 in ps2???	tell me who to use to get pan in dragon arena because i heard that you need adult gohan to break in while you do dragon arena
20070213161932AAvS8x9	Games & Recreation;Other - Games & Recreation	What can i do if im bored?	Im really bored..its around 7:20..and theres a mini blizzard goin on. What can i do?
20070408173525AA7SeQs	Games & Recreation;Video & Online Games	Zedla twilight princess: how do u blow up that big firey rock.?	it is on the side of the mountain
20080102061121AA8BLGx	Games & Recreation;Video & Online Games	PSP , rapport qualité/prix?	Je voudrais m'acheter une PSP neuve Slim&Lite si possible.   Est-ce que ?a vaut vraiment le coup ? Y a -t-il des risques à l'acheté d'occasion, quelle est la différence de prix neuve/occas. ? Et les jeux, sont ils bien ???   Enfin bref, est-ce qu'elle vaut le coup ?
20070806100859AA8zFkk	Games & Recreation;Video & Online Games	How do u get Boba Fett in lego starwars?	N/A
20070324174834AA9JQRQ	Games & Recreation;Video & Online Games	Are games like Habbo hotel?	I want a game where you can create a character.   Please no Club Penguin, Runescape, Neopets..etc., the boring stuff
20070324102432AAzSCNV	Games & Recreation;Video & Online Games	Ratchet and Clank or Timesplitters 2?	I have about $13 and if I buy used i can get either of them. What would you rather get?
20070309165825AAknE1g	Games & Recreation;Video & Online Games	What Kind Of Pictures I can use for my Marapets Club??	N/A
20070501090517AAerLQc	Games & Recreation;Other - Games & Recreation	Was ist eine Rheinmetall Schreibmaschine wert??	habe eine schreibmaschine von rheinmetall-borsig, baujahr 61 und noch voll funktionstüchtig. was ist denn das teil noch wert??
20070128190945AAevBYA	Games & Recreation;Video & Online Games	Where is the best place to watch House for free online?	N/A
20070821160821AA6N6tX	Games & Recreation;Video & Online Games	Where can i find dog food on harvest moon gc?	N/A
20070131123053AAnN4K8	Games & Recreation;Card Games	I want to change my name for poker how do i do it?	N/A
20070410142009AAvAfpe	Games & Recreation;Video & Online Games	In multiplayer in halo 2 what is best weapon combination to have primary and secondary? and why?	tips .......   opinions   experts   sites
20070410142241AAn5lGn	Games & Recreation;Video & Online Games	What are the best tips and ticks on playing halo 2 for the xbox?	site   info
20070206144613AAJgTqd	Games & Recreation;Video & Online Games	Do any major bosses enter the burning legion server on world of warcraft?	bonus ?,,,,who is the hardest boss to kill any where on the world ofwarcraft game and on the horde which server or realm  has the most poeple
20070212082518AAifnMD	Games & Recreation;Other - Games & Recreation	Where can i find games?	ween jjjkkididiidiidididididiiddididididididi...
20070215184136AAQDOiI	Games & Recreation;Video & Online Games	Help, im looking for a game?	well, the game was like you had to trigger something in order to get something else   like you had to hit the bell in order to wake up the person sleeping and he had to go wake up someone else         does anyone know what game im talking about      or something that sounds similar to that?
20070228235914AAnS7R1	Games & Recreation;Gambling	Is there a uk lottery?	N/A
20070306172009AAgfn4W	Games & Recreation;Video & Online Games	Which version on maple story is better?	i am undecide between the 'maplesea' or the 'GLOBALmaplestory'. i am english speaking, but would be happy with playing people from all walks of life.   and of course which model is more fun to play?
20070309110631AAkV4ll	Games & Recreation;Video & Online Games	Big fat awesome house party help?	ok well i just started today and i finished all my duities and  i want to do something now and i cant find anything to do on it now. my pop bar and my comun. bar are not even half full so uh now what??
20070309144941AAIoIzi	Games & Recreation;Video & Online Games	Zack & Cody Tipton Trouble for DS?	I'm on alien invasion level, and need to jump up using gum onto ledge on the left.  Which i can not do no matter how many times I try.  Please help any one know how to do this?  Is there a trick to it I'm not getting?  Thanks
20070310140342AA1XSsH	Games & Recreation;Other - Games & Recreation	Does anyone have a promotion code for Country Jam 2007 in Grand junction?	N/A
20070313082133AAJuHNm	Games & Recreation;Video & Online Games	How to download more faster?	I would like to play corum and MU online but all needs to download at download.com which will need to wait up to 11 hours! My com will be exploded by that time so what are more faster way to download the files?
20070314080347AAmio0l	Games & Recreation;Video & Online Games	Master Ball in PKMN Ruby?	Where do you find it??????
20070323163515AA0L3s8	Games & Recreation;Video & Online Games	Which of these is the best Wii game?	I'm trying to decide which Wii game to buy.  Based on whatever criteria you want to use, how would you rank these games?   1. Wario Ware   2. Cooking Mama   3. Trauma Center
20070323165535AA5W51t	Games & Recreation;Video & Online Games	How do you get a shiny charmander in Pokemon Emerald?	BESIDES gameshark.  Is it possible to breed a charizard and a shiny charmander will hatch? If so what are the odds of getting one? PLEASE HELP!!!!
20070326212508AAi7ZUH	Games & Recreation;Video & Online Games	Is there anything else thats free not incuding runesape and maplestory??	i play runescape,maplestory,and club penguin,and adventure quest,but i need someothergames to play.ive heard this othergame call dynasty but when i type it up it doesnt work!im not looking for youtube,addicting games or anything.i,m looking for online adventure.thx
20070331044653AApQHTf	Games & Recreation;Gambling	Yahoo lottery programm?	N/A
20070408200525AAHBFSl	Games & Recreation;Other - Games & Recreation	Stuck in Pokemon Orange (Naranja)?	Im at the second island where i got the lapras, but afterwards im stuck. I cant go anywhere. waht do i do?
20070411170322AA4mAvq	Games & Recreation;Video & Online Games	Does anyone have a xbox 360 for sale?	it can be used but it has to work
20070413160306AAAl1qh	Games & Recreation;Video & Online Games	Which game should I get for the PS2?	Major League Baseball 2K7 or MLB 07:  The Show?
20070414063655AA8AOvB	Games & Recreation;Video & Online Games	Does anybody know where I can play Pokemon red version for free on the computer?	I have searched google and yahoo but i didn't find it.
20070414160621AAHXkIL	Games & Recreation;Video & Online Games	How come when i get on launch and it wont ever let me play videos?	N/A
20070419163436AAfL5cG	Games & Recreation;Hobbies & Crafts	Que les paresen los simpsons??	soy fan y quiero saber ... quien mas??   :)
20070424222228AA5TtAf	Games & Recreation;Toys	Paintball Store?	i need help to find the nearest store to east la.  it has to sell the kingman spyder vs3 tho. i dont care what protection it has as long as its goo. thank you.
20070505182255AAZ6GqE	Games & Recreation;Video & Online Games	How to kill a Bronzong? (Pokemon DP)?	I've been trying to beat the Elite Four these days and Lucian's Bronzong always troubles me.      Is there an effective way to beat the little bugger?   (I've tried fire moves like Fire Blast or Dark moves like Bite or Crunch and it didn't do much...)
20070507055234AAsgSpq	Games & Recreation;Other - Games & Recreation	Wie baue ich einen Dinosaurier, er soll ziemlich gross und stabil sein.?	Ich m?chte ein Gerüst aus Draht bauen, aber wie bekomme ich das ganze stabil.
20070507141454AACpWxE	Games & Recreation;Video & Online Games	Where can I find the legendary Pokemon called Arceus?	I'm really mad because I went to Wikipedia.com and it said that you need the azure flute but you need to get it on a ''nintendo event'' and I don't know whats a nintendo event,please HELP ME!!!
20070508120450AAvjBZU	Games & Recreation;Video & Online Games	I'm trying to play canasta and the table window keeps saying 'error connecting to server', how can i fix it?	N/A
20070519121951AAdj6hC	Games & Recreation;Video & Online Games	Where can I find redberries in Runescape?	N/A
20070601094849AAtisFr	Games & Recreation;Video & Online Games	In pokemon fire red where do u get the hm cut?	N/A
20070623224816AA385gq	Games & Recreation;Other - Games & Recreation	Divx TV and Movies?	does anyone know some good sites where i can watch divx television shows and movies for free that uses the divx player?
20070613131904AAq7J6C	Games & Recreation;Video & Online Games	What edition should of the xbox 360?	premuim or core
20070619131108AArMVnb	Games & Recreation;Video & Online Games	I have a problem catching pokemon from johto or kanto i know how to use migrate but?	can someone give me a list of pokemon i can catch on pokemon diamond or pearl   Please!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!...
20070707014002AAVpiwi	Games & Recreation;Other - Games & Recreation	Random Question Game.?	My boyfriend and I are playing this game where we ask each other questions back and forth and have to answer them. The questions can be anything.      But I'm sort of running out of ideas, and of course, we don't want that, because the game will end.      Does anyone have any random questions?
20070711184006AAZi4D1	Games & Recreation;Video & Online Games	Sims mermaid?	i was wondering if anyone had a sims 2 mermaid cheat...one where your sims can be mermaids without a download. if you know a download site please tell me.
20070804021543AAiMoRh	Games & Recreation;Amusement Parks	Ich m?chte mit meinen Kihdern gern mal einen Freizeitpark besuchen. wei? aber nicht o genau welchen. Ki.s.3u.2	N/A
20070806100622AA6keel	Games & Recreation;Video & Online Games	How muc can I get for these things at gamestop?	A old ps2, that looks REALLY beat up, but still plays, A copy off DDR Super Nova, 2 ddr mats, a copy of Grand Theft Auto San Andreas, 1 Ps2 controllers, 1 ps2 memory card, and of course all the required wires.
20071120111247AAKL2h0	Games & Recreation;Video & Online Games	How do I put on backgrounds for my Stepmania songs, i've tried I just find it too hard, I can't understand it.	N/A
20071025160346AAciyrR	Games & Recreation;Video & Online Games	Unlocking characters on Naruto Clash of ninja Revolution?	How do you unlock people, online places aren't telling me.
20070807103559AA79ROD	Games & Recreation;Other - Games & Recreation	Lost my shoes at the fair?	I was at the fair wearing some nike slides and white socks and I went on a ride where loose shoes weren't allowed. I had to take them off and when the ride was over, my shoes where gone. I had to walk around the rest of the day at the fair in my socks. Has something like this ever happened to you? Or have you seen it happen to anyone before? I asked the guy at the ride what I could do about my shoes being gone but they said there not responsible for lost objects.
20070909101223AAyJQpd	Games & Recreation;Other - Games & Recreation	Warum trinken M?use keinen Alkohol?	N/A
20071110120423AAxFxKS	Games & Recreation;Other - Games & Recreation	Breakdance-Schule Hannover?	Kennt jemand gute Breakdance-Schulen in Hannover?   Und ist es mit 20 zu sp?t ?
20071114191806AA26RtA	Games & Recreation;Video & Online Games	Apakah kita main mario bross tetap harus di nintendo? atau ada mario bross untuk di play station?	N/A
20071128090813AAeqgt3	Games & Recreation;Hobbies & Crafts	Gutes  und günstiges Anf?ngerteleskop?	Sollte nicht mehr als 100 euro kosten, gerne auch weniger und für anf?nger geeignet sein. bitte nur antworten, wer wirklich ahnung hat und auch sagen, warum das teleskop gut ist.
20071202032245AAmXxyV	Games & Recreation;Other - Games & Recreation	Wo krieg ich Mossflower von Redwall als Buch neu(!) zu kaufen?	Suche das Buch Mossflower aus der Reihe Redwall vom Omnibus-Verlag NEU.
20080309125716AAxzXh5	Games & Recreation;Video & Online Games	Does Gamestop let you trade in games?	N/A
20090227103623AA4yzbr	Games & Recreation;Video & Online Games	Where can i download free new released movies online? to burn to a dvd?	N/A
20090227103056AAIxgPm	Games & Recreation;Video & Online Games	Will big fish games work?	hi so i have a vista computer 32bit  and i am just wondering will big fish games work on it
20090227100401AAozfMz	Games & Recreation;Video & Online Games	In the adult swim game, my lil' bastard, how do you teach them to use the toilet?	Thank you for answering!
20090227112559AAt7GxN	Games & Recreation;Video & Online Games	Call of duty 4.hardcore hq & map pack team death match.?	will the hardcore hq and map pack team death match stay on after the weekend??
20090227095407AAF84px	Games & Recreation;Video & Online Games	Shall i order a nintendo dsi.. or not?	My birthday is coming up and i want to get a nintendo ds but i dont know weather to get a ds lite or a nintendo dsi?    Which is best and can you tell me what the ds lite can do?
20090227102940AAOeJzQ	Games & Recreation;Video & Online Games	FREE HABBO COINS HERE!!!!!?	go to  http://www.surveymonkey.com/s.aspx?sm=hn...  and fill in the survey!! Then in 30 mins or so FRR COINS APPEAR IN YOUR ACCOUNT!! I TRIED IT!!! Only works once tho...so be wise!! Dont do too many coins or the person who runs it wont give you anything!! Select a sack at the most!!!!  Look quick!!
20080327115222AAspVKZ	Games & Recreation;Video & Online Games	Who wants to join my Rainbow Six Vegas 2 Clan?	Who wants to join my Rainbow Six Vegas 2 Clan for the xbox 360? if you do i need for you to have an account at www.gamebattles.com and leave your gamertag in the response.
20090227100125AAysdxv	Games & Recreation;Video & Online Games	How do I put Nintendo DS roms onto my DS?	regular roms you download from places such as 4 shared- the roms in question in the english translated pokemon platinum. i heared that maybe sd cards come into it at some point, what are these (I think i know but not sure) and what type would i need, step by step instructions.      Thanx :)
20081022073802AAZGgfL	Games & Recreation;Video & Online Games	Help me choose between these 2 games?	Ok i cant decide between fable 2 and far cry 2?      They look like both amazing games but the decision is just to hard.       Which one do you prefer and why?
20090227101158AAO7oVA	Games & Recreation;Video & Online Games	In your opinion what is the best sims 2 game?	i already have nightlife and open for business i wanna know what one i should get next
20090227100352AA6bYuL	Games & Recreation;Video & Online Games	Where can I watch STEP UP& STEP UP 2 online for FREE?	& Please dont just give me any site, it's annoying and not helpful
20090227102543AAjcNoS	Games & Recreation;Video & Online Games	Will Resident Evil 5 have different difficulty modes?	I played the demo and its frustrating really. It always seem like my AI controlled partner is either dying and i need to go help her by killing 10 zombies or she dies and the game is over. Will the real game have different dificulty modes?
20080312071146AAvbxl0	Games & Recreation;Toys	Does nobody know how much is a droid  (robot)?	i need to know please someone helpme!!!!!!1
20080817100044AAYQb5z	Games & Recreation;Other - Games & Recreation	Secondo voi.........?	Chi è più famoso tra Spiderman e Batman?            Per me Spiderman!    è una cosa ke non mi fa dormire da giorni xD         Comunque colgo l'occasione per salutarvi! Domani parto!   Buone vacanze a tutti :D   
20090227071018AAWhfJ4	Games & Recreation;Video & Online Games	How do you do the ruin the roots Dizzywood mission?	The one where you have to get rid of the plants?
20090227103204AAPblE8	Games & Recreation;Video & Online Games	Where is the helicopter with rockets on GTA4?	i just got 100%last night( first time ive ever done that in any gta and ive own all of them for ps2&3)and i go to all the anilator helicopters in the game but they still only have the mini gun.where is the one with rockets?
20090227095249AAKweGx	Games & Recreation;Video & Online Games	Is there a way to get me un-muted on runescape?	i got muted somehow and my friend really wants me to talk and all i can say is i cant answer that on quick chat
20090227103427AAAdKWx	Games & Recreation;Video & Online Games	Can Anyone please help me? (CLUBPENGUIN) ?	Can anyone give me one of their accounts. Please, please. I want to play sooooooooooo bad. And i don't want to go through creating one. I promise not to touch anything of yours :). PLEASE? please?
