20081216115611AABL5VF	Entertainment & Music;Music;Other - Music	Sapete scrivermi questa canzone?	nonla traduzione, ma le parole:   Great DJ - The Ting Tings   grazie in anticipo...
20090219174002AA2yzAq	Entertainment & Music;Polls & Surveys	What you write in blood on a wall?	N/A
20090219181123AAclk8r	Entertainment & Music;Polls & Surveys	What's the nicest thing someone's said to you today?	N/A
20090219173917AAwyrIz	Entertainment & Music;Polls & Surveys	I'm on polls and surveys a lot.. have you seen me around?	Thumbs down for yeses and thumbs up for nos  ..
20090219173926AAwfZIw	Entertainment & Music;Polls & Surveys	Poll; What is your worst Phobia?	N/A
20090219173939AAS7t1T	Entertainment & Music;Polls & Surveys	Poll: Do you assume people are talking about you when they aren't speaking english around you?	N/A
20090219170246AAWRN8I	Entertainment & Music;Polls & Surveys	Who's your favorite rapper?	N/A
20090219175856AAljAqK	Entertainment & Music;Polls & Surveys	What is you opinion on Spam?	The meat product, not the junk e-mail kind.
20090219175401AAaxSt6	Entertainment & Music;Polls & Surveys	Poll: has this ever happened to you while on the phone ?	the person you are talking to falls asleep.   it has happened to me several times i didnt think i was that boring but maybe i am.
20090219173156AA5mFDq	Entertainment & Music;Polls & Surveys	Are you pro-choice of pro-life?	I'm very on the line with this.       I'm not too big on killing babies,    but I'm not too big on having them either.             Oh and I'm not pregnant. This is just curiousity.
20090219171412AAo3ija	Entertainment & Music;Polls & Surveys	POLL: Did you ever wish there were more ratings?	like a smile for this answer made you laugh
20090219173951AAUPYJU	Entertainment & Music;Polls & Surveys	Random question about grilled cheese?	ok i just ate grilled cheese with ketchup and was wondering what you think about eating it that way    do think its weird, gross, yummy never had it??? tell me
20090219180518AARqWxg	Entertainment & Music;Polls & Surveys	Have you ever had a teacher that you really attached to?	i have this teacher that helped me so much with alot of things and now and she makes me feel better about myself and she helped me a ton. have u ever had a teacher like this
20090219173014AAHhNmF	Entertainment & Music;Polls & Surveys	Do you have any friends or family that are always never wear shoes?	N/A
20090219174821AAKpXDt	Entertainment & Music;Polls & Surveys	POLL:  What is your opinion about therapy?	N/A
20090219171148AAaHt7n	Entertainment & Music;Polls & Surveys	Can you name 10 random things about you?	Ellen was trying to name 25 this morning :9
20090219172323AA35yTs	Entertainment & Music;Polls & Surveys	When a member of the opposite sex winks at you, what is your first thought?	N/A
20090219172147AAg7smT	Entertainment & Music;Polls & Surveys	So what have I missed the last 10 years?	...I need to know if anything exciting has happened in the last decade.      I've sorta been missing a lot, i just got out of Alcatraz....yea it wuz a bit rough i guess.
20090219173224AAQrnSi	Entertainment & Music;Polls & Surveys	What is your favorite song or band to listen to when...?	you want to get moving in the morning??   i listen to the sex pistols. they get me going
20090219180849AAOajfr	Entertainment & Music;Polls & Surveys	Poll:Gushers or Fruit roll-up?	I say Gushers.      Can you please star me?
20090219180114AARf6kg	Entertainment & Music;Polls & Surveys	Has anyone ever switched your coffee with Folgers Crystals?	N/A
20090219171859AA775Cx	Entertainment & Music;Polls & Surveys	SURVEY :  So why exactly are you on Y!A right now?	N/A
20090219170216AA9dDgR	Entertainment & Music;Polls & Surveys	So today is my birthday and..?	someone left me a gift with no name. it was so nice that i wanted to repay them by taking them on a trip to anywhere on the world. was it you? to make sure your not lying what was the gift?      [today is really my birthday :) is it your too?]
20090219174014AA3VSuX	Entertainment & Music;Polls & Surveys	Is it just me, or does the name Octamom remind you of a...>>>?	super-hero villain ???
20090219173045AAg5XAv	Entertainment & Music;Polls & Surveys	What is your favorite scent of candle?	I like fruity smells
20090219170656AAJvZpC	Entertainment & Music;Polls & Surveys	I put the lime in the coconut and drink it all up. That song is stuck in my head, what should i do?	I don't have any limes or coconuts
20090219173207AA4Tg4m	Entertainment & Music;Polls & Surveys	What do you do when you find something like REALLY funny?	other than laugh?      i usually throw myself on the floor like an idiot.
20090219180858AAzlAqp	Entertainment & Music;Polls & Surveys	If you blew a bubble in space would it pop?	N/A
20090219170841AA6JF0L	Entertainment & Music;Polls & Surveys	Waht do you think about these 2 girls?	 http://viewmorepics.myspace.com/index.cf...          first impression
20090219180258AAPrcHh	Entertainment & Music;Polls & Surveys	White iphone or black iphone?	which one do u like better?
20090219180913AAdoVSP	Entertainment & Music;Polls & Surveys	Poll: are you famous? whaddya' do? :)?	stars always rock. :)
20090219173948AA2U952	Entertainment & Music;Polls & Surveys	What is your fav band?	my fav band is all time low!!! I AM MRS GASKARTH :)      i also like:   boys like girls   the cab   we the kings   cute is what we aim for   the acedemy is...   paramore   panic at the disco      what r some of your fav bands?
20090219171919AAy9pNl	Entertainment & Music;Polls & Surveys	Why does my female gym teacher have a buzz cut, and have a deep voice like a man?	Does she have laryngitis?
20090219180720AAAeX3A	Entertainment & Music;Polls & Surveys	How has your day gone?	my sucked. iv been sick all week and today i had class pictures. my parents couldnt take me there then take me home bc they had work so my principal picked me up, took me to school then home after my pictures. and in the car it was totally awkward silence. then at school everyone was afraid to go by me bc they dont want to get sick. o and wen i got the picture taken i accidentally knocked over the stool that i had to sit on! ugh.      how was your day??
20090219175911AAsMYxd	Entertainment & Music;Polls & Surveys	How do you feel if someone insults you on World of Warcraft?	I know its sad, especially when there are loads of kids playing the game, but I take it to heart what people say about me online. My character is a level 80 hunter and he is my first character. He hasn't got enough gold to put food on the table, so he can't buy the best items. So when I go to instances people think that I suck. I can get booted from their parties, or people neglect to invite me because my DPS is so low (600 base +3200RAP), which I personally think isn't so bad. My argument is that I have to go to the heroics in order to improve quicker.      So... does anyone else take it to heart? And why do I give a damn that I am not as sad as some other people who spend their days improving their little toons so they can look good in the eyes of equally sad people? I know I have just reached level 80 and that makes me sad enough, but I wouldn't criticise someone for their stats.      I am pretty sure people who play WoW too much will look back on the time they've spent and regret it thoroughly. What a pointless waste of life, even if it is addictive and makes you feel like you are achieving something. The reality is that you are not. Wow you reached level 450 in first aid? Gratz Buddy! I'm sure you can write that on your CV...
20090219180412AA3kOpC	Entertainment & Music;Polls & Surveys	So i i just realized that there is now an answering limit?	i know there is a limited amount of questions you can ask, but now they are doing it with answers...did you know that?
20090219170807AA4nWN6	Entertainment & Music;Polls & Surveys	What is your favorite line from.....?	the movies:      Happy Gilmore   &&&&   Team america
20090219175715AAXSOI3	Entertainment & Music;Polls & Surveys	Plain White T's "Hey There Delilah" or Sara Barellies's "Love Song"?	Which song you like better      Plain White T's "Hey There Delilah"   Sara Barellies's "Love Song"
20090219175829AASXEcN	Entertainment & Music;Polls & Surveys	Plain water or flavored water?	plain water or flavored water?
20090219170610AATsq4d	Entertainment & Music;Polls & Surveys	I am opening a new pub and need a new name for it , I was going to call it the spotted dick?	Other names please?
20090219170900AAht0lb	Entertainment & Music;Polls & Surveys	Have you given up on your hopes and dreams?	N/A
20090219175722AAu5k8r	Entertainment & Music;Polls & Surveys	What are your favorite episodes of Rugrats?	I love this episode   Visitors from outer space    http://www.youtube.com/watch?v=BzaZaCc02... 
20090219174554AABL40h	Entertainment & Music;Polls & Surveys	Poll-What are your favorite cleaning products that you love using to get the tough job done?	give the names of the cleaners.   I love Comet powder green cleaner.
20090219174234AApoOrc	Entertainment & Music;Polls & Surveys	Poll-Who can answer all of my poll questions?	1)What brand of trash bags does your family use.   2)What colors are all of the rooms in your home.   3)What is your favorite musical instrument.   4)What is your favorite brand of batteries.   5)What is your favorite room in your house where you get the most joy out of.   6)Name one thing that you use most in your house.   7)What technology does your TV use.   8)Do you have carpet in your house.
20090219175404AANI2Cs	Entertainment & Music;Polls & Surveys	10 points to who answers right first.?	What movie is this line from?      "You have no power over me."
20090219171113AAr71hM	Entertainment & Music;Polls & Surveys	Poll: Lil Wayne or T.I. ?	Okay so who do you like better Lil Wayne, or T.I. ?    I prefer Lil Wayne, but I LOVE them both :) !   hbu ?
20090219171942AAOZHxf	Entertainment & Music;Polls & Surveys	Why do we substitute reality with lies?	N/A
20090219180839AAaHAef	Entertainment & Music;Polls & Surveys	POLl: do you prefer me in brifes or boxers?	 http://s649.photobucket.com/albums/uu220...     http://s649.photobucket.com/albums/uu220...       i like boxers and brifes but wut do i look beter in
20090219170340AAjeisY	Entertainment & Music;Polls & Surveys	Why do people spank their kids and put them on leashes?	N/A
20090219172856AAtmUNd	Entertainment & Music;Polls & Surveys	Chocolate or Vanilla? And other questions!!! Easy 10 points!?	Chocolate or Vanilla?   Anime or American Cartoons?   Manga or American comics?   Television or computer?   Cats or Dogs?   Yo or Hi?   Bye or Buh-bye?   pants or shorts?   T-shirt or long sleeves?   Sandals or sneakers?   Autumn, Spring, Summer, or Winter?         kk dats it......look for my second 1 l8r on....... ^_^
20090219180725AAA8mU9	Entertainment & Music;Polls & Surveys	My friend is trying to convince us he can talk to spirits and read our aura do you believe that or no?	N/A
20090219174748AAeg4XU	Entertainment & Music;Polls & Surveys	Cursing in Public...Cool or Not Cool?	Not Cool      but cool with friends
20090219170746AAUi9ok	Entertainment & Music;Polls & Surveys	Guys...Which do you prefer...?	A girl that's more natural with natural makeup, cute and girl next doorish.....       or       A more of a party girl who wears cute clothes and darker makeup and super fun         ?????
20090219174051AA5HDw6	Entertainment & Music;Polls & Surveys	POLL: What subject did/does your favorite teacher teach?	Feel free to share why if you'd like
20090219180226AAGEbbH	Entertainment & Music;Polls & Surveys	What Super Hero would you sleep with?	and what makes them attractive??
20090219180518AAvSWHi	Entertainment & Music;Polls & Surveys	Please take this survey!! Thanks everyone =] ...?	take a few minutes to go over this brief survey, thanks =]      before you answer the questions, though, please tell me your gender!!      choose one of the following answers for each question...   1- [A] Pink [B] Blue [C] Green [D] Black [E] Yellow   2- [A] Cheetos [B] Doritos [C] Funyuns [D] Fritos [E] Potato Chips   3- [A] Sunkist [B] Sprite [C] Coke [D] Dr. Pepper [E] Root Beer   4- [A] Tear Jerker [B] Romance [C] Comedy [D] Family [E] Horror   5- [A] Spring [B] Summer [C] Fall [D] Winter [E] None      Thanks so much everyone =]
20090219172944AAMLzhc	Entertainment & Music;Polls & Surveys	Honesty Poll: To Guys: What do you think of females not wearing make up?	Do you like it when girl/woman wears makeup or not?and why    What
20090219171113AARRK2j	Entertainment & Music;Polls & Surveys	Which is more "addictive"- facebook or Yahoo answers!?	I love facebook, but I'm back on tha Answers!- I can't stop!!!
20090219173012AAZSOqT	Entertainment & Music;Polls & Surveys	If you had three wishes, what would they be?	N/A
20090219175449AALXeQY	Entertainment & Music;Polls & Surveys	If you could compare Jay Gatsby to an object, song, poem, or picture, what would it be?	N/A
20090219175425AARZIzx	Entertainment & Music;Polls & Surveys	My ipod wont add songs?	I have 21 songs on it so it has worked before. Ive tried turning it off, waiting a couple hours but nothing seems to work. It say connected and that sync is complete but it didn't add any songs. What do I do?
20090219180839AAkTBrG	Entertainment & Music;Polls & Surveys	Do you like Ballywood-type entertainment?	Do you enjoy Eastern Indian performing arts?
20090219180539AADif7S	Entertainment & Music;Polls & Surveys	Please answer...  *snif, snif*?	I so didn't want to ask in the Transgendered category, where it first came up... 8-O
20090219171423AARwclS	Entertainment & Music;Polls & Surveys	When does a dream become a nightmare?	N/A
20090219170335AAwOJiT	Entertainment & Music;Polls & Surveys	Music for my talent video for colleges??????Please advise?	ok so i'm working on my talent video to give to colleges. whats some good music to put it too.    Thanks
