20090128183532AAW1BCZ	Yahoo! Products;Yahoo! Answers	Why did my question to the president get deleted?	My question about ice driving just deleted all by itself
20090128090138AAeoHjs	Yahoo! Products;Yahoo! Answers	I blocked my friend on Y!A because I didn't want her to see the questions I ask?	**She is not a close friend, just someone who I am quite friendly with that i know via school.**      Is this normal?      I just find it's easier to get answers from strangers, and you know you will never meet them, therefore they can't really have an opinion of you.      What do you think?   Was I wrong to do this?
20090128153355AA1VxQ7	Yahoo! Products;Yahoo! Answers	How much time do you spend on yahoo answers?	Don't  you get tired of answering questions?   If not here is another one. do you think you get good information from here?
20090128090532AAF89WC	Yahoo! Products;Yahoo! Answers	Should an 'answerer' be held accountable if a "questioner" harmed themselves?	I was just thinking of the case where that teenager hung herself b/c of the bogus Myspace messages.  To extend that senerio, if a Yahoo (or any other public forum similar to this one) questioner asks a question and receives an answer that is unfavorable (mean or something they didn't want to hear) and harms themselves, should the answerer be held accountable?  Do you think prosecuters could even try to go after an answerer, or are they protected b/c this is a public forum?        What if the answerer was one of the habitual mean ones that we run across on this site so often?
20090128144441AAHtuan	Yahoo! Products;Yahoo! Answers	I know this is a pointless question, but, how do you read emails that someone sends you on this answers thing?	stupid i know, but i cant figure it out, like i sent someone an email thru "answers" but when i get one how do i know and how do i read it....? does it just go to my regualr email?
20090128152511AAu56kB	Yahoo! Products;Yahoo! Answers	When a controversial question  is asked.....?	and people go crazy LOL and start adding "edits" every once in a while to answer to other edits people make.... do you keep going back to that question to follow up with the latest?
20090128090531AAjvPI0	Yahoo! Products;Yahoo! Answers	What is Yahoo!Answers?       ?	in your own words....
20090128150111AAQIDDZ	Yahoo! Products;Yahoo! Answers	Why do some questions on yahoo answers get removed?	N/A
20090128150009AA6rYvq	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	Does anyone know what's going on with Lycos, received complaints and wondering.?	N/A
20090128084352AA2OKmB	Yahoo! Products;Other - Yahoo! Products	How many levels until I can edit?	Because sometimes I say some stupid things I would like to edit.
20090128145712AAd7hiM	Yahoo! Products;Yahoo! Answers	Somebody  had help from this yahoo questions and answers?	N/A
20090128110326AAKGxR5	Yahoo! Products;Other - Yahoo! Products	Whats ur fav web site thats fun?	N/A
20090128153353AAuNnGB	Yahoo! Products;Yahoo! Answers	How many points do you have to get to get to level two on Yahoo Answers?	N/A
20090128091247AAtL0SM	Yahoo! Products;Yahoo! Answers	How do I not get suspended on Yahoo Answers ?	All my answers are dumb as hell and my questions are even dumber , how do I not get banned ?
20090128145527AASQ51z	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	A good program to talk using a webcam as well?	My son and his wife moved to NC, I am in MI.  I would like to know if anyone knows of a good program to talk with a microphone back and forth and see each other from a webcam at the same time.
20090128200553AAvZXAv	Yahoo! Products;Yahoo! Answers	Who do I contact or how do I trace the person posting my pictures online?	A friend of mine was browsing through the Craigslist personals and found 2 posts by "me."  Each had photos and were looking for sexual encounters in the message.  Is there a way for me to trace the ip address to the computer of the person posting these fake ads with my pictures? Or would the police be able to help me?      Thanks for your help!
20090128032941AAD6c2V	Yahoo! Products;Yahoo! Answers	How is this site? Created today. ?	Just wanna know ur opinions. Pls tell. Took 2 hrs to create. About Dinosaurs!    http://sites.google.com/site/dinorulenow...    Browse through all the different places and tell.
20090128090341AAIR8nl	Yahoo! Products;Yahoo! Answers	Get answers from millions of real people.?	is it dangerous to have a cinnamon broom near my nanday conure?
20090128125432AAC74ST	Yahoo! Products;Other - Yahoo! Products	What does @yahoo.dk mean ?	Yahoo has an email address xx xx@yahoo.com       Does Yahoo have an email address xx xx@yahoo.dk ?   If so, what does "dk" represent ?      How do I get a yahoo email address @ yahoo.dk ?      Thank you !
20090128141509AA0rYlS	Yahoo! Products;Yahoo! Photos;Sharing Photos	Dose Eclipptv.com allow nudity?	N/A
20090128143802AA9fI4V	Yahoo! Products;Yahoo! Photos;Sharing Photos	Is there any picture sharing site beside photobucket, and it flickr?	the site can have some adult stuff on it
20090128144131AAFTf7X	Yahoo! Products;Yahoo! Answers	Help i need to know wat to do and if this is stalking i know its not but i need help i need allot of answers?	ok there is this girl that i kinda like and we where going to take things slow and see where they went and i never got to see her ever and i finally got to i had seen her like 2 times and then i went to a game that was like 30 minutes away to go see someone else play and she happened to be there so i was like ok and it was nice to see her so i waited after the game to say bye to her cause i didn't want her to think i was mad at her for not saying bye and one of her friends came over there and said i was making her uncomfortable and she said that i was stalking her and i wasn't ive seen her 3 times i really miss her and i don't know wat to do im really hurt cause i like her and i want to be with her but i didn't stalk her i went to the game so i can get better so i can move on with my career i don't know wat else to do she wont talk to me and i really miss her please help im 15 and need help i don't know what to do to get her back she goes to a different school than me that's why i hardly get to see her but i didn't go to the game to see her in the first place what should i say to get her back i need you guys/girls help please
20090128144529AAlAb1x	Yahoo! Products;Yahoo! Mail;Attachments & Photos	HOW DO YOU FILE BANKRUPCEY?	N/A
20090128145921AAUAu3o	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	I needed another email address but I think I lost the one I was using?	Can I get back my old email address and if so how do I go about it?
20090128150640AAmyBr4	Yahoo! Products;Other - Yahoo! Products	How do you view all favorite bookmark in window explorer? ?	Im using firefox and save all my bookmark on there. When i go to window explorer (no, i don't mean internet explorer) to the "favorites" folder. Nothing is there. Firefox seems to save it somewhere else. Does anyone know where?
20090128150756AAxQB70	Yahoo! Products;Yahoo! Groups	Anyway I can place a Yahoo! Group into multiple categories?	N/A
20090128152811AAZIvNI	Yahoo! Products;Yahoo! 360	Xbox 360 gamertag trouble?	I recently bought an XBOX 360. I created an xbox live account with the Gamertag MxMILLERx25, my old gamertag from original xbox was Spade xSBGx. I migrated the spade acount to my 360. my question is.      Can i pay the 800 microsoft points to have my Tag changed to spade or do i have to buy a brnd new year of xbox live to use my old tag?
20090128175129AAawgc4	Yahoo! Products;Yahoo! Shopping	What persuades you to buy a product? why?	N/A
20090225150104AAnvClE	Yahoo! Products;Yahoo! Answers	What Level Do You Have To Be On To Give "Thumbs-Up"?	My friend let me log on as him the other day, and he's only on level 1, and I noticed I wasn't able to give "Thumbs-up", so guessed it had to do with the level system.
20090225151241AA7vgaZ	Yahoo! Products;Yahoo! Answers	Y do i get 0 answers when i ask if my friends r ugly?	argh argh argh!!!!!!!!!!!! tell me why!!!!!!!!!
20090128182345AAS8pag	Yahoo! Products;Yahoo! Answers	Who else gets annoyed by...?	Pre-teen girls asking on here if they are ugly? When, clearly they are just fine looking. The society we live in nowadays...
20090128162215AAx9bWC	Yahoo! Products;Yahoo! Answers	What is up with the dumb questions on this site?	seriously i look down the list of questions and people are always talking about" So i like like this guy and like i dont know what to do but i REALLY like him so like what do i do???. Dude that is pissing me off cause this site should be used for important things not dumb ones!! Do you agree?
20090225145635AA1GwiM	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	I'm sick and tired of these trolls!!! how do I get rid of them?	so the trolls on the Greek section make me want to beat the computer screen. How do we exterminate from those bloodsucking leeches?
20090128164532AA5Vyhd	Yahoo! Products;Yahoo! Answers	Should We Be Able To Answer More Things In A Day ..?	On Here iit Says You Have Reacher Your Daily Limit ..    Do You Think That We Should Be Able To Answer More Things In A Day .. IF So Say Why .. Hopfully someone Will Take Note And Act On Thiis :) x
20090128175610AA0cdJk	Yahoo! Products;Yahoo! Shopping	Anyone know any promotional codes for swag bucks?	i need some swag bucks so if anyone knows a promo code that is recent please post it hear
20090128182211AAUb2ld	Yahoo! Products;Yahoo! Mail;Personalization	Change of name, help please?	i want to change my avatar name on here...any idea how i can do that?   thanks!
20090128165856AAlVVwp	Yahoo! Products;Yahoo! Answers	How do i add a web page to my question on "answers"?	N/A
20090128173703AAWA9lG	Yahoo! Products;Yahoo! Messenger;Accounts & Passwords	I need a new screenname any ideas?	N/A
20090128175055AAgBs3k	Yahoo! Products;Yahoo! Answers	What are yahoo answer points for?	whay do they give points...there's really no reason if you dont get anything
20090225151342AAKTufI	Yahoo! Products;Yahoo! Answers	HOW COME I DONT SEE MY BEST ANSWERS!!!?	Hey,...how come I never see my best answers scrolling across the newly listed questions?  I see some best answers & responses from days ago, but I never see mind or the ones I have given Best Answers to!!! Why aren't mind posted???
20090128161907AAcGH8O	Yahoo! Products;Yahoo! Answers	What is the most number of answers to a question?	N/A
20090225145457AANO22i	Yahoo! Products;Yahoo! Answers	Why the hell am i still a level one!???!!!!?	help i don't get it im still a level one on yahoo answers and it said to be level two you must have 165 points eerrrrmmm hello? i have 201!!!!! well now 196 but come on!!!
20090128162224AA4lWfP	Yahoo! Products;Yahoo! Answers	What is answers international exactly?	I noticed that when I clicked on one of the flag countries, it leads to another language. I was wondering if Yahoo just translates everything or if these countries have their own yahoo answers. Thanks.
20090225151611AAAnFxQ	Yahoo! Products;Yahoo! Mail;External Mail (POP)	What is the incoming and outgoing server address?	I'm setting up my e-mail on Windows Mail i am running Windows Vista.      I also need help doing it because i dont know a thing about setting up mail.
20090225151614AAfkVDJ	Yahoo! Products;Yahoo! Messenger;User Profiles	Can someone help me think of a nickname?	I'm looking for a funny nickname something like dizz, spaz or gizmo by the way those are some of my friends nicknames so those wont work and i was hoping you guys could help.
20090128162628AAjtaLQ	Yahoo! Products;Yahoo! Answers	10 pts for best answer ?	hi everyone ummmm Please write a nice para. about What is the Old kingdom in Ancient Egypt and include fun facts how long it lasted and etc and remember 1 whole para and you will recieve 10 points for best answer and no copying websites or anything like that......... and so on
20090225150630AAoTRNH	Yahoo! Products;Yahoo! Answers	Can I eat meat today? (Ash Wednesday)?	Today is Ash Wednesday and I don't know if we are aloud to eat meat. I lower than age 14, do I eat meat today or not?
20090128182536AACQPZ1	Yahoo! Products;Yahoo! Mail;Address Book & Calendar	PUT IN ALPHABETICAL ORDER?	1. carnivore   2.energy   3. food chain   4.consumer   5.germination   6.circuit   7.characteristics   8.property   9.conductor   10. organism   11. adaptation   12.life span   13.community   14.food web   15.herbivore   16.habitat   17.insulator   18.environment   19.ecology   20.photosynthesis   21.omnivore   22.hibernation   23.matter   24.population   25.units of measure   26.camouflage   27.life cycle   28.producer   29.decomposer   30.classify   just do this for ex. if u think its adaption is first and it is number 11 just write 11then do a comma (,) so i could know   if u give me a definition on each word and make it in alphabetical order i will give u the points
20090225151543AAfeaLf	Yahoo! Products;Yahoo! Answers	WHY DOES EVERYTIME I TRY ANSWERING SOMEONE IT SAYS YAHOO ANSWERS IS CURRENTLY UNAVAILABLE!?	wow this is really annoying .    Why is this always unavailable??
20090128164458AAvYlSb	Yahoo! Products;Yahoo! Answers	What's with all of these bot/google answers?	When did it start?  All of a sudden all the questions seem to be getting answers from people using a first name and an intial talking about how to make money from google.  Dumb.
20090128173703AA75Awc	Yahoo! Products;Yahoo! Messenger;User Profiles	How could i change my Picture , its allways the guy , with...?	how could i change my profile pic   its always this guy, like you  see now?   how could i change it?? PLZ ANSWERRRRR
20090225145610AALoYSN	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Is there another way to close my stardoll account other than not signing in for a long time?	Is the only way to close a stardoll account to leave it and not sign in for a long time? If there is another way can you plz tell me.Thnx.
20090225151000AAr2RC9	Yahoo! Products;Yahoo! Answers	Someone help me (best answers)?	I just created my yahoo questions. How do i pick what the best answer is?
20090128164441AAwJWuP	Yahoo! Products;Yahoo! Answers	How do i select a person for best answer?? Please help!?	Whoever answers first and right then i will select you as the best answer!!!
20090128162946AAXAcY0	Yahoo! Products;Yahoo! Answers	Who do you think is the culprit in this case? (answer free points)?	At my house we purchased a pack of 6 cupcakes and a box of pop-tarts.   My dad ate the first cupcake then the next day revealed the cupcakes location to me and my brother while giving each of us one (they were hidden). The pop-tart where always in plain sight and every was allowed one each day. Anyway last night the remaining three cupcakes where found missing but the plastic packaging was left behind. This morning there was 3 pop-tarts left but when I got home to get my daily pop-tart they were gone, and like the cupcakes the pop-tart box was left behind.       Possible Culprits:   Brother - Reason that it wouldn't work: I don't have any   Sister - Reason that it wouldn't work: Can't reach pop-tarts without parental help and didn't know about cupcakes   Mom - Reason it wouldn't work: She's trying to figure out who did it   Dad - Reason it wouldn't work: Same as mom
20090128172118AABqlH9	Yahoo! Products;Yahoo! Answers	Why are there levels to this dumb website?	Does it make sense for Yahoo! Answers to have levels to it? I mean what is the point exactly? Is there a point? or is this for people like us who have no lives?
20090128162411AAtIyPr	Yahoo! Products;Yahoo! Answers	Need answers.....Infantry questions? ?	Is it true that Infantry officers advance in rank quicker than any other branch officers? Were can i find a list of promotion times for army officers?
20090128181531AA6IxtL	Yahoo! Products;Yahoo! Messenger;Accounts & Passwords	Yahoo Messenger Log in failed?	I can login to my Yahoo Mail but when I enter the same password for Yahoo messanger I cant login.   I believe we have to enter the same passwords in both applications.   And, I have not changed my password recently.
20090128161747AAuKlHD	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Is there anyway I can clear the address bar of places I no longer need to access.?	i have inadvertently typed the wrong address at times and have all these wrong ones in the address bar, hoping I can delete them or do I have to delete the whole lot and start again. and how do I do this. thanks anyone.
20090128162436AAVxQnG	Yahoo! Products;Yahoo! Answers	How do you do this? 10 points!!!?	How do you flip a Microsoft word document from vertically to horizontally? Please! I need it quickly!
20090128163456AAHUf7W	Yahoo! Products;Other - Yahoo! Products	Vmkpal is it cool is it the same?	vmkpal can you play on vmk is it the same thing but better and can it work with window vista CAN YOU GET A HOUSE BUY THE SAME THING ON VMK AND CODES AND GAMES AND CLOTHES
20090225150125AAGgf51	Yahoo! Products;Other - Yahoo! Products	Can I use my yahoo avatar for my yelp profile? If so, how do I get it exported to my desktop?	N/A
20090225150152AAXlD9m	Yahoo! Products;Yahoo! Mail;Yahoo! Mail Beta	I cant get into ya hoo mail  or get my contact list up or my old messages?	N/A
20090225150844AAOyzBa	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	There  are advertisements on the borders of my e-mail that are blocking it they are not pop ups?	my pop up blocker is enabled, and there are these adverts on the left border of  my email, I can''t click to move etc...
20090225151507AAVAb3z	Yahoo! Products;Yahoo! Answers	Whats a site better then photobucket thats not got many rules?	cause even if its just animated breast Photobucket deletes them, whats a more open minded site?
20090225151723AAwvc0h	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	WHY AM I NOT RECEIVING MY EMAILS SENT FROM MY BOYFREIND? HE RECIEVES MINE?	MY FREIND SENDS ME EMAILS ALMOST EVERYDAY, BUT I NEVER RECIEVE THEM,ALTHOUGH HE ALWAYS RECIEVES THE ONES I  SEND TO HIM. WHAT COULD BE THE PROBLEM?
20090128164621AADdL1C	Yahoo! Products;Yahoo! Answers	Who thinks some of the people on Yahoo answers are...?	smart mouth, douche-bags?   I asked some questions to get help with my homework and all I get is smart *** remarks, somebody saying I'm going to end up on welfare ?=/ & people telling me to do my own homework.      People think that because what they do over the internet is "anonymous" & like not face to face, they can talk to people any kind of way.
20090128170952AAC9p3Q	Yahoo! Products;Yahoo! Bookmarks	How do I get my bookmarks to stay in List view and Alpha sequence? They always open differently. ?	I arrange them each time the way I want them but they revert to the Full view and non alpha sorted even when I have not turned off my computer.  They take up too much room that way.
20090128174104AAWfRqW	Yahoo! Products;Yahoo! Shopping	How long will this take?	I want to order some rings and the methods of mailing are first class, priority, and express mail.I THINK there faster as that order goes on, How long should mailing take for each of them? I wanted them to be here within 2 weeks and its not like a customize thing, just order somthing i assume has already been made. Thanks
20090128174516AAAAJ4B	Yahoo! Products;Yahoo! Answers	Why does Yahoo Answers make it virtually impossible to answer peoples questions?	Why does Yahoo Answers make it virtually impossible to answer peoples questions?
20090128180936AA7J0ht	Yahoo! Products;Yahoo! Messenger;User Profiles	How do i get to my avatar?	I want to add an avatar but I can't find where to go!
20090128181628AANxZmT	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Why is my yahoo messenger not showing my friends text that are sending me?	N/A
20090128181953AAr23jw	Yahoo! Products;Yahoo! Search	What is the best job search ?	looking for a new job besides the newspaper where can i find out who is hiring any websites or other suggestion
20090128182042AAkQs3m	Yahoo! Products;Yahoo! Answers	How do I get my profile picture to show in my question and answers?	When I ask or answer a question, how can I get my profile picture to show in the little box next to my question or answer instead of that asexual shadow figure?
20090128182121AAWFhdk	Yahoo! Products;Yahoo! 360	Three lights on xbox360?	why is there three red lights blinking on my xbox360
20090128182809AAdVC5X	Yahoo! Products;Yahoo! Answers	I have a question easy 10 points!?	i know this song called "The Motions" by Matthew West i don't get what it means or what the title means can someone help me?
20090128185455AAZyQMs	Yahoo! Products;Other - Yahoo! Products	How do you block other people on yahoo?	how do i block people and make them unable to read my Qs and As?
20090128190049AAUCJ2y	Yahoo! Products;Yahoo! Answers	Is anyone on here really creative?	If you are, can you think of a creative username that has to do with either All Time Low, The Killers, The Offspring, or Green Day? (those are all bands) I am extremely uncreative when it comes to usernames. (as you can see by my current one) Thanks to anyone that helps!
20090128185506AAcSGli	Yahoo! Products;Other - Yahoo! Products	How many peoples avatars really resemble what they look like. ?	mine does although i am somewhat heavy the she is :)
20090128184647AAbVEL7	Yahoo! Products;Yahoo! Photos;Editing Photos	How can i change my picture?	lots of people dont have there yahoo avatars as pictures   how can i get a different picture
20090128192532AACy5qz	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do i delete my clixsense account???...?	I made an acccount with clixsense.com, an right after i found out it was a scam... I want to delete my account asap but don't know how to...Somebody please help me...
20090128191651AA01gsJ	Yahoo! Products;Yahoo! Answers	My dad asked me this question i didn't know how to answer?	its been bugging me all week    he was asking about SQL or whatever and he was drunk:    **When you are writing PHP, the message set got corrupted and flooded my MySQL database with entries. How do I duplicate the database and wipe the entries, and then protect my Microsoft IIS server from SQL injection? (An IIS SQL injection attack recently affected like 500,000 MS IIS based sites)
20090128192639AAXUvML	Yahoo! Products;Yahoo! Mail;Problems with Service	Can't log in to my old Email?	Can your Email get deleted if you get $u$pended from yahoo answers?
20090128190146AAeN3xe	Yahoo! Products;Yahoo! Answers	Do the same users repeatedly report questions/answers?	and also...      why is that even though i only report once in a blue moon, the question/response never gets deleted?
20090128190441AAKFgR5	Yahoo! Products;Yahoo! Answers	What causes YA account suspension?	how many offenses?
20090128183651AA4BCt3	Yahoo! Products;Yahoo! Answers	"you cannot view this question at this time"?	what causes this?
20090128190136AAhMUPA	Yahoo! Products;Yahoo! Mail;Attachments & Photos	Opening attachments. Help please.?	I have a new laptop with Vista Home Premium. For reasons I don't understand, IE started being selective about what attachments to open in my Yahoo mail account, then stopped opening them altogether. However, if I forward them to my old Hotmail account IE opens them. I cannot find my problem in FAQs. Ideas anyone?
20090128183309AA8WkR8	Yahoo! Products;Yahoo! Answers	Why do other people who copy my answers get voted the best answer?	lol...just wondering...people copy my answers almost verbatim but they get picked for best answer and my answer was posted first...
20090128192401AA6F1R6	Yahoo! Products;Yahoo! Photos;Editing Photos	How do i change my yahoo answers profile pic?	I keep going to profile and changing the pic and i dont know how to get back to yahoo answers so i logg off then logg back in. The picture didnt change. I dont know how to do it!
20090128191954AAXPrF1	Yahoo! Products;Yahoo! Answers	Maybe a dumb question?	I see mention of trolls and i have an idea of what they are but could you clarify?
20090128183745AAYVvaW	Yahoo! Products;Yahoo! Answers	Hey answer this question.?	on student sim game what do u say to get a girl
20090128184548AA5xi7F	Yahoo! Products;Yahoo! Photos;Sharing Photos	What does it mean when someone takes a picture with /b/ on their hand or somewhere else on their body?	N/A
20090128192254AAIBwKo	Yahoo! Products;Yahoo! Answers	I accidentally reported the wrong person - what can I do?	Help!! I saw what looked like spam in an answer, didn't dare to click the link, and checked the person's profile. I went back to report it and ended up on the wrong browser tab and reported someone I shouldn't have. Is there anyone I can contact at YA or anything I can do to take it back somehow?      I feel AWFUL!!!
20090128183231AAyxeoR	Yahoo! Products;Yahoo! Answers	How do you get more answers to your questions!?	Best technique wins!
20090128182910AAGyfbI	Yahoo! Products;Yahoo! Answers	Does anyone know if... ?? 10 points.. ?	ok my question is.. if a 21 yr old wants to buy a house..i know a co signer is required..my question is..can someone who gets ssi or ssa  be a co signer?
20090128185259AAO0Gb6	Yahoo! Products;Yahoo! Answers	Does anyone know how...? 10 points?	does anyone know how good does your credit score has to be to qualify  to buy a house..?
20090128185602AAWSuLz	Yahoo! Products;Yahoo! Answers	What's the most answered question on yahoo answers?	idk if theres an official record but whats the most answers youve seen to one question and what question was it?
20090128183222AARb3gf	Yahoo! Products;Yahoo! Answers	Help on India!! Easy points!!?	Are there Mayors in present day India? If so how many terms do they serve for? When is the next election for electing the mayor of India? What about in 1920s in India, were there mayors then too? If so how many terms do they serve for?
20090128191357AAZYkdM	Yahoo! Products;Yahoo! Shopping	Electronic Shipping Info Received?	Untied States Postal Service?   does any one know what this means and when shall i get it its from ohio going to houston texas      Label/Receipt Number: 9105 1501 3471 1532 0539 94   Status: Electronic Shipping Info Received      The U.S. Postal Service was electronically notified by the shipper on January 20, 2009 to expect your package for mailing. This does not indicate receipt by the USPS or the actual mailing date. Delivery status information will be provided if / when available. Information, if available, is updated every evening. Please check again later
20090128191404AAE85lT	Yahoo! Products;Yahoo! Answers	Easy 10 points!!!!!!!!!!!!!!!!!!!!!!!!…	does limewire give your computer virus
20090128191342AAR7nJe	Yahoo! Products;Yahoo! Messenger;Entertainment	How can you make emoticons like ?, ?[, ? and stuffs like that?	Someone please teach me? [You [needed to click on some buttoms or something, I forgot! right now? stuffs like [?, ?[, ?? Do people just copy and paste them or what?{ THANKS!
20090128191306AAwZTe7	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	This is stupid...Yahoo mail..?	I try and read my mail in yahoo, and it doesn't open.  Will it get back to working tommorrow?  And the homepage is set up different than it normally is as well.
20090128192602AAH7Nxd	Yahoo! Products;Yahoo! Answers	Why does no one anwer my questions?!..?	i only get like max 30 answers when some people get like hundreds.. i even ask the same questions and only like 10 answerS! :(   AH
20090128183813AAPZTuJ	Yahoo! Products;Yahoo! Answers	How do you become someone's fan and not a contact?	N/A
20090128184624AAb0Tqa	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	How can you marks some emails as spam on Windows Live?	It's starting to annoy me...
20090128183709AAr1DP4	Yahoo! Products;Yahoo! Mail;Personalization	How to change my avatar name and pic?	N/A
20090128184316AABKjQJ	Yahoo! Products;Yahoo! Answers	Why doesnt anyone ever answer my yahoo answers questions?!?!?!?	I have asked 20 something questins and the most answers Ive ever gotton is 5, and on average I get 1 or 2. but I always soo people with a ton of anwers
20090128191346AAdYUFa	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	Why do I still continue to receive "SPAM" e-mails from the same sender?	I receive on a daily basis unwanted "SPAM" e-mails from the same sender(s) even though I mark it as spam every time.  I have checked and the number of blocked address in my folder is the same (less than 500).  What good is telling YAHOO an e-mail is spam if I continue to receive them?
20090128190337AAe5mT8	Yahoo! Products;Yahoo! Photos;Editing Photos	How can i turn my uploaded pictures to black&& white?	PLEASE HELp
20090128183223AAGkCJ4	Yahoo! Products;Yahoo! Answers	Some questions from the movie " A Beautiful Mind"? plz help extra points!!!!?	1) What was the main characters job?   2)what was the name of his illness   3)where did he work?   4)when did symptoms first apear?   5) why do u think the movie is called " a beautiful mind"?
20090128183645AAWEgJp	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	Who removes unwanted spam?	How do you contact no reply spam in order to get rid of it?
20090128184224AALqEfs	Yahoo! Products;Yahoo! Groups	Problems with Classmates.com?	I wrote to them a few months ago about inability to see photos. At the time I had the gold membership. They said they wd get back to me but never did. Anybody else have this experience with them? I think I recall reading a post here with negative opinion of that group.
20090128184636AAWQ5qD	Yahoo! Products;Other - Yahoo! Products	How can I get rid of that invite crap off?	I can't stand that thing that says invite friends. I do'nt want to add these friends and I dont want to keep messing with that crap everytime I go to that page.. Please someone help. Pleeeeeeeeease
20090128184713AAGDtAX	Yahoo! Products;Other - Yahoo! Products	Half.com? how do you buy things from this website?	On that website can you just go ahead and buy waht you want without biding. like a buy it now?
20090128185005AAFAvrJ	Yahoo! Products;Yahoo! Mail;Personalization	Why i can't see the image of email body? And how to get image again?	Why i can't see images of email body?
20090128185005AANH2fd	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Can you retrive deleted emails in hotmail?	Because i accidentaly delted my eamail then went to the eamil folder and deleted it again
