20090205163738AA0hiMy	Sports;Winter Sports;Ice Skating	What kind of Blades does Sasha Cohen Have?	Wondering
20090205164914AA1iQ7l	Sports;Baseball	How many base hits do you think Dereck Jeter will end up with?	Jeter is going to get his 3000 hits. Who many more do you estimate he will end up with?
20090205165204AA0ufIQ	Sports;Basketball	How much do u hate dook?	im a UNC fan, so i hate dook (not that u have 2 like the heels 2 hate them). i was wondering how much people really hate dook. whoever proves that they hate dook the most gets 10 points
20090205164702AAYaITv	Sports;Basketball	How many free throws will the refs give Kobe?	N/A
20090205164705AAdoGhL	Sports;Martial Arts	Question for Rooker on the Ma section/ why do you think martial arts do not have real world applications?	I know your a troll in the martial arts section but ah what the heck. Why do you assume that martial arts do not work in real life applications?         http://www.youtube.com/watch?v=YEv6i-lhI...        Tell me was this NOT a real life situation? Did the karate master NOT use his skills to take care of a real life situation?           http://www.telegraph.co.uk/news/newstopi...          http://uk.reuters.com/article/oddlyEnoug...         http://blogs.kansascity.com/crime_scene/...         http://www.mmaopinion.com/2008/10/06/llo...          http://www.palmbeachpost.com/news/conten...       courtesy of clowns because this is where I got them from, Were these NOT real life situations? So tell me why do you refuse to believe that martial arts do not work? If they did not work why do you think that most law enforcements and army personell use them? Please I would like to see your reasoning. If you know nothing about martial arts, please stop trolling on the ma section and go back to your wwe wrestling.
20090205165049AAMkC9n	Sports;Basketball	I want to play HS basketball?	I'm 15, 6'2, and 230 lbs, I play offensive line for my high school varsity football team, but I dont play any other sport in the offseason. I was to play basketball next year. I used to play back when I was in 4th grade, I was a pretty good center back in the day lol. I'm not too fast, and my vertical ain't great. What position should I go for, and what should I do so I can dunk, etc?
20090205165116AABpJ98	Sports;Martial Arts	Who is the fighter that was about to defeat fedor e?	the one was hard on fedor
20090205165149AAa12Pu	Sports;Outdoor Recreation;Hunting	Looking for a belt holster that will fit Springfield XD .45ACP w/Light attachment.?	I've been looking all over the net and I can't find one. The model psitol is XD9611HCSP06 and I have mounted an Insight M6 Flashlight/Laser combo. The holster that came with the pistol won't fit with thelight. I've found a Safariland drop leg holster, but I really want a belt holster. Thank you in advance if any of you can help me.
20090205165205AAMa0wh	Sports;Wrestling	Female Wrestling Fans from the 90's or Female Fans Now which ones were better?	N/A
20090205165910AA9YUBP	Sports;Football (Soccer);Other - Soccer	Do you think i could become a professional soccer player?	i play on a select team and i am in my opinion the best on my team (i dont want to sound selfish) and score a goal in almost every game and i am in middle school
20090205170115AA4IzQs	Sports;Other - Sports	Do you think kids with proffesional athletes as fathers, had a tough time in high school?	Like say, Brett Favre, Tiger Woods, Kobe Bryant, Shawn Michaels, and Chipper Jones' kids go to a public high school. Do you think kids treated them differently? How do you think they were treated, good, bad, etc... and why?
20090205165918AAE1rc1	Sports;Other - Sports	Which would you rather do?	Win a gold medal in the Olympics or score the game winning touchdown in the Super Bowl?
20090205165809AAftIkt	Sports;Hockey	What NHL teams have the best and worst looking uniforms?	Doesn't have to be your favorite or least favorite team, just what uniforms look best. Thanks everyone.
20090205170519AAi5ozR	Sports;Wrestling	Who's The Best Of This Indies Wrestlers?	Brian Danielson   Chris Hero   Austin Aries   Tyler Black   Kenny Omega   Go Shionsaki   El Generico    Kevin Steen      Thumps Up/Down Game Say Who's The Best And Score The 10 Points       BTW Thumps Up To Everyone
20090205170017AA1DuLm	Sports;Basketball	Is this the best week in NBA History?	Kobe drops 61 on the Knicks Monday, LeBron gets a triple-double with 52 points on Wednesday, the Lakers and Celtics (the best rivalry in NBA History) play today and the Lakers and Cavs play on Sunday with the 2 best players in the game going head to head.
20090205170115AAV751i	Sports;Basketball	Should Phoenix Trade Amare Stoudimire to Cleveland for Varajeo?	N/A
20090205170540AAluKzj	Sports;Other - Sports	What tunes do you usually skateboard to?	I am always looking for good songs to put on my ipod and skate to. I have your usual skate video soundtracks you know like all the songs from yeah right, sorry, and fully flared. and a bunch of random rap is good to skate to. what's your favorite songs to skate to?
20060616084551AAtd73Z	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Never mind ill ask another one who  likes soccer at all?	N/A
20090205170854AA4VWtP	Sports;Winter Sports;Snowboarding	A few sick boards, and I can't choose!!?	Capita Scaremaster, Burton Custom or Jeremy Jones, Rome Agent, and the K2 Zeppelin. What do I pick dude?! They're all so sick. Someone give me some pros and cons and persuade me to get one! Thanks everyone
20090205165926AA3fN4T	Sports;Martial Arts	I'd like to learn police or military training, but don't want to be a cop or join the military?	Basically I'd like to learn hand to hand combat as well as how to shoot. Any suggestions?
20090205165946AAomEec	Sports;Other - Sports	Is it sport or recreation?	what do you consider a sport?  According to a credible source a sport is taking part in an activity that allows the participant to exert physical skills in an institutionalized manner under specific conditions in which the activity is competitive.     according to this games of pick up basketball   or road hockey are not considered a sport because of the conditions    Does that take away from the fact that the participants are having fun and taking part in an activity that allows them to exert their physical skills?     With that being said, what do you consider sport .. give examples of what you think is sport and what you think is not    Thanks this would help as a second opinion.
20090205170055AAStaTf	Sports;Basketball	What's a good way to get to the basket against a 2-3 zone defense?	I'm a 7th grade girls basketball coach and most teams we play against use a 2-3 zone defense.  On offense we try to run a 1-3-1 zone offense.  My girls are having the hardest time getting penetration.  Actually, let's put it this way... if they even get a chance to attempt a layup in the game, I'm happy.        Any suggestions on how to get to the hole on a more regular basis?  Even better if it is with the 1-3-1 scheme.  Thanks!
20090205170114AAmkdrJ	Sports;Fantasy Sports	Should i make a trade?	So my friend got these autographed purple supras by Terry Kennedy that he wore in the X games and i might trade him a mint condition, never been used, signed basketball by Magic Johnson for the shoes.   So i was wondering is that a good trade for me???      Also how much are the shoes worth? and how much is the basketball worth?      *also in case you want to know i like skateboarding better than basketball so i don't know
20090205170144AA74WeQ	Sports;Winter Sports;Snowboarding	Snowboarding opinion needed :)?	Okay. So im 13 years old and a 7th grader. My school goes up for snow boarding trips once a week. How long do you think itll take me to learn the basics? Like stopping, turning and not falling when im going down the slope? or falling very rarley?
20090205170438AAnQsoI	Sports;Winter Sports;Snowboarding	Are all Giro TuneUps 2 the same?	I see them advertised on eBay as being just for one model but im wondering if they are all the same. Please help.
20060607140358AATap4j	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Do you know who was Zbigniew Boniek and what team he plaid for?	What country and what team?
20060610121837AALDgk8	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Is it ENGLAND be a world cup winner.....?	N/A
20060612021408AAYIzfo	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Which two national teams will play world cup 2006 in Germany ?	N/A
20060612124349AAqdSsH	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Rankings?!?	Does anyone know of any  websites that have the ranks for all of the teams in the world cup?! Thanks in advance
20060614103607AAvC777	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Which is the only country to have appeared in every world cup to date?	N/A
20060615011017AAwFvyK	Sports;Football (Soccer);2006 FIFA World Cup(TM)	I think that micheal essien is better than ronaldinho?	micheal essien has a great talent but he isn't playing in a good tam which help him to show his talent
20060615122615AAtnxMj	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Wer wird Weltmeister?	N/A
20060629231720AArjnBN	Sports;Other - Sports	Why is there a sports section for darts of all things but not one for Lacrosse?	it's just ridiculous...anyone else agree with me...that there should be a lacrosse section????
20060707164725AAaxFSe	Sports;Baseball	How long before the Washington Nationals field winning team?	N/A
20060706052640AAS849d	Sports;Baseball	Now that Manny is out for the All Star game, who do you think will get to take his place??	And will they be as good as Manny who's batting average is up over .300???
20060624023651AAXLPqg	Sports;Football (Soccer);2006 FIFA World Cup(TM)	What/who is the "white pele"?	Just wondering, cause I heard someone say that Kaka is the white pele.. what does it mean?
20060703221914AATb97n	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Gostaria de saber o motivo do Parreira n?o ter mexido no time no primeiro tempo? Será que ele tem problemas?	Hummmm...
20060705173132AAeQ02A	Sports;Football (Soccer);Brazilian Football (Soccer)	O que  mais fcil acontecer: o Kiarinthians ser campe?o da Libertadores ou voc lamber seu cutuvelo?	N/A
20060706025359AAfPqPj	Sports;Football (Soccer);Brazilian Football (Soccer)	Porque a unica coisa que fazia um Brasileiro sentir orgulho, hoje e' motivo de vergonha? O Futebol!?	A cada Copa Mundial que passa as coisas estao ficando pior p/ o Brasil. Como se nao bastasse as outras coisas que nos envergonham como: a violencia, a pobreza, a corrupcao, a desigualdade e tantas outras coisas. O futebol era a unica coisa que nos deixava um pouco mais felizes a cada 4 anos (mesmo com todos os outros problema), essa epoca e' onde todos tem orgulho de dizer que e' Brasileiro e vestir as cores da Bandeira. Mas nem esse prazer o povo nao pode ter mais. Ate onde isso vai parar?
20060630113157AAnt9ty	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Cuanto sale comprar arbitros?	N/A
20060628015739AAa1LAx	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Do u think Zidane beckham and ronaldo should retire?	N/A
20060707142324AAMAcwB	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Qual a escala??o da sele??o de 1962?	N/A
20060709213808AAVlAOn	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Cant blame?	everything on materazzi because they were both arguing. Zidane could of said something just as bad to materazzi (but he didnt lose control.) zidane just cant control his emotions. (happened many times before. ehh..
20060703071109AA2TG2L	Sports;Snooker & Pool	Quem é Tim, campe?o mineiro de sinuca?	N/A
20060622165034AAuCoYi	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Do you think teams' world rankings matter in this tournament?	N/A
20060621174021AAydmDw	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Who thinks Kaka is the hottest soccer player?	I think that Kaka is the hottest. OMG he is fine. Can you guys tell me who you think are the hottest players and maybe some websites. As for Kaka the website is kakafans.net.There are so many pics of him there.
20060625174653AAkwAQr	Sports;Football (Soccer);2006 FIFA World Cup(TM)	?Cuantos idiomas se hablan en el mundo?	Necesito ayuda, quien me pueda subministar esta informacion, seria genial y se lo agradeceria muchisimo.      VIVA ITALIA!!!!!!!! y que lastima que Holanda se halla ido en octavos, creo que tenia mucho mas que ofrecer!!!
20060625175221AAJDgW0	Sports;Football (Soccer);2006 FIFA World Cup(TM)	?Creen que Holanda es una seleccion que se retiró prematuramente?	El partido Portugal-Holanda estuvo muy patetico, fue mas boxeo que futbol; sin embargo, creo que Holanda se merecia un puesto al menos en cuartos, tenia todo lo que se requería y me da mucha lastima que se halla retirado del mundial de la manera en que lo hizo, pero bueno, es solo mi opinion, y me gustaria saber que piensan los demas!!!
20060627155719AAEn4uv	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Quién es el jugador estrella del mundial?	Quién crees que es el jugador estrella o tu favorito del mundial, de todos los paises que han participado
20060709172614AAI0Z6O	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Is this not injustice?	How ironic is it...that the theme of this year's World Cup was "Make Friends"..and before every game the teams take a pledge against racism on the field...yet Materazzi (sp?) so blindly violates that pledge...and poor Zidane who by the way is still amazing...gets red carded!!!  The FIFA officials really need to look into this...honestly this is injustice...if someone insults another person for whatever reason...whether on the soccer field or elsewhere is DISGUSTING!!  So whoever says what Zidane did what immature for a man of his stature and age...well what's even MORE IMMATURE is how PATHETIC someone can be to violate a pledge that is meant to be universal!  France AND Zidane will one day get justice...
20060621110419AAROlZc	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Do you think the goal attempt by Patrick Vieira against Korea should have been given to France by the referee?	N/A
20060621185816AA9Dd3V	Sports;Auto Racing	Qual o significado dos três números cinco (555) nas laterais dos carros Subaru Impreza do Mundial de rally ?	N/A
20060623115633AAvE4kD	Sports;Football (Soccer);Brazilian Football (Soccer)	Quien ganara la copa del mundial de futbol ?	a mi me encanta Brazil y se que sera el campeon
20060624092206AADyX61	Sports;Winter Sports;Curling	?que es curling??	N/A
20060624110532AA6k4Mj	Sports;Auto Racing	Quantas pole positions Ayrton Senna fez no campeonato de f1 de 1988?	N/A
20060625173026AAaTRJ7	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Que bueno que Mexico perdio que viva Argentina?	N/A
20060625174404AAAp3Jd	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Why did they keep Van Nistelrooij on the bench?	N/A
20060627001330AAFIOY2	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Who won the 1934 Fifa World Cup? And who host it?	N/A
20060627002931AAxodP4	Sports;Other - Sports	How do u think will win BRAZIL OR GHANA? final score ? AND  FRANCE OR SPAIN FINAL SCORE?	N/A
20060627014403AA144wm	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Any idea on why the refs are letting loose so many red and yellow cards this World Cup?	N/A
20060627124750AAEUdzo	Sports;Football (Soccer);2006 FIFA World Cup(TM)	How many times have portugal been IN the world cup?	N/A
20060628063244AAAdkaR	Sports;Football (Soccer);Other - Soccer	Who will be refearing over referies? Pleasse answar?	N/A
20060628102642AAzFeqX	Sports;Basketball	Who has the best handles in the NBA today?	I say Allen Iverson no doubt
20060703152749AAZrPOU	Sports;Other - Sports	How long should i wait till a over used muscle,to get back to lifting weights?	pain behind the elbow not major,but burning and tingling feeling.
20060705175448AAaw4Iu	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Quem é o melhor jogador do mundo mesmo?	N/A
20060712044028AAcSc5l	Sports;Baseball	Does anyone know of any wiffle ball leagues in the Northeast USA that I can play in?	N/A
20060709111633AASThRR	Sports;Football (Soccer);Brazilian Football (Soccer)	Oq vcs acham do brasil ter perdido a copa do jeito q perdeu ?	Quem teve mas culpa ?  Sera q foi o tecnico ou algum dos jogadores?
20060709112306AAHqxnr	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Who is the best player in this year's world cup?	N/A
20060709151719AAFhfvI	Sports;Football (Soccer);2006 FIFA World Cup(TM)	What did Materazzi say to  Zidane in the world cup finals to make Zidane headbutt Materazzi?	N/A
20060709182402AA0e6JQ	Sports;Baseball	How many rookie pitchers gave up a home run on thier first pitch?	N/A
20060711051639AAQiDgl	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Piensa que la expulsada de Zidane le quito la posibilidad de ganar el Mundial a Francia?	N/A
20060712121512AA5J66D	Sports;Other - Sports	Grand lake st mary's fishing for bass?	I'm going to Grand Lake and with no luck the past two times I've been there I'm trying this! So if anyone can help me out I would really be greatfull.I'm just trying to see what to use and where to go to catch bass big or small. THANKS FOR ANY HELP!
20060712113515AAYTXj5	Sports;Football (Soccer);Argentinian Football (Soccer)	Quien fue el mejor jugador del mundo?	N/A
20060713011123AAXV9sE	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Youngest player to win the football world cup?	N/A
20060713044541AAkKmgJ	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Can we consider lucky as Bush has no sisters?	being one of the most insulted man in the world, heading a country with atomic bombs.....      so stop with this crap that insults justify phisical assault!
20060713053356AAeH9Rr	Sports;Baseball	Give ur all star lineup?	just name all postions and 3 staters and 2 relief      both al and nl
20060713120351AAwu74c	Sports;Baseball	Who won the MVP for the 1994 All-Star game (baseball)?	N/A
20060713181406AAjRwBo	Sports;Football (Canadian)	Ronaldinho,  Pelé, Maradona ou Zidane ?	pour moi ronaldinho et niveau gentillesse et jeu aussi zidane! et vs?
20060715225418AA0uZWc	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Does anyone know how I can email Italy's new hero Fabio Grosso?	It would be great to have Fabio Grosso's email address.
20060720024202AA9Yh2J	Sports;Football (Soccer);Other - Soccer	Come nascono i gemellaggi tra tifoserie?	Mi dite per quale squadra tifate e con chi siete gemellati?
20060720020225AAXkX3a	Sports;Football (Soccer);Other - Soccer	Com'è nata la vostra fede calcistica?	N/A
20060727095745AA8Xi3Z	Sports;Football (Soccer);Men's Premiere Leagues (Italy)	Interisti, andrete a fasteggiare adesso!!!?????	N/A
20060820121312AACTnaG	Sports;Wrestling	CAN SOME ONE PLEASE HELP ME OUT HERE ON SUMMERSLAM WILL MICKIE JAMES GET 2 FIGHT LITA FOR HER BELt?	I HOPE THEY DO FIGHT I WANT MICKIE 2 BEAT LITA SO BAD
20060810061520AAParWL	Sports;Auto Racing	O Rubinho Barrichelo já levou alguma multa por excesso de velocidade?	Porque ele corre pra caramba!!!!
20060725195106AAIbjQV	Sports;Football (American)	Whos gonna start running back for the saints next year???	N/A
20060726101731AAvOeEE	Sports;Football (Soccer);Brazilian Football (Soccer)	Tem algum vascaino por aqui???	Nossa, sou vascaina e nem sei se o vasco ganho do flamengo na final da copa de .......................!!!    Por favor se for contra ou a favor do vasco d a sua opini?o!!!   OBRIGADA   = *
20060731120310AAqEZwB	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Convoque 11 jogadores brasileiros que vc acha que deveria ir pra copa  2006??	como o brasil perdeu feio .. com certeza se tivesse  outros jogadores iria fazer melhor....     melhor sele??o julgada por mim = dez pts...
20060725123841AAxZg3f	Sports;Football (Soccer);Other - Soccer	Che ne pensate di calciopoli?	N/A
20060801125138AAPLb8C	Sports;Football (Soccer);Men's Premiere Leagues (Italy)	Secondo voi, dove dovrebbero nascondersi gli Juventini?	parlo di Juventini sfegatati e non sportivi, sicuramente gli Juventini sportivi la pensano al contrario degli irriducibili
20060803062531AACbahW	Sports;Football (Soccer);Brazilian Football (Soccer)	Quem vai ser campe?o brasileiro este ano ?	N/A
20060801053703AAe1MyA	Sports;Other - Sports	Fa?o caminhada/corrida diariamente, mas o osso da canela e tornozelo ficam muito doloridos, o que fazer?	Quando fa?o caminhadas e corridas pelo menos uma hora por dia
20060721100042AA5YVYF	Sports;Football (American)	Any Vikings fans?	How do you think they'll do this year now that we've got Ziggy and no Duh-nte Culpepper?
20060722175750AA089Pf	Sports;Football (Soccer);Brazilian Football (Soccer)	Qual o clássico de maior rivalidade do futebol brasileiro ?	N/A
20060724095951AALZmz0	Sports;Football (Soccer);Brazilian Football (Soccer)	Você gosta de leil?es?	Acrescente um ponto à resposta anterior e sua resposta poderá ser escolhida "A melhor resposta!!... Escreva DJA!!!...            OBS: resposta anterior: 1
20060724110259AANPXdc	Sports;Football (Soccer);Brazilian Football (Soccer)	Qual  o melhor time do Paran e pq ?	na minha opniao  o melhor
20060727051107AAjuXqW	Sports;Football (Soccer);Other - Soccer	Zidane als Trainer?	Da er seine Laufbahn als Spieler ja beendet hat, habe ich mir überlegt das es doch super für meinen Sohn und die anderen Jungs von der f3 w?re einen so tempramentvollen Trainer zu bekommen!   Was glaubt Ihr-wie kann ich ihn überzeugen?   Mende
20060809114521AAASasc	Sports;Auto Racing	O Rubinho falou que vai parar de correr. Alguém sabe responder se ele come?ou?	N/A
20060728035021AAQsaX0	Sports;Baseball	Is espn going down the drain ?	N/A
20060721095212AABJJCB	Sports;Football (Soccer);French Football (Soccer)	Quanto è brutto il calcio francese da 1 a 10?	N/A
20060720230035AA7JoCx	Sports;Football (American)	Bodog.com screwed me over, i won $3,800 and they just said "we dont have you as a customer" What do i do?	they acted like i didnt make any bets through them, ever!!!
20060812203641AAUsDft	Sports;Other - Sports	Good skateboard deck?	The lower the better 4 pricing, but not one of those cheap ones that only last 4 a week. it has 2 have size 7.75 and be tough enough 2 last rly hard skating for @ least half a year. It should be sturdy, but not so rigid that it'll crack rly easily. It should also have rly good pop and the pop shouldn't wear out quickly. And suggestions 4 trucks would also be awesome. And don't answer 2 get an element cuz they look good or sumthing. I want ur experience with the board. This is only my 2nd board, so I'm being rly picky cuz now I want 2 spend more on quality. thnx
20060725091428AAJWm8o	Sports;Baseball	Where is Harold Reynolds being fired?	I looked on internet and couldn't find.  However I did find a funny story where a Jockey apolized for head-butting his horse
20060724070513AAMaXdO	Sports;Baseball	Where are the Seattle fans?  thank you for beating the Red Sox 2 out of 3?	since the Blue Jays beat our brains in...
20060722190938AAWA88j	Sports;Football (American)	Who hates the Steelers?	N/A
20060723101158AAAkiXI	Sports;Basketball	How hard do u think little leauge plays?	im a preteen im 10 and i would really like 2 know about that.
20060725081530AAmPUdr	Sports;Baseball	Who are we to judge??	OK, I stand corrected and I won't say that Red Sox fans NEVER boo their players........I will just say that I WILL NEVER BOO a player, it's just wrong.  Sure, they will have their good days and bad (like my boy, josh), but I do feel for A-Rod!   see..........I'm not going to bash him!
20060725122818AAFsecH	Sports;Football (Soccer);Men's Premiere Leagues (Italy)	La Juventus partirà a meno 17 punti: c'è la farà ad andare in serie A ?	N/A
20060726091605AAPlORC	Sports;Football (American)	How can I read an aggressive defense better?	N/A
20060726093954AAbp4Nx	Sports;Football (American)	Who is the top 5 running backs in the NFL,give some kind of reason.?	N/A
20060726102535AAFmR0N	Sports;Football (Soccer);Brazilian Football (Soccer)	Como pode um ex-jogador como Dunga,que nunca teve muita tecnica,dirigir um time como o brasil?	Dunga,primeiro,teria que ser um tecnico com alguma experiencia e,pelo o que me consta ele  n?o é.
20060727092001AAggBER	Sports;Football (Soccer);Other - Soccer	Perchè il Milan deve restare in A e magari fare anche le coppe??	Insomma ma che giustizia è questa.
20060727204208AA48UW5	Sports;Football (American)	Should My Brother Be Afraid Of Joining High School Football?	Hi! Thanks for dropping by, my big brother (14) has joined football for high school. He's only a freshman and he is really scared. He is an average joe ya know, 5'3 around 170-90 pounds or so... a really big average joe.      Well i just wanted to know so i can help him out, are there any people in your freshman, sophomore, or whatever... are there anyone who is in your football team that just literaly suck? And i mean they cant really catch, they cant run laps, they cant remember plays or anything?
20060728121009AAndRKo	Sports;Football (American)	Where can i purchase a Philadelphia Eagles Foamhead?	Please DONT refer Ebay or foamheads.com as i have tried those with absolute NO success.neither fanzz as they offer it but never have it in iventory      Thanks in advance      (if you sell those please give me your email address)      Please come with a real answer, i wont be giving free points for this one, sorry
20060728165414AA6NpBA	Sports;Other - Sports	If you created your own sport, how would it be played?	N/A
20060730093904AAn6wnO	Sports;Football (American)	I have a sign jerom bettes champoin mini helment how much should i sell it for?	N/A
20060730115842AAhGViX	Sports;Football (American)	My Yahoo sports page is not able to open the NFL site properly. WHy?	N/A
20060801052005AA8d6i8	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Wie alt ist Zidane?	N/A
20060801193624AAEXbEs	Sports;Baseball	Who will be the Cubs 5 man rotation with Maddux gone?	Zambrano   Prior   Rich Hill??   Novoa??   Marmol??
20060803072015AAOHFbs	Sports;Football (Soccer);Brazilian Football (Soccer)	Quais as cinco maiores torcida do brasil(times brsileiros)?	ranking
