20080719021327AAXwMZS	Local Businesses;Italy;Venice	Quali sono le cartolerie più importanti e rifornite di venezia?	grazie 1000
20090223003003AAbW9uO	Local Businesses;Indonesia;Batam	How to make viideos 2upload 2YOUTUBE step by step guide me pls?	i  tried many times but  i  cant  seem  to      upload  my  videos  to  YOUTUBE YOUTUBE      i  dont  know  how  to  upload  videos  to  YOUTUBE  YOUTUBE      i  dont  know  where  i  went  wrong      i  m  very  new  NEWBIE  NEWBIE      pls  anyone  can guide  me  step  by  step      n  give  me  step  by  step   guide  to  upload  videos   to  YOUTUBE  YOUTUBE  YOUTUBE      Thanks
20090223003039AAXER7t	Local Businesses;Singapore	How to make viideos 2upload 2YOUTUBE step by step guide me pls?	i  tried many times but  i  cant  seem  to      upload  my  videos  to  YOUTUBE YOUTUBE      i  dont  know  how  to  upload  videos  to  YOUTUBE  YOUTUBE      i  dont  know  where  i  went  wrong      i  m  very  new  NEWBIE  NEWBIE      pls  anyone  can guide  me  step  by  step      n  give  me  step  by  step   guide  to  upload  videos   to  YOUTUBE  YOUTUBE  YOUTUBE      Thanks
20090223002419AAojV1F	Local Businesses;Singapore	I still cant open my Zipped files in My Document WinXP NOT RESPONDING n freezes i hav 2 Ctl Alt DELETE?	nn  then       END   PROGRAM      END  PROGRAM      n       send  ERROR  message      wat  shld   i   do  ??         my cooking cooking cooking cooking  cooking       videos r  i  in  the  Zipped  files in  My  Document         wat  shld  i   do  ??
20090223001717AAmDgN5	Local Businesses;Indonesia;Batam	I still cant open my Zipped files in My Document WinXP NOT RESPONDING n freezes i hav 2 Ctl Alt DELETE?	nn  then       END   PROGRAM      END  PROGRAM      n       send  ERROR  message      wat  shld   i   do  ??
20090223014216AA6LoR4	Local Businesses;Other - Local Businesses	Will i get Kevin Rudds $900 stimulus package?	would a Year 10 student receiving youth allowance get Kevin Rudds bonus $900
20090223012110AA5jR7n	Local Businesses;Singapore	How to go to                 TP?	N/A
20090223012546AAgwZ1x	Local Businesses;Singapore	How to  get a  taxi n taxi licence?	N/A
20090223012658AA7Jgta	Local Businesses;Singapore	Wat r fireworks made from?	N/A
20090223005641AAjyvoU	Local Businesses;Singapore	How to download viiideos from Youtube Youtube?	how to  download  videos  from  YOUTUBE ??      i  tried   downloading  videos  from  YOUTUBE      but   it  cant   download      how  to  download  videos  from   YOUTUBE  YOUTUBE  YOUTUBE  YOUTUBE  ??         Thanks
20090223005608AAqkEfu	Local Businesses;Indonesia;Batam	How to download viiideos from Youtube Youtube?	how to  download  videos  from  YOUTUBE ??      i  tried   downloading  videos  from  YOUTUBE      but   it  cant   download      how  to  download  videos  from   YOUTUBE  YOUTUBE  YOUTUBE  YOUTUBE  ??         Thanks
20090222221622AAxc4VT	Local Businesses;India;Kolkatta	Plz help me out.....I am new in Kolkata?	I am a married man...presently staying at Kolkata (West Bengal) all alone..i'm totally new in town...don't hav any frnds too...Can anyone provide me broad minded girls' or ladies contact nos...who loves to enjoy life at its best....?
20090222221735AAaJyOq	Local Businesses;India;Kolkatta	Someone plz help me.....I am new in Kolkata?	I am a married man...presently staying at Kolkata (West Bengal) all alone..i'm totally new in town...don't hav any frnds too...Can anyone provide me broad minded girls' or ladies contact nos...who loves to enjoy life at its best....?
20090222232443AA4rSCx	Local Businesses;India;Other - India	India land of slumedog or milenium?	N/A
20090223001745AACqnYi	Local Businesses;United States;Los Angeles	Where in Los Angeles can I buy fresh duck?  Also, where can I find a butcher shop?	Does anybody know where in Los Angeles I can buy fresh, not frozen, duck?  Is there anywhere where the quality is better and the staff knowledgeable?      Also, where in Los Angeles can I find a true butcher shop?      I am in the San Fernando Valley if that helps as far as choosing options geographically, but I am willing to drive a bit for a better place/product, and would probably prefer to.      Thanks for any help.
20090223002031AAtK2w7	Local Businesses;Singapore	For people living in Singapore?	Would you like the idea of someone, a student walking your dog? Preferably in Yishun?
20090223002835AAEtpaw	Local Businesses;United States;Cleveland	Im looking for a horror/cult/memoribilia store....?	Im from Cleveland, Ohio and Im looking for a store that sells cult memoribilia, horror movie items, t-shirts etc. If anyone knows of any places in my area it would be greatly appreciated.
20090223005558AAfdMJx	Local Businesses;Other - Local Businesses	Babysitting for extra cash!! anywhere from babies,toddlers and younger children?	looking for a bit of extra cash!!...has a experience with babies toddlers and younger children form looking after my niece and nephews as there growing up...im 14 years old and mature!! let me know for more information if your interested!!i'm in victoria-australia fyi!!
20090223014726AAa2ncO	Local Businesses;India;Chennai	Where can I get spice 590 mobile in chennai?	N/A
20090223015042AAuOLzW	Local Businesses;Australia;Adelaide	Newspapers in Adelaide?	I hope to know what newspapers in Adelaide we can find looking for job information.
20090223015840AAAynYz	Local Businesses;Singapore	Where is                                    MAS?	N/A
20090223022458AAkkca3	Local Businesses;India;Other - India	INDIA- Which is the best Deodrant available in INDIA? hurry..?	What about WILDSTONE? Which ?
20090223021435AAowtX0	Local Businesses;India;Other - India	INDIA - BSNL launches 3GP, Can anyone tell me about 3GP?	Also, suggest (tell) me few 3GP Compatible mobiles available in INDIA.
20090223023420AATstZy	Local Businesses;India;Mumbai	Where to apply for a caste certificate?  Can I apply for my 4 month old son I resides in Andheri (E), Mumbai?	My residence in Andheri(East) Mumbai . I would like to avail caste certificate for my 4 months old son?
