20060728070641AAMHFLL	Yahoo! Products;Other - Yahoo! Products	How do I get a yahoo avatar instead of my picture wuth a smiley face? I want to change it- soon!?	I already chose to have no picture... but can I change that now? If so, HOW?
20070129111423AA9hoCh	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	When using MSN, can you actually see emoticons on your screen that were sent from a PC if you have a Mac?	I would like to buy a Mac computer next week but I am a little concerned about MSN emoticons. How is that going to work? Will I be able to see emoticons sent from friends using a PC? What about the emoticons I send to my friends from my Mac? Will they be able to see them?      Another thing. I have collected many emoticons in my current computer. How can I transfer them to my Mac computer? I currently have Dell PC.
20070130140932AAV5VlB	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How do you get signed in on two screen names?	N/A
20070130142216AAi5rVp	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How can i get flashing (animated) letters etc 4 msn live messenger?	N/A
20070201055014AApUwU9	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Can i send a fax email through yahoo mail?	N/A
20070210085741AAKqjWf	Yahoo! Products;Yahoo! Answers	Why is there the shadow of a male avatar in the background by default?	Like, couldn't a happy face or something have sufficed?  That is very chauvenistic!!!! :~)
20070216044948AA7dkVo	Yahoo! Products;Yahoo! 360	How can i find my  URL for 360 account?	still i cant open my 360 and all the rest is ok
20070221160621AARbzjT	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How do i cancel a sent invite to add a contact to my messenger list?	N/A
20070224082854AAQRxSj	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Can you retrieve a sent message, before the recipient opens it?	say you sent your ex a nasty email, then to find out you were wrong....and want to delete it, before she reads it
20090202194446AAFP8pD	Yahoo! Products;Yahoo! 360	How do you delete your profile on here?	I found my old profile and have started using it, i need to delete the extra one.
20090202195903AA0BplH	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do I get my account deleted?	N/A
20070301142857AABRXnk	Yahoo! Products;Other - Yahoo! Products	Yahoo avatars?	i have a male avatar i haven't put up yet. i want to change him to a her can i do that and if so how do i?
20090202202837AAE3Wzh	Yahoo! Products;Yahoo! Answers	Should I get a haircut? (picture included) anybody answer?	 http://www.myspace.com/diegolakerforlife 
20090202211418AA2MNrw	Yahoo! Products;Yahoo! Answers	I keep getting a response that Yahoo answers is unavailable?  Why?	N/A
20090202214431AAq4mQs	Yahoo! Products;Yahoo! Answers	I cant answer any flipping questions and it's a NEW DAY?	Y!A has gone crazy ?      i think its telling me i should do more important things like VACUUM THE HOUSE before mum comes after me with her babouche.
20090202202542AAZaHkd	Yahoo! Products;Other - Yahoo! Products	Just to clear it up..?	yes, me and my friend (or you may know as "call me nipps") were messing with the hairy body stuff. it was a joke, we were just having a laugh. both of us aren't hairy or anything. we shave, thanks. haha, but you guys need to chill a little for being so hard. of course other people would notice that we've been posting like the same question about hairy groins and what not. so were done. relax guys, seriously.         BUT ANYWAY, i have a real question      i need a good example of a hyperbole, something that i can draw .   like "the book weighs a ton"   i'd draw a book that like has 1 TON on it or something.   but i can't use that because it's one of the examples   so does anyone have a good one?
20090202205237AAr2vwc	Yahoo! Products;Yahoo! Answers	How do you change the little picture thing above your name on here?	i changed my profile pic, but how do i chnage the one that ppl see when i like answer questions and stuff?
20090202204919AALKlP7	Yahoo! Products;My Yahoo!	This is easy to do you can>>>>>>>>?	Get 10 points on this all you have to do is encourage people to leave comments about anything and you have to leave comments and i have to see you are encoruaging other people because i need to get more than 2,000 peoples comments please help me.         This is a goal to me
20070227190012AAtWnRF	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Yahoo Messenger?PLEASE HELP?	Can u add someone from ur address book who uses hotmail 2 ur yahoo messenger im thingy????
20070228015649AAnEqis	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Problem sending an SMS message through messenger??	Am not ale to send SMS message to a mobile no. from Yahoo messenger. The mobile no. is correct. Getting a message that the phone no. cannot receive SMS messages at this time. What should I do?
20070303015655AApeVw3	Yahoo! Products;Yahoo! Mail;Problems with Service	How do i validate my incredimail?	N/A
20070311150631AAYjavY	Yahoo! Products;Yahoo! Mail;Problems with Service	Why can I get into MyYahoo but I can't check my e-mail?	N/A
20070324091555AAXb2F6	Yahoo! Products;Other - Yahoo! Products	How do you delete a web site from web search?	N/A
20070331205851AAQyoIq	Yahoo! Products;Yahoo! Messenger;Problems with Service	Removing the voice mail icon,when you didn't get any voice mails, but it is displayed on phone?	ive turn off phone , replaced battery, and push the * key nothing it still there
20070405070641AAuTVkI	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Why Isnt Adult webcam rooms listed on my chat list?	N/A
20070407192257AAmeY5k	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Can someone help me out? yahoo complaint?	I wish to send a complaint to YAHOO.         They deleted my account and I am bonkers angry about it. Not just my account but my EMAIL. I had things in there I needed!         I believe it was them because my 360 is also gone and I cannot sign into my EMAIL.         I am so angry. I didn't leave any rude answers or anything either.      Its very fustrating.
20070409171413AAWPSBb	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Once I have sent an email, can I get it back before the end user opens it??	I sent an e-mail, but the wrong one, how can I get it back before the other party opens it?
20070413080626AAjSeVw	Yahoo! Products;Other - Yahoo! Products	Why can't I login to Yahoo games from Kuwait?	I am in the middle of several cup games and cannot complete them as I am working in Kuwait and can't login!!!!!!!
20070414110718AARhfhD	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	I want yahoo messinger arabic?	N/A
20070416123415AACd0wu	Yahoo! Products;Yahoo! Mail;Problems with Service	I keep getting grey space instead of the textbox when I try to compose or reply to emails. Any ideas?	This is not a new account and has happened at least 7 or 8 times in the past week.
20070422052720AA2PePT	Yahoo! Products;Yahoo! Answers	Strangers w/Arabic names contacting me thru Messenger& Answers. Arabic writing, poor English. What's going on?	N/A
20090202205120AAiu2Hl	Yahoo! Products;Other - Yahoo! Products	Cntinued qeustion dwsdw?	the next day idk where i was i dont even remember the day really but i go 0-2 and its all over... my life is done. im heart broken, my girlfriend does all she can to help me feel better but it doesnt work.. to watch all other 5 senoirs go to state killed me inside... so begins the downword spirail... due to wrestling i never had the most outstanding grades so colege funding was out of my reach..and a wrestling schollership.. well that was gone now.. so i i sat around all summer sulcing and gaining wieght...well summer and and my girl moves away.. of course i have no car job or work experance.. so i dont get a job and i sat around the house all day doing nothing and my girlfriend would always beg me, please get a job or car so we can see eachother i miss you and love you so much.. but i was taking the year off i would party and party and do nothing else and raely see the one i loved.. so a whole year goes by and next year roles around... i have no money no car no job.. cant get into college so i stay at home again with nothingdoing more of the same. growing more and more upset with myself and hiding from myself. intill finally my girlfriend has had enough so my girl friend and i break up and i cant beleive it so i dont believe it so in the next four months my eyes open some at the trime i wieghed about 390 at 19 years old i manage to start working out again and become a pretty lean 300 for that wieght and i get a job so one day i decide its time to talk to her... so im talking to her and shes tells me shes moved on and thats when it hits me how upset i really am that shes dating other guys... so i ask her if she would like to go out sometime and she says yes that would be great. she said she didnt have a real boyfriend and jerks me around for a week or so, when i find out she does have a boyfriend and she has for awhile... so this destroys me i start calling off work and not working out and before i know it i quit.. (also the job did suck alot though... i dont recomend unloading trucks for walmart your not respected by anyone) so herei am now.... lonly.. unsure of what to do reaching out for help... my wrestlings gone... the one i loved is with another... and im back up to 370 pounds at 19 years old... sitting on the computer hopeing something will come and help me for i do not want to be on this road i am on in life and i can not get off of it.....she might not seem like it because theres not much about her in here but i loved my ex with everything i had and wanted to be with her forever... but thats about how much detail i am willing to go into right now... any input will be great thanks
20090202205137AAKLIkA	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How to Delete an unwanted account?	How do i delete my winx club account i think i've grown out of it but i can't figure out how to delete it please help thank you!
20090202205304AAoiAb3	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	I am having trouble with yahoo messenger, help?	Recently I installed visual basic express edition in my computer. After doing that, every time i try to chat with someone through yahoo messenger, I get an error message. Some script error saying there is no space to run scripts on this page. I tried re installing ym, but the problem persists. When I tried system restore, it was fine. But then visual basic got deleted and then I re installed visual basic and found the same problem again. Please help, I really need both vb and ym in my system.
20090202205319AAMK1Av	Yahoo! Products;Yahoo! Mail;Problems with Service	Would you please help me how to verify my registration at friendster so i could send messages to my friends?	how to verify my registration at friendster?
20090202210256AA4gCZn	Yahoo! Products;Yahoo! Answers	Needs 2 be answered now!!!?	ok so i have a boyfriend but i love someone else but i dont want 2 hurt my boyfriends feelings by dumping him!!!!! what should i do??? help me please!!!
20090202210336AATuvak	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	I sent a mail through Yahoo mail. Is there a method to confirm if the recepient has seen it or not.If yes ?	If yes then how can i check if the mail has been opened or viewed.
20090202211557AA46kBs	Yahoo! Products;Yahoo! Photos;Uploading Photos	Need help to get pic/avatar to work?	i've uploaded a pic/avatar cant get  it to work pls help
20090202211951AAFh8nI	Yahoo! Products;Yahoo! Messenger;User Profiles	I was wondering if you can change your screen name for yahoo?	or do you need to make a whole different account?
20090202212302AAlCcz0	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	I got an email saying i had to contact yahoo or have to pay for my email is this true?	i just got an email that if i did not contact yahoo saying that they only had 57 somethings left and if is did not contact yahoo, i would have to begin paying..
20090202212947AAZ4l7s	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	My yahoo Messenger name refuses to change!?	my screen name is something stupid that I didn't even pick and my age is messed up also. I have tried to go to messenger my contact details. I changed the stuff in there to what I wanted my name to be and hit save but my screen name was still the same!!! I went back and looked and the stuff was still changed but it wasn't showing up as my screen name when I talk to people. How do I fix this!!!!!
20090202213518AAjuMVx	Yahoo! Products;Yahoo! Messenger;Voice Calls	Does yahoo messenger pc to pc call cost money?	does yahoo messenger pc to pc call cost money?   i mean, its ABSOLUTELY FREE?  doest have to pay yahoo or the internet provider?    PS: im calling from US to Philippines...
20090202213617AAUBKm0	Yahoo! Products;Yahoo! Messenger;Problems with Service	I am having trouble lgging on to my messenger it wont come up?	N/A
20090202214502AAHLcG8	Yahoo! Products;Yahoo! Mail;Personalization	I cant read anything . my xp font has been changed.?	I'm running xp sp2 in my laptop but suddenly one morning i found that i cant read anything i.e my xp font has changed to some sign/machine languages....So what should i do now?   Plz help me..i want quick ans....
20090202223335AAg9bMR	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	Does anyone know of a good online chatting place? ?	N/A
20090202220426AAwJoVC	Yahoo! Products;Yahoo! Answers	How do u give a good answer on yahoo answers?	Please be as specific as possible also using references would be great .   also Could you please put an answer in the answer so i can comprehend while i comprehend?
20090202214734AAoXIN8	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do i set up an additional email address?	N/A
20090202215241AAGjgpH	Yahoo! Products;Yahoo! Answers	How can i change the country on yahoo answers?	when i log into yahoo answers it says up the top yahoo singapore..... im from australia so how can i change it to that or to global?
20090202215408AAJpbXh	Yahoo! Products;Yahoo! Mail;Attachments & Photos	I need an email provider better than yahoo or gmail to send graphics/audio files with more securityflexibility?	Even if I have to pay for it.
20090202215854AA8YCDp	Yahoo! Products;Yahoo! Answers	Why do people ask political questions on this site and then only select answers that confirm their biases?	I will select any answer that destroys my biases for this question.
20090202220135AAUS881	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	How to create a undisclosed-recipients account, I think in this you can send mails to many people?	I hope this way you can send mails to many people without letting them know who else have received this mail.
20090202230233AALHBc3	Yahoo! Products;Yahoo! Answers	I wonder when people post questions on y/a do they really expect legitimate answers?	i know i do.
20090202224342AAUNR5X	Yahoo! Products;Other - Yahoo! Products	I want to join Yahoo personals but I have no credit or debit card. Can my friend sign me up using her card?	I want to be able to communicate with other members, but Yahoo won't take money orders or electronic checks or Visa gift cards. My friend said she would allow me to use her debit card, but I'm not sure if Yahoo would accept this. We don't share the same address. I can't find information about this in the Yahoo personal's site.
20090202224454AAg620P	Yahoo! Products;Yahoo! Answers	Get answers from millions of real people.?	i  have  done  Diploma in Information Technology .can  anyone  tell  me  is  it  Equivalent  to  O level from  Doeacc because according  to  ministry of  education  Level  from Doeacc is  equivalent  to  a  foundation course in  computer  .  and the course  which i  did  contains  all  the  subjects which  O level  contains ????????????????
20090202225059AALWhQX	Yahoo! Products;Yahoo! Answers	Where can i buy a A-2 leather flight jacket?	The one that has the map lining inside and doesn't have a fur collar.   Anyone know where i can get one & for a good price?
20090203000700AAeXDh4	Yahoo! Products;Yahoo! Answers	What is the main difference between UK answers and the US version?	I noticed a lot of US American users who prefer to hang around in the UK…!?
20090202232945AAWQBJ4	Yahoo! Products;Yahoo! Mail;Address Book & Calendar	In yahoo mail I'm unable to insert addtesses when forwarding?	N/A
20090202233630AATf7YR	Yahoo! Products;Yahoo! Messenger;Problems with Service	How do you sign up for IM?	One of my contacts asked me this question and I suggested she post it on Yahoo Answers, so I am posting it for her. Can you help?
20090202234753AAXdPpH	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	I missed an e-mail in Corabelle, please help to get it back?	I missed an e-mail in Corabelle, but I did not empty the tray. please help to get it back
20090202235304AAQtYZA	Yahoo! Products;Yahoo! Messenger;Problems with Service	Is yahoo messenger down at the moment? im in melbourne...?	N/A
20090202235511AAIoBAr	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do I change my name?	As you can see (as far as I know) my yahoo name is randomwriter18. However, as today is my 19th birthday, that really no longer applies, so how do I change my name?
20090203000157AAqlEzc	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	I missed an e-mail in ash-bin. please help how to get it back.?	I missed an e-mail in ash-bin. please help how to get it back.
20090203010935AAxa5kR	Yahoo! Products;Yahoo! Mail;External Mail (POP)	Name the address or Ip of the Pop3 server for Yahoo?	N/A
20070423133658AAqU7uu	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do I add an e-mail account to my existing yahoo account?	N/A
20070423133726AAVpmqw	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Incoming and outgoing messages in yahoo messenger come up blank. How do I fix this?	In yahoo messenger, I can type and send messages as well as recieve them. But they don't show up in the window. I can see that the person is typing. And they can see what I type but it will not appear in my window. What is wrong and how do I fix it?
20070423134441AAAe5TF	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	How do I get a yahoo email address?	N/A
20070424085104AAArnYY	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How do you remove someone from your instant message?	N/A
20070427214451AAv8PAG	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	How to edit font size of printed e-mails.?	I cannot read the printouts   Thanks a lot
20070430051131AAjYGCc	Yahoo! Products;Yahoo! Mail;Problems with Service	If i want to received my messages with Arabic what can i do?	I WAS RECEIVED MASSAGES IN MY MAIL WRITEN WITH STRANGE LANGAUGE AND I CANNOT READ IT SO I WANT TO RECIEVED THESE MASSAGE WITH ARABIC (PLEASE)
20070516190634AAggwiN	Yahoo! Products;Yahoo! Answers	What are yahoo points for when you answer a Question?	N/A
20070517220855AAavdOQ	Yahoo! Products;Yahoo! Messenger;Problems with Service	How do I stop Yahoo Messenger from crashing after signing in?	This just started happening but right after i sign into yahoo messenger it crashes and it ask me to close it or debug it i have tried both and reinstalling it but it continues to crash how to i stop this??? Thanks in advance :)
20070518055359AAyO4UL	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	How i can set my email address to every body ,that they can send me email by clicking on my email address?	I Would like to link my E_Mail address to every body that they can send me email by clicking on my E_mail address?
20070520193828AA37kkV	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	When there are a lot of e-mails address on a e-mail that has been forwared a lot  how can I take them off .?	N/A
20070528123534AAUvVZo	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	I'm struggling to access my yahoo mailbox for some time now?	N/A
20070605062521AAO11Q0	Yahoo! Products;Other - Yahoo! Products	What are the different ways you can topup a vodafone mobile ?	N/A
20070613075709AAstHoz	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Why does my name come up when i email someone and not my yahoo address after it being sent 2 them?	N/A
20060725151713AA7cthG	Yahoo! Products;My Yahoo!	Que cancion creeis que es la mejor de la oreja de vanghot?	N/A
20060729083851AAQsTeX	Yahoo! Products;Yahoo! Answers	Why is this thing bein such a pain in the @ss?	damn its annoying!
20090202203804AAaxe7Z	Yahoo! Products;Yahoo! Mail;Problems with Service	Suddenly can't get stationery in mail.  how can I get it back?	N/A
20090202204206AAgwu1m	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do i close my account?	N/A
20090202210233AAECqYF	Yahoo! Products;Yahoo! Answers	Is this yahoo ask/ answer really helpful?	Because so many times we get conflicting answers it sometimes makes us even MORE confused.  If something is a real problem, isn't it better to seek professional advice?  I enjoy opinions, but I get so many different ones, that after all, I can not get a right answer.  Hmmm.... any opinions?!  (haha!)
20090202203150AAbYEP4	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	Does any one on here know how to change your name. ?	On this thing idk why but my name came up bobby and i want it to be my real name how do i do that????
20090202210705AAB7ofQ	Yahoo! Products;Yahoo! Answers	How do you feel when Yahoo suddenly shouts "Whoa!  You've earned 5 points!"???  I feel thoroughly confused....?	..like since when Yahoo became so generous and started doling out points...just like that?!?!        Could anyone,  with experience,  solve this mystery...Please?
20090202194734AAGDc5l	Yahoo! Products;Yahoo! Answers	Alright peoples how do i change my yahoo avatar?	i can't figure out how to change my avartar, cause i can't remember how i made it to begin with!! lol
20090202205528AAv7nXx	Yahoo! Products;Yahoo! Answers	How do i pick my best anwers for my question?	im serious yahoos!
20070507150341AA9ERWM	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Why cant I recive incomming mail? But I can send?	I am not able to recieve email.
20061121231321AA5lPCu	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	When i send a im my last name shows,how do I get rid of that,ty?	N/A
20061121232449AA1LErG	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	We have this yahoo messenger rite? In that hw can v check the chat cinversations of previous chats?	Please send me a mail regarding this. Coz, Gmail has this facility of checking the conversations of the chats done long back till current chats. How to checdk it.
20061209120716AA6bunB	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	I want to reinstall yahoo messenger 7.0. where can I get it?	N/A
20061212080315AANfWp6	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How do I change my instant messanger name that appears on my instant messages?	N/A
20070110102407AAPV9rd	Yahoo! Products;Yahoo! 360	Help please, fileden is not working for me......?	Can someone give me some names of different file hosting sites......I need direct URLS for 360......I don't like to link them, i like the play and go.     don't know what happened to fileden....but after several tries, i give up
20070317195205AADKn99	Yahoo! Products;Other - Yahoo! Products	Runescape membership question?	i just bought a Visa Giftcard to pay for Runescape membership, but when I type all of the information and submit it, it says "the transaction was declined by your card issuer". what would i use as the cardholder's name, i tried my name but it didn't work
20070320193557AAHm1Pn	Yahoo! Products;Yahoo! Answers	How do I get to enlarge the printed names listed under my friends in yahoo messenger?	N/A
20071108100739AAS9y42	Yahoo! Products;Yahoo! Answers	Looking back.....?	So today (actually, a couple of minutes ago), i was looking through some of my old questions, and now, me being older... even if it is just one year older, i'm thinkin like, "wow, why did i ever post that i could have jutt thought about it myself!" Does that ever happen to you cause i feel like most of my questions back then (a year ago) were pointless and some stupid...
20070705183453AAKmJes	Yahoo! Products;Yahoo! Answers	Can i put an amber alert on answers?	N/A
20081028030610AApLQeP	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How do i load an older version of yahoo messenger?	yahoo messenger 8.1
20081108135424AA4zQYF	Yahoo! Products;Yahoo! Answers	SEX QUESTION ANSWER QUICK.?	ive had sex before, but me and my boyfriend want to do it together now, but for some reason im really scared, i trust him and everything... and i trusted my ex boyfriend also.. i just always got scared, and now that i havent had it in a while im scared again, idk what of... its not of getting preagnant... or people finding out... its more that im scared of pain... how do i calm myself down b4 sex?
20090201141201AAds2uv	Yahoo! Products;Yahoo! Real Estate	What is the best realestate website?	there was a great web site it was called zillions what happen to it????
20090202135806AA73Khd	Yahoo! Products;Other - Yahoo! Products	Can you help me with my history?	1.   In the Second Industrial Revolution, what led the way to new industrial frontiers?  (1 point)   textiles, railroads, iron, and coal   a true world economy, internal-combustion engines, and new products   radios telephones, light bulbs, and telegraphs   steel, chemicals, electricity, and petroleum   2.   According to Karl Marx, the ____, or working class, was oppressed by the middle class.  (1 point)   Proletariat   bourgeoisie   socialists   Communists   3.   What elements made possible the Second Industrial Revolution?  (1 point)   textiles, railroads, iron, coal   steel, chemicals, electricity, petroleum   earth, air, fire, water   concrete, timber, silk, spices   4.   According to Marx, the means of production were owned by  (1 point)   the ruling class oppressors.   the working class oppressed.   the government.   the Proletariat.   5.   One form of Marxist socialism was eventually called  (1 point)   Engelism.   Euroism.   communism.   proletariatism.
20090202140120AAtc3Wt	Yahoo! Products;Other - Yahoo! Products	Is there a limit to the number of web pages I can have on yahoo web hosting?	I want to start my own website.
20090202161534AAXaTiN	Yahoo! Products;Yahoo! Groups	How Long do you have to wait after posting item to see it on line?	How long do you have to wait to see if your items get posted on line?
20090202193904AA7kV8e	Yahoo! Products;Yahoo! Answers	How to delete one of my own "asked" questions from yahoo answers?	i know this is a bit ironic, but how do i remove one of my previously "asked" questions from my yahoo answers profile...i cant seem to figure it out lol
20090202193920AAL7mng	Yahoo! Products;Yahoo! Mail;External Mail (POP)	Is there a way to forward my gmail to 2 email addresses?	I currently have my gmail forwarding to 1 email address.  Anyway to forward it to two concurrently?
20090202194003AAkwsHU	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do you delete your yahoo account lol?	N/A
20090202194911AAAoVUv	Yahoo! Products;Yahoo! Answers	Why won't yahoo answers let me ask questions?	I can't figure out why it wont let me ask questions...
20090202195328AAe4pEg	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Does my account get suspended for asking what the code is for the full version?	I already have 2 accounts suspended.  I think the 2nd one got suspended for one violation I think which topic was asking for what the code is for the full version.
20090202195445AAuaM5f	Yahoo! Products;Yahoo! Toolbar	There is nothing on my desktop and no toolbar, just a screen with the background?	N/A
20090202201503AAoUzZa	Yahoo! Products;Yahoo! Search	Where to watch Nailin Palin on website with no pop ups of porn or viresus or etc clean website?	I WANT TO WATCH THIS So BAD!!!! LOL
20090202202143AAisdVE	Yahoo! Products;Yahoo! Shopping	What is the top website to order Fake ID's from ?	Fake Id's
20090202204522AAr02gq	Yahoo! Products;Yahoo! Mail;Yahoo! Mail Beta	In Mozilla Firefox my forward sign and back sign is missing can anyone help me and thxs ! ?	N/A
20090202205102AAxBg4H	Yahoo! Products;Yahoo! Answers	How can You Appeal Someone Else's Account on Y!A ?	There was a Certain User in My section that got his Account Suspended and He asked could I help him to appeal It, but I don't know where to go to Appeal it and How to ? Please Help ? Anyone I'm desperate.
20090202205210AAQZaBc	Yahoo! Products;Yahoo! Answers	Get answers from millions of real people.?	is there a medicine for hampsters?
20090202205300AArqDEd	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	I install yahoo messenger 9, after instalation when i click messenger icon it dint open, i uninstalled and inp?	i install yahoo messenger 9, after instalation when i click messenger icon it dint open, i uninstalled and installed 4-5 times but i dint work
20090202205545AArVW5M	Yahoo! Products;Yahoo! Mail;Attachments & Photos	If I sent a message on myspace ?	and It said it was sent, and everything, and I went back to the same reply message and sent another one did they get the first one? Because now in my inbox the only one that's showing that was sent was the last one.
20090202205630AAEyuMp	Yahoo! Products;Yahoo! Mail;Problems with Service	Why did the email that I sent tonite at 10pm show that it was (?) sent at 4:07am tomorrow?	I have never had anything except the actual time  pop up as the time sent.The clock on the computer does show the correct time.
20090202205927AArrnRs	Yahoo! Products;Other - Yahoo! Products	I can not see vijeo on yahoo.com ?	N/A
20090202210236AAzRoZG	Yahoo! Products;Yahoo! Messenger;Problems with Service	Messenger does not work right?	It keeps putting a dating service up on messenger telling me that Flash player is old version and have tried to install 4 times messenger is all messed up worked for about 4 hours yesterday
20090202210420AAhb2ls	Yahoo! Products;Yahoo! Mail;Attachments & Photos	How do I attach pictures to my email without the recipient being able to access my other files?	Don't know if it matters, but I have Vista.  When I attach pictures to my email and the recipient receives it, they click download all. Then the after downloading, the screen comes up with the pix for them to click on to see, but on the left side, they also have the option of clicking my files...documents, pictures, music...  How can I email pix without them being able to click into my files?  I hope this is making sense to someone.
20090202210520AAfOMzk	Yahoo! Products;Yahoo! Messenger;Problems with Service	Why, i can't login to Yahoo Messenger from my lap top?	Hi everybody,    I am using vista home basic, new lap purchased last day. I tried several times to login to YM, why it is not  possible?  At first time I tried from my office, there the YM is blocked by the Admin, then I reinstall the messenger from home, then also having the same problem.
20090202211242AAyR0li	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	What Happen To Yahoo Messenger For Vista?	N/A
