20090223125609AAPtmwh	Dining Out;Canada;Toronto	Good steak places in Toronto?	Does anyone know any good steak places in toronto? Price isn't an issue. Thanks.
20070510135243AAkLEjK	Dining Out;Mexico;Mexico City	?Porque se enojan los tamales?	N/A
20070510174554AAMSVlo	Dining Out;Mexico;Hermosillo	Bueno quisiera saber como se hace la birria estilo jalisco?	por que quiero cocinarla para mi cumpleanos  ho otra receta tipica de algun estodo por fis gracias
20070715161512AAm8oiM	Dining Out;Mexico;Mexico City	Conocen algun buen lugar para comer en el DF o area metropolitana? recomienden sus preferidos?	en unas semanas es mi cumplea?os eh ire a festejar al df con mi familia, alguien  que me recomiende algun buen lugar para comer algo con buena comida ,, se aceptan sugerencias de todos los tipos =)
20070706204111AAMjYNQ	Dining Out;Other - Dining Out	Cuanto dejas de propina cuando vas a un restaurante?	N/A
20070708140623AAmsMTr	Dining Out;Other - Dining Out	Restaurantes estupendísimos!!!!!?	Viajo con frecuencia o tengo intención de ir pronto a los siguientes lugares:   Madrid.   Bogotá.   Buenos Aires.   Lima.   Caracas.   Miami.   Tienes en alguno tu restaurante favorito???.   Gracias!!!.
20070626172500AAn6g6t	Dining Out;Mexico;Aguascalientes	Hola!!!! ?Pueden darme consejos para hacer existosa una cafetería?	Ojalá puedan contestarme personas especializadas en el ramo. Gracias,
20070721172100AAOlT5h	Dining Out;Mexico;Mexico City	?Cual  es el puesto de tacos  o taqueria de moda en el df?	ME acuerdo que en un tiempo fue "la Lupita", en otro tiempo los "chupacabras".       Y el de hoy??
20070710142156AA1qnHc	Dining Out;Mexico;Mexico City	?Qué café de Coyoacán recomiendan que tenga terraza y sea romántico?	Ando en busca de un buen lugar en Coyoacán donde el café y los postres sean sabrosos, con un ambiente romantico y además que cuente con terraza para ver desde lo alto ese bonito lugar. En especial que tenga terraza pues quiero llevar a alguien especial ahí, y le gustaría tomar un café en la terraza. Por favor pongan nombre y dirección del lugar, se los agradezco mucho.
20070519130218AA9s7En	Dining Out;Mexico;Mexico City	Que opinion tienen de los restaurantes california en mexico.?	N/A
20070621131241AAoAaTJ	Dining Out;Mexico;Mexico City	Cual es la comida que mas comen?	N/A
20070706184604AAOCxDR	Dining Out;Fast Food	Porque la comida chatarra es da?ina para la órgano?	la comida como amburguesas, fritos y demas
20070710100210AAHF73d	Dining Out;Mexico;Mexico City	?Algún restaurante romántico y no muy caro sobre Reforma???	O en el Centro Histórico...
20070715120515AAge6Ls	Dining Out;Italy;Rome	Q nombre le pondrias a tu mascota si fuera una tortuga?	N/A
20070720154255AAR9fze	Dining Out;Mexico;Mexico City	Sugerencia de Restaurantes en el D.F.?	Hola, quiero llevar a mi novia a un buen lugar pero no tan caro de ser posible no gastar mas de 500 pesos en la comida. Qué lugares me recomiendan que no sean de pescados o mariscos?   Gracias
20070810161525AAfjYjM	Dining Out;Mexico;Mexico City	En plaza Aragón hay un Oxxo?	N/A
20070902152305AA1VpWu	Dining Out;Mexico;Puebla	Consejos para hacer comida para diabeticos?	Estoy intentando hacer un negocio de comida para diabetico. y necesito saber de recetas que les agraden. mandenme un correo para contactarlos por favor, o algo que me sugieran
20070807151843AAwbiLN	Dining Out;Mexico;Mexico City	Donde puedo encotrar una lista de ditintas combinaciones mesclas y formas de preparar bevidas alcolicas?	como por ejempro como se prepara una margarita, una conga, un paris de noche, un beso de angel, ect,
20070810112659AAaFjIi	Dining Out;Mexico;Mexico City	Bares Alternativos en México DF?	Cuales son buenos bares de rock alternativo en el DF? En especial había uno por Bucareli que servían unos mojitos muy buenos....
