20090306090811AASC6YB	Entertainment & Music;Music;Lyrics	Songs You Can Get Angry At?	Need One So Bad
20090306161648AA3RsYT	Entertainment & Music;Polls & Surveys	What is the first thing you think of when i say.............?	1. Hannah Montanna      2. Pokemon      3. God      4. Forest Gump      5. Texas      6. Bananas      7. School      8. mall      9. money
20090306161400AA6ZjPQ	Entertainment & Music;Polls & Surveys	Poll: How much of your heart have you shared with a certain other person?	N/A
20090306161550AAzUgNI	Entertainment & Music;Polls & Surveys	Who would win in a fight:Yoda from Star Wars or Gollum from Lord Of The Rings?	N/A
20090306162113AA4lS7X	Entertainment & Music;Polls & Surveys	Do you have a token redheaded friend?	N/A
20090306162331AABHlBq	Entertainment & Music;Polls & Surveys	Poll of the Century...hamburgers or hot dogs?	I go for hamburgers.  What's your favorite?  Don't just say hamburgers to suck up to me for 10 points.  Answer honestly.
20090306161621AAK3jRK	Entertainment & Music;Polls & Surveys	When your contacts ask a question?	Do you rush to answer it or wait to come across
20090306162345AAKpVQ6	Entertainment & Music;Polls & Surveys	Do you, or have you ever kept a diary?	like one that you write down what happens every day....?
20090306161507AA8FiIJ	Entertainment & Music;Polls & Surveys	What is your least favourite...........?	These are mine:      City in your country: no comment just wanted to stir the pot   Sport to play: Volleyball or Tennis   Sport to watch: Footy   TV show: City homicide, annoys the crap out of me, i hate it.   Section on Yahoo Answers: dont have one, whats yours?      Who is your least favourite Celebrity: Kanye west, arrogant preek, how dare he smash and an australian photographers camera and go psycho, anyway his music sucks arsecheeks anyway now.
20090306162112AA3SAqJ	Entertainment & Music;Polls & Surveys	Ugh. My closet is over flowing and theres no more room under my bed. Where should I hide the bodies?	N/A
20090306161735AAgqKlR	Entertainment & Music;Polls & Surveys	That women on wheel of fortune had the million dollar thing and just spun a bankrupt. How pissed would you be?	N/A
20090306163043AAniTcJ	Entertainment & Music;Polls & Surveys	Which is more important...?	my little ponies or pudding?
20090306161535AAxRsKG	Entertainment & Music;Polls & Surveys	My ring completely disappeared? i don't know what happened to it?!?	i dropped my ring yesterday on accident and when i came to look for it 5 seconds later it wasn't anywhere in the room. I think the devil from hell took it. But thats impossible-i think
20090306162411AArxuMX	Entertainment & Music;Polls & Surveys	How should i do my hair..im a guy...haha...pic included...?	This is the only pic i got with my hair actually out the others im all wearing a hat....but i want to get out of the habbit of hats....just worry about the hair...nothing else!       http://s725.photobucket.com/albums/ww258... 
20090306161021AAEaq2U	Entertainment & Music;Polls & Surveys	Motion City Soundtrack anyone?	i love them! :)   favorite song would have to be... hmmm...   either it had to be you    or   Hold one. :) hahaha :]
20090306162247AAXVjAJ	Entertainment & Music;Polls & Surveys	Rock, paper scissors?	I've picked mine who can win first?   winner gets 10
20090306161525AAeWi9N	Entertainment & Music;Polls & Surveys	What's your favorite movie?	N/A
20090306162320AAscF0R	Entertainment & Music;Polls & Surveys	What's the most fun you can have with butter?	N/A
20090306162725AAMH0gL	Entertainment & Music;Music;Other - Music	IPod Nano??????????????????	What are some good things about a iPod Nano and some bad things?
20090306162312AAA54Sv	Entertainment & Music;Polls & Surveys	I bet that 90% of all the questions on Y/az have been asked already???? So, will you tell me something new?	=>
20090306161901AAzA56T	Entertainment & Music;Celebrities	Should I stand up on the counter at McDonald's and sing "Fly on the Wall."?	N/A
20090306161705AAfrXFv	Entertainment & Music;Polls & Surveys	Survey: Why am I not sleeping right now?	N/A
20090306162253AAeP0Wx	Entertainment & Music;Polls & Surveys	Survey: What would you do if someone said "okay that's it.. I'm going to sleep!"?	N/A
20090306162323AA8lgwa	Entertainment & Music;Polls & Surveys	What's the most inspiring movie you've seen?	N/A
20090306161011AAzSuJ4	Entertainment & Music;Polls & Surveys	Curiosity killed the cat?	if curiosity killed the cat and satisfaction brought it back   what satisfiedly killed you? all answers acceptable
20090306163046AAHjdc0	Entertainment & Music;Polls & Surveys	Anyone else as addicted to House Hunters as I am?	N/A
20090306163056AAw5blu	Entertainment & Music;Polls & Surveys	Are parachutes over-rated?	N/A
20090306163046AAdK12b	Entertainment & Music;Music;Rap and Hip-Hop	Are there any rap lyrics thats make you cringe?	For me one that sticks out the most is Prodigy's verse on the track "Pearly Gates"
20090306163033AA43vdI	Entertainment & Music;Polls & Surveys	Do you see any visible scars on me?	I've been in R & S all day.
20090306163124AA6F9p2	Entertainment & Music;Music;Other - Music	What's the name of this song? 10 pts!?	Okay. So I heard this song playing in Forever 21. It goes kinda like:      I'm somethingsomethin relationships   Something something my eclipse      It could be sung by a black lady. Sounds like it but I really don't know! Sorry for extreme lack of detail..It's really bothering me!!!      thanks!
20090306161613AAIdOXI	Entertainment & Music;Celebrities	Do you think Angelina Jolie is ugly?	I think she is ugly!!!!!!!! But like everyone else i know thinks she just soo hott when she is sooo nott!!!!!!
20090306163118AAjStLU	Entertainment & Music;Comics & Animation	What did you guys think of naruto chapter 438 manga?	just wondering
20090306161729AAa59uL	Entertainment & Music;Polls & Surveys	FACEBOOK GEEKS LOL HELPPP?	okk i really need your help   how come i cant add my High school as a network   iv edit my profile to where i recently live   and noting it wont let me      its says its invalid   but i know my high school as a network      please help   4 minutes ago - 4
20090306162951AAxAq3v	Entertainment & Music;Polls & Surveys	Whats you favorite Napolean dynamite moment.?	Mine is when they are in rexwondo and kip does a roundhouse sweep kick and gets slapped in the head.
20090306161826AAdZLyh	Entertainment & Music;Music;Rock and Pop	All time low/fall out boy/hey monday/cobra starship concert?	okay so me and my friend are getting tickets to this concert^! its general admission, so there is the whole empty floor, and then like stadium seats going around the arena thing. We want to try to avoid getting smushed by mosh pitters and crowd surfers because we are only 14, but we are HUGH FANS OF ATL so we still want to be able to see them!!!!!!!!!!!!!!!! where would you suggest sitting? and how early should we get there to get those spots?   thanks(:
20090306163028AAOaGyr	Entertainment & Music;Music;Rap and Hip-Hop	Which do you prefer Mainstream or Underground?	Which do you like better & why?      Anyone like both?
20090306161724AAR84V1	Entertainment & Music;Polls & Surveys	What exactly is in love potion #9?	N/A
20090306162048AArEv3m	Entertainment & Music;Music;Other - Music	What is your favorite 6 year period of music?	mine is 87-93
20090306161030AA5Ul6W	Entertainment & Music;Polls & Surveys	Let me go i didnt do anything?	N/A
20090306162422AAGAd63	Entertainment & Music;Polls & Surveys	What do you enjoy doing more than anything else?	N/A
20090306162949AA5VTaL	Entertainment & Music;Polls & Surveys	Whos your favorite member of Quest Crew ( ABDC Champions ) ?	it can be more than one. give some detail whyy. (:
20090306162916AAlVAba	Entertainment & Music;Polls & Surveys	Will listening to Lil' Wayne make a moment intimate?	N/A
20090306161518AAzqYEk	Entertainment & Music;Music;Rock and Pop	Who would you rather make mad passionate love to, kelly or the stooges after a long sweaty day of partying?	your choice hoss
20090306161606AANHVB6	Entertainment & Music;Polls & Surveys	*What would you say if you saw this girl walk past you on the street?	 http://i298.photobucket.com/albums/mm248... 
20090306161631AAXjOlU	Entertainment & Music;Polls & Surveys	Did you realise your a champion?	Anyways.   I heard Kanye West is racist      is this true?
20090306162039AAudXz8	Entertainment & Music;Comics & Animation	Ten points to anyone who can tell me who this cartoon is?	 http://i42.tinypic.com/11b2ntc.png 
20090306162127AAGO5aC	Entertainment & Music;Polls & Surveys	How do you look cool?	(in YOUR oppinion)
20090306162324AAB9okC	Entertainment & Music;Polls & Surveys	What would you do if....?	Hannah Montana showed up at your house/
20090306162429AAqK2Or	Entertainment & Music;Music;Other - Music	Which scale is this? A B D E F G G#?	Recently, I've learned to play a song in an unusual scale.  The notes are A, B, D, E, F, G, and G#; denoted as half-steps, the intervals go 2-3-2-1-2-1-1.  It sounds similar to a pentatonic scale, only much gloomier.  Any idea which scale this is?      I'd also like to note that I don't know the root note.  The scale could actually go B D E F G G# A, or D E F G G# A B, etc.
20090306162921AASMJzA	Entertainment & Music;Polls & Surveys	If you were a girl and had the nicest body ever what would you do?	N/A
20090306163050AAA8pjA	Entertainment & Music;Music;Singing	What is the new r&b artist its a black girl singing sounds like jasmine sullivan?	N/A
20090306163106AAQMEkB	Entertainment & Music;Polls & Surveys	Hannah or Miley???????????	soo the hannah montana movie is comin to theaters, an i just wanted to know, who do think she will choose to be in the end, Miley or hannah?? im not for sure on which she will choose, soo i wanna see what every one else says!!   Thanks,   Bubbles
20090306165740AAP3jR8	Entertainment & Music;Polls & Surveys	What do you think of this picture?	I was bored and I got it off of the Internet.       http://www.quotesarcade.com/comments/fun... 
20090306170648AACbM1P	Entertainment & Music;Polls & Surveys	Survey: Would you rather be a man's jock strap or a woman's sandal?	If you were confronted by some evil scientist who only gave you two choices of what he will turn you into. I would have to go with the latter...      Guy sweat smells like ***
20090306170522AAUSNdk	Entertainment & Music;Polls & Surveys	Survey for everyone to answer?	1 are you a man or woman   2 are you going to sleep in tomorrow   3 are you barefoot now   4 are you at home now   5 are you glad spring is almost here   6 are you watching tv now   7 do you have a job   8 thank you for answering and have a nice weekend
20090306163651AAcnEgq	Entertainment & Music;Polls & Surveys	What comes to your mind when I say.....?	Fireman.
20090306163958AA2Fz7a	Entertainment & Music;Music;Rock and Pop	R&P: You all will probably dislike this artist.....[details]?	But what is your opinion on this kickass artist, Santigold? People label her as 'R&B', but I don't think she is. She is influenced by bands such as The Pixies and Blondie and genres such as New Wave. I heard one of her songs in Forever 21 at least twice, and I thought it was a pretty good song, considering the trash of today. She  is often compared to M.I.A.       'Creator' (This is the song that I heard in Forever 21)    http://www.youtube.com/watch?v=AXpZi4I4G...       'L.E.S. Artistes'    http://www.youtube.com/watch?v=kCeZzW54a...       What do you guys think of the songs? Do you think Santigold is talented?
20090306170136AAuMFGf	Entertainment & Music;Polls & Surveys	Poll: Are you glad that you have an Asian-brand car?	N/A
20090306165419AAvsGle	Entertainment & Music;Polls & Surveys	Who is Al Kohall, and why does he get blamed for so many things?	N/A
20090306163319AAPOXzQ	Entertainment & Music;Polls & Surveys	Poll: Do you think my bookie would take a half eaten cookie and some belly button lint as a downpayment?	Spread betting...Its not a spread if you don't spread it evenly      : (
20090306165941AAnFgRV	Entertainment & Music;Polls & Surveys	Fashion poll:  Do you know anyone who has ever been on What Not To Wear?	I would love to go on that show.
20090306165354AAxwN1i	Entertainment & Music;Polls & Surveys	How do you WASH your Teeth and Tongue?	N/A
20090306165435AA3haby	Entertainment & Music;Polls & Surveys	Random survey :D just SO bored?	Can you copy and paste the question, the one I like most will get best answer!      1) Are you afraid of heights?   2) What is your most fave fave store? (only 1)   3) What style are you?   4) Are your eyes brown?   5) What color is your room? (walls)   6) Do you mark stuff on your calandar?   7) Do you wear makeup?   8) Is your hair brown, black, or red? (you don't have to say which color)   9) Do you like MacDonalds?   10) Is your computer slow?   Thanks for taking the survey!
20090306170621AA2G0aL	Entertainment & Music;Polls & Surveys	WHAT ARE SOME EXPERIMENTS THAT...?	What are some experiments I can do at my school that have to do with psychology. You see, I want it to be unnoticeable, though.. Any ideas ma peeps?
20090306165342AAzwt1m	Entertainment & Music;Polls & Surveys	Have you got a full set of teeth?	Thought I'd join in...
20090306165039AAfeoDQ	Entertainment & Music;Polls & Surveys	What do you prefer??????????	prison break or lost?   who is your favorite character?
20090306165624AAQALpG	Entertainment & Music;Polls & Surveys	Whats your fave bodywash?	ty to all help =)
20090306165701AALVvsV	Entertainment & Music;Polls & Surveys	Brunch or lunch mmmmmmmm :p?	N/A
20090306165737AAfqnU7	Entertainment & Music;Polls & Surveys	Poll: What would you like me to call you?	N/A
20090306170523AAtX1Du	Entertainment & Music;Polls & Surveys	Poll: What do you think of when I say?	" What do you think of when I say?"
20090306170354AAiN3U9	Entertainment & Music;Polls & Surveys	Poll: Are you picky about picking your nose?	N/A
20090306165046AAi7nUu	Entertainment & Music;Polls & Surveys	Poll: quick what comes to mind when I say...?	I love you ^_^
20090306165436AAgMNwS	Entertainment & Music;Polls & Surveys	Poll:I Google myself......?	A.More often than once a day.   B.Once a day or something close.   C.Every week or so, or maybe every month.   D.Several times each year.   E.Once was enough.   F.Why would I google myself?     G.I have never googled myself.
20090306163320AAca3cY	Entertainment & Music;Polls & Surveys	Got a question about a song (could u rate it)?	i discovered this song on the internet, its actually good, its funnier to those who know it      pliz watch, nothin offensive, its not long, nothing to worry about       http://www.youtube.com/watch?v=JoGNpkmlT... 
20090306165553AATRaFy	Entertainment & Music;Polls & Surveys	WTF, How can there be nothing on here?	I just clicked on Polls and Surveys and there was a yellow box which said "Nothing on here at the moment, Why don't you ask a question?" That's never happened before, why now?
20090306165312AAfcDEs	Entertainment & Music;Comics & Animation	What chapter of the Naruto Manga is Naruto Shippuden 99 in?	Kay so i want to start reading the Naruto manga but i dont want to start from the beginning.  What chapter of the Naruto manga is Naruto SHIPPUDEN 99 in?  THANKS
20090306165627AAQaLyQ	Entertainment & Music;Polls & Surveys	Have you ever gotten your feelings hurt on YahooAnswers?	Sometimes what people say ruins my dayy..=(
20090306165522AAQbXzd	Entertainment & Music;Celebrities	Who's The Least Beautiful / Hot Female Singer Right Now?	I think she is-       http://i271.photobucket.com/albums/jj159...        http://www.hitsusa.com/1-good-ones/amy-w... 
20090306163902AAFBtZl	Entertainment & Music;Television;Soap Operas	Taylor Swift Fans Please answer......?	I heard that she was gonna be on some crime show, can any one please tell me what show it is and when it will be on. I Absolutely love Taylor Swift, so  please let me know.
20090306170053AAaZTAd	Entertainment & Music;Polls & Surveys	What nickname do you use for McDonalds?	After I have a few other answers I will give mine.
20090306163612AAuwZ1x	Entertainment & Music;Polls & Surveys	Poll:Do u like or dislike cotton candy?	N/A
20090306163857AAd7UVO	Entertainment & Music;Polls & Surveys	What are you drinking right now?	N/A
20090306165039AAA8pyt	Entertainment & Music;Polls & Surveys	Are there any MALE fans of the Jonas Brothers here?	N/A
20090306164545AAR5Xzk	Entertainment & Music;Celebrities	What's with Lady GaGa's "Cherry Cherry Boom Boom"?	It's so stupid.   Why does she say it on every single song of hers?
20090306165702AAKkVvj	Entertainment & Music;Polls & Surveys	When someone posts an off-the-wall question...?	do you ever answer with "You stepped in what?"
20090306165152AA95rAw	Entertainment & Music;Polls & Surveys	Would a synecdoche or a proclitic be the best superlative when used with an ellipsis?	Or would they cause Hal Atosis to get hot under the collar and become Hal A. Penio?
20090306164004AAKjRoT	Entertainment & Music;Polls & Surveys	If I chugged un-popped popcorn, would it pop in my belly and make me look pregnant?	N/A
20090306163724AAyL7bD	Entertainment & Music;Polls & Surveys	Poll: Anyone else remember?	Digimon? If you do who was your favorite digimon and character?
20090306170709AACZEBw	Entertainment & Music;Polls & Surveys	Who else agrees with me?	Why is everyone crazy over the twilight books? They weren't even that great. Its started to piss me off. And i bet a twilight fan is going to erase this question. Who agrees that twilight sucks?
20090306170220AAbVxR7	Entertainment & Music;Polls & Surveys	Camping concern.......kinda?	The pole in my tent colasped....what are some remidies.
20090306170038AAYjtmS	Entertainment & Music;Polls & Surveys	Is there anything better than proving the manager an idiot on Friday afternoon?	sweet, sweet sarcasm
20090306165732AAmyLoK	Entertainment & Music;Comics & Animation	Saiunkoku monogatari season 3?	i keep hearing that its coming out this year but when?
20090306170602AACHyg3	Entertainment & Music;Polls & Surveys	In what way has beef stroganoff changed your life?	N/A
20090306163933AAkyObz	Entertainment & Music;Polls & Surveys	Do you think you could go one full day without looking in a mirror?	i honestly do not think i could.    my english teacher asked us this today; so i wondered what you guys thoughtt :D
20090306164656AAR8IyB	Entertainment & Music;Movies	Is there going to be a pirates of the carribean 4 movie?	N/A
20090306163914AArAVWP	Entertainment & Music;Polls & Surveys	What food says summertime to you?	For me, there's nothing that says summertime like watermelon!!
20090306170342AAdZ1R8	Entertainment & Music;Polls & Surveys	WHAT DO you have an obsession with?	I love paper...yes paper!
20090306165930AACK0uQ	Entertainment & Music;Polls & Surveys	Poll: don't you hate it when people use AIM talk in real life?	like OMG! its gets so annoying that sometimes i just say G2G TTYL!      ..come on now. speak like educated human   =]
20090306163346AA0wOKD	Entertainment & Music;Music;Other - Music	Whats a good ROCK song about...?	Whats a good rock or metal song about loving someone who has no clue?   Or about loving someone you could never be with/couldnt tell them?
20090306170148AAeqlUw	Entertainment & Music;Polls & Surveys	When was the last time you were truly, completely happy with your life?	N/A
20090306170730AAKELJF	Entertainment & Music;Polls & Surveys	Does any part on your body currently hurt?	Would you like a massage ? =]
20090306170335AAl0v7a	Entertainment & Music;Polls & Surveys	Am I the only one who hopes the world will end in 2012?	N/A
