20090205034623AAQPWUQ	Games & Recreation;Video & Online Games	Is this team strong enough for Pearl?	Infernape 86  Staraptor 60 Palkia 49   Tentecruel 45 Prinplup 35 Luminienon 41
20090205044039AA534d9	Games & Recreation;Other - Games & Recreation	Does any one know how to be prone on the floor?	i just want to learn how
20090205044317AA7mEO8	Games & Recreation;Video & Online Games	Are there any games like the sims?	but with no censors?? i saw a game like the sims with no censors but forget wat its called!!! plzzzzzzzzzz help
20090205044731AAAOmTB	Games & Recreation;Video & Online Games	My daughter got a Nintendo DS for Xmas. It has another slot for Game boy games; is that G/Boy Advanced only?	N/A
20090205044835AA5URCn	Games & Recreation;Video & Online Games	Need meez codes plz....?	does any body know any new meez cheat codes
20090205044950AAg8YWO	Games & Recreation;Video & Online Games	Is there any good gears of war 2 tip sites?	I am a beginner and i need a site to help me out playing the game any suggestions to a site.
20090205050300AArZROc	Games & Recreation;Video & Online Games	I need a COD 5 screenshot!?	i need the screenshot of the russian guy slicing up a nazi at end of game.  can someone please tell me where i can find it... thanks!!
20090205045053AAgAtK5	Games & Recreation;Other - Games & Recreation	What is that little game called..?	when there are gophers and holes and the gophers come out of the holes but you have to try to hit them with a plastic hammer?
20090205045409AAkgMUg	Games & Recreation;Video & Online Games	Secrect ingredient in the degenhard quest ff xi?	what is the secret ingredient in the Degenhard quest in final fantasy XI
20090205050315AAlCuaz	Games & Recreation;Video & Online Games	FFXI how do i do the (Bastok) (Geological Survey Mission)?	its the second mission in the game in Final Fantasy XI
20090205051051AALFyOZ	Games & Recreation;Video & Online Games	How do i fix my game?	How do i fix my far cry 2 cd for the 360. I borrowed it to a Friend and wen he gave it back it wouldn't work anymore. I try to load where i was n it gets stuck. other than dat online works but i want to beat the campaign. how do i fix it n those the paste thing work? Thanks :D
20090205045944AABaXxB	Games & Recreation;Video & Online Games	Do you think call of duty 6 will have?	any maps from call of duty 4. if you had a choice to bring back 1 map from call of duty 4, to call of duty 6 what would it be      mine would be crash
20090205050417AAvOkUA	Games & Recreation;Video & Online Games	How do i open flash drive content on ps3?	okaay i stuck the flash drive in.  now what? i don't see any options to open my stuff.    help please =]
20090205050552AAkjV85	Games & Recreation;Video & Online Games	Pokemmon Gold Emulator Help?	Two quick questions.      How do I use cheats on my Pokemon Gold Rom (I have a VBA)      Where can I find an english version of Pokemon Crystal?      Thanks
20090205050900AA1T7d0	Games & Recreation;Video & Online Games	Battleon trainer Plz!!!?	Is there a working battleon trainer?
20090205050923AAe5qyj	Games & Recreation;Hobbies & Crafts	Sewing machine won't do zigzag stitch?	Pulled out my Kenmore 28 (bought in 1990 I think) for a student to use.  It will not do any of the stitches except straight.  When I change the setting, the needle shifts to the left but just sews a straight stitch.  Is this expensive/difficult to fix?  It is my backup machine.
20090205052212AAZBNHS	Games & Recreation;Video & Online Games	New Nintendo Dsi, will R4DS work on it?	Will the old R4DS work on the soon to be out new ds?
20090205054429AAeJCDa	Games & Recreation;Video & Online Games	Does anyone know where/how i can download the instructions for?	Does anyone know where/how i can download the instructions for Smackdown vs Raw 09 on Wii, as my sons lost the guide that came with it! And now they get stuck ....Thanks
20090205063641AATB34S	Games & Recreation;Video & Online Games	Does anyone have any good cjeats for lovley lisa ds?	N/A
20090205063722AA42jxb	Games & Recreation;Video & Online Games	Does anyone have some good cheats for harvest moon ds?	N/A
20090205062943AABabHg	Games & Recreation;Video & Online Games	Where do you get real art for the mueseam in animal crossing for the ds?	N/A
20090205053836AAkgd3F	Games & Recreation;Video & Online Games	Killzone 2 demo??????@@?	so its suppose to be released Feb5,2009. but itried it this morning and it said the code is not valid!!!! =/ its pissing me off....does anyone no whats wrong or if the psn store hasnt updated yet??and what time does it?
20090205061510AASN3He	Games & Recreation;Video & Online Games	Why is red alert 3 shows no server in gamespy arcade?	i been trying to get it working but no servers why? thanks
20090205053442AAJXR8s	Games & Recreation;Card Games	I need a good Card Game Maker?	I want a card game maker where i can make a card game and post it online with my own simple attacks, health, etc. I would like it also to be very simple, please do not tell me Byond. Thnx.
20090205062635AAm2fQp	Games & Recreation;Video & Online Games	Xbox 360: when will the transfer update for fifa 09 come out?	N/A
20090205054309AAEO9GE	Games & Recreation;Video & Online Games	How do I download FREE games?	First what sites do you use   Second whats mmorpg   Third will it download to a jump drive insted of computer...   Forth any negitive effects...
20090205060851AAgmnTs	Games & Recreation;Video & Online Games	Is it worth buying the game Star Wars: The Force Unleashed for xbox 360, is it a good game?	Shuld I or shuldn't I?
20090205052943AAM5Rwu	Games & Recreation;Video & Online Games	My xbox keeps saying network disconnetced  and theres nothing wrong with my internet connection.what is wrong?	i can get into the game but after a few minutes it will disconect
20090205054703AAcAB7Z	Games & Recreation;Video & Online Games	Will there be a metal gear solid 5.?	Does anyone know if there will be a metal gear solid 5. I have been a huge fan since the 1st one for psone and I think I speak for everyone when I say that mgs4 was rediculously awesome. If anyone knows please let me know. Thanks a lot.
20090205054243AAApnQB	Games & Recreation;Video & Online Games	Xbox 360 i dont no what to do?	i want 2 get my xbox360 flashed cos i can buy games 4 ￡5 from a friend and they cant be traced but it voids the warranty    what would you do if you had the chance plz help im so confused
20090205053910AA0weXI	Games & Recreation;Video & Online Games	Why are my Sims 2 Videos not working on Movie Maker?	I've posted this questions a couple of times now but I haven't had any great answers. I've video-d my sims on sims 2 using the Video tool, obviously. But when I put them In movie maker only the sound is coming out. They are AVI's, which i know is a video file, but if i click properties it says its an Audio file. What shall I do? I often make Sims 2 vids and i'm lost without bein able to! Help me please!
20090205064426AAa0e7o	Games & Recreation;Other - Games & Recreation	Pokemon pearl trade help?	could some one please trade and then trade back with me so that i can get a haunter to evolve into gengar? i have some starter pokemon i could give you if you help me.
20090205055332AANbUyN	Games & Recreation;Video & Online Games	Can you hire more than 1 person in godfather 2 the game?	Because i didnt seem realy when you only had one friend with you. You know.
20090205064224AAk4pGv	Games & Recreation;Video & Online Games	Anyone liked Runescape?	There is a game called Cheatskape  Its like runescape but its way cooler and free membership stuff  its all free and fun  If you want to play just message me and ill help you get it     MSN::Weird.puppet@hotmail.com
20090205063153AAL3zRq	Games & Recreation;Other - Games & Recreation	Should i get a new PC to play games on or a games console?	im in the UK      the PC i have is broken, can't fix it      should i:   a) get a new PC, ￡800 or $1169   b) get a games console instead ￡300 or $438
20090205062606AAxQ6HC	Games & Recreation;Video & Online Games	Legened of zelda twilight, Cave of ordeals level 48 or 47.?	3 elite darknuts or normal darknuts.   can someone give me some help.   i can't get them to 1v1 me.
20090205052913AAKxjH3	Games & Recreation;Other - Games & Recreation	Can i put stories in my Apple itouch, like putting the stories of twilight that can be read in my notes?	N/A
20090205055302AAVPdJU	Games & Recreation;Video & Online Games	Music incoorperating codes and puzzles?	Which was a style of music that frequently incorporated codes or puzzles?    A. madrigal  B. responsorial  C. Ars Subtilier  D.Burgundian
20090205053402AAhAK0T	Games & Recreation;Other - Games & Recreation	How to get more rating on king?	N/A
20090205053754AAlDrZI	Games & Recreation;Video & Online Games	Do american Guitar hero/rock band instruments work on an English 360?	Basically I have an English 360 and I want to get guitar hero or Rock band (from an American website) and I was wondering if they would work...or not =S
20090205054042AAjyy7o	Games & Recreation;Gambling	Aboute lottery winner how deliver?	N/A
20090205054056AAFlM7k	Games & Recreation;Hobbies & Crafts	I have been looking for cotton fabric that has any kind of canadian motif...?	red and white maple leafs, or if it had canada printed on it. I am having a really hard time finding it online. want to make a scrub hat for a friend, and I am in the US. does anybody know where to find it?
20090205055619AAFC5nT	Games & Recreation;Board Games	What i this word? btw im playing hangman; _ _ _ _ _ _?	play hangman with me!!!
20090205054552AAm9AoX	Games & Recreation;Video & Online Games	Why cant i recover my password on runescape?	i have it filled out and it said great but it said something was wrong but idk what. i want to message the but i cant. i know my friend stole my password but he denies it. i want to know what to do i was a member too soi lost 10$ for a month of membership plzz help!!!!
20090205054745AAO9TEA	Games & Recreation;Other - Games & Recreation	Is a foosball ball solid plastic the whole way threw?	N/A
20090205054822AALkReI	Games & Recreation;Video & Online Games	How do you save in The Golden Compass PC Game?	In the pc game The Golden Compass, when you get to a checkpoint how do you save it? Sometimes on the side it says checkpoint and I presumed it was auto-save, but then next time when I wanted to play it when I clicked on load, it said that there was nothing saved. Am I doing something wrong?
20090205055052AAb8Hj9	Games & Recreation;Other - Games & Recreation	I am bored. entertain me?	tell me a joke or funny story. Or suggest a good website to visit, ANYTHING!!!!
20090205055415AAjtbTw	Games & Recreation;Card Games	Where can I buy a Bezique set in London?	Is there a good all-round games shop in London that might stock it?    many thanks!
20090205060457AAlqIDQ	Games & Recreation;Video & Online Games	What game would i buy???	hey guys i been wondering what are the best games u guys play(pc)?
20090205055820AAAOKmD	Games & Recreation;Video & Online Games	Why is assassins creed 18 plus?	I am thinking about buying assassins creed but it is 18 plus. Is it only because violence? I dont care about violence but is there something else that makes it 18 plus?
20090205061039AAZ0iMn	Games & Recreation;Video & Online Games	What game???, I need a good pc game!!!!!!!!!!!!!!!!!!!!!!!!!!…	I am searching for a pc game with good graphics. I want it to have some swordfighting and maybe some ship battleing.
20090205060036AA5HiT6	Games & Recreation;Other - Games & Recreation	How much can a 360 elite cast?	I need the price.
20090205060343AAFYAeL	Games & Recreation;Other - Games & Recreation	AMAZON KINDLE OWNERS?	Hello all, I am thinking about buying an Amzon Kindle but would like to know something,    How is the wear and tear of them? I mean, when I am reading a book I thrash it, but the good thing is about books is once I'm done I don't have to use it again to read something else.     So could someone please tell me how "tough" they are please.    Thanks alot for any help
20090205061556AAooGAr	Games & Recreation;Video & Online Games	Animal Crossing City Folk help please?	i know that to get your grass/snow to come back you have to skip ahead one day at a time. but do i actually have to load my game or just talk to rover then quit?
20090205061831AAJB45T	Games & Recreation;Video & Online Games	Does anyone know any similar 'games' to electroplankton on the ds?	love it!
20090205062234AA51zvK	Games & Recreation;Video & Online Games	Is it safe to pre-order Sims 3?	my friends and i luuuuuuv sims and sims2, and one of my friends is gunna pre-order it, but her mom wont get it unless she has proof that its safe. do any of you know? plz help!
20090205062504AAyLHhA	Games & Recreation;Video & Online Games	Where can i download Holly, Bridget and Kendra sims 2 characters? I cant download them from Sims resource?	N/A
20090205062636AAslXf7	Games & Recreation;Video & Online Games	Xbox 360 - Grid - gotta drive 'em all achievement?	I've completed the game, so most of the cars were driven through career mode. So the ones that wasn't driven i test drove for a mile, but i still have not got the achievement.       I have not downloaded the 8ball pack      I have also noticed that when I view the cars i have bonus cars availiable for USA and Europe but nothing for japan.   Even the writing that tells you how many cars you have driven while it is loading hasn't shown up for quite a while.      Any ideas?
20090205063052AAqYSSZ	Games & Recreation;Video & Online Games	My game will not play?	i got the game. on my card and now it will not play.
20090205063229AAVufZ1	Games & Recreation;Video & Online Games	What sports r going to b on Wii Sports: Resorts?	Does anyone kno wat sports games r gonna b  on th new Wii Sports???
20090205063402AAIRBcJ	Games & Recreation;Video & Online Games	Is the gaming industry releasing to many 1st person shoot em ups?	i mean i have an xbox 360 and i cant find anything but 1st person shoot em up or football games,   Even all the adverts are for these types of games      Can anyone tell me any decent games that arent these,   Games that were fun,frustrating and Over 20 hours of gameplay    ( i played fable 2 and got through it in about 9 hours)   Ive drifted away from the game scene since the fall of the dreamcast (so its be a long time)        p.s personal oppinion please no copy and pasting from a game websites
20090205063755AAHJwqY	Games & Recreation;Video & Online Games	Question about Left 4 Dead Point System (Versus Mode Only?)?	Last night I chose "Quick Match" or whatever is it and I realized I had joined what at first I thought was a Versus match (my team was getting points awarded). However, when we made it to the safe house we did not switch teams like a normal Versus match. So my question is - what's with the point system? It is because the person hosting the match has some sort of point system on their server?? Or are their particular matches that you can join which award points for completing certain tasks i.e. head shots, "no one becoming incapacitated after Boomer attack"??
20090205064659AAPFgOb	Games & Recreation;Video & Online Games	Help with Kingdom Hearts for PS2???	I am in Hollow Bastion and I have already defeated Riku for the first time after I get the keyblade back from him. I have also gone through the library and put all the books in the right place and I have put all the peices in the door so that I have access to the lift stop room. How do I get the treasure chests that are floating in the air in there and how do I get to other parts of the lift room besides the level that takes you down to the waterway and dungeon and up to the very top of the lift room where it dead ends?
20090205072156AARP8ZD	Games & Recreation;Board Games	WHich is the board game you've had the most fun playing , both as a child and now?	As a child mine was monopoly, now it y/a answers .lol. I'd say Trivial Pursuit.
20090205074237AA73Vw7	Games & Recreation;Other - Games & Recreation	Why didnt devil may cry 4 come with 2 disks?	ok i just got devil may cry spechiol edition its sopos to come with a second dick i didnt so i check it ther a second dick holder ther isint it is for the 360 i onaly got art book why didnt i get the spechiol dick man realy pisst love this game i could wach on youtube have to wait my my internet speed to come back so why  didnt i get it for 360 and im melbourne         PS        i fineshd  both mods started 5 days a go and got 1 million achivment and more *** me on xboxlive      curse seeker                  my youtube accountes name is JHgamer101
20090205074725AAQcVGr	Games & Recreation;Video & Online Games	Is the sims 3 still cummin out on the 20th feb 09 in the u.k?	 http://www.game.co.uk/PC/Strategy/Simula... 
20090205084307AAc5lSD	Games & Recreation;Video & Online Games	Who is in spider-man web of shadows?	N/A
20090205070220AAtonTg	Games & Recreation;Video & Online Games	Uploading from the sims 2?	how do i upload houses from sims 2 please be detailed and simple
20090205085015AAUgfZ1	Games & Recreation;Video & Online Games	Will the Sims 3 have a mod site?	i really love the Sims series and just wanted to know if the Sims 3 will have a mod site at which u can download custom content. I hope it does!
20090205075444AAJWiua	Games & Recreation;Video & Online Games	Where is the best site to view movies FREE online without signing up?	N/A
20090205081048AApklO7	Games & Recreation;Video & Online Games	Best Defenses to use in NCAA 09?	So I play NCAA Football online with Ohio State,  I usually win my games online because scoring isn't a problem with me. It's hold a team that i cannot do.  My games end like 35-27, or higher.  I find i run NB 3-3-5 (cover2 -man or cover3-zone) and 4-3 stack cover2-man or cover3........i usually don't get beat deep, but i let up 3-15 yards through the air, and on the ground  any where from negatives to about 3 yards..........
20090205083953AAe7RC9	Games & Recreation;Video & Online Games	Can u play emulators with ppl online?	i have zsnes emulator and working on getting MAME   has anybody played onlline with other ppl?
20090205085156AAzy8ol	Games & Recreation;Video & Online Games	PSP Home Page Glitch?	i recently got SOCOM ftb2 for my psp and the menu option to go to the home page keeps on popping up on its own while im playing the game.    any suggestions on how to fix this?
20090205070715AAFdYlm	Games & Recreation;Video & Online Games	Animal Crossing-Wild World...Tom Nook's Point System?	I need 20 points to gain membership. How much do I need to spend?    x
20090205070736AAIkgem	Games & Recreation;Video & Online Games	Wow, Should i Just quest on my hunter or make a new person?	ok, i have a 75 hunter night elf..i need major money,....should i continue on my hunter or should i make a new character to get to 70 and just keep making new toons .... and what are best money making proffesions..i have skinning and LW
20090205073701AApEFw8	Games & Recreation;Card Games	Hey plz rate my yugioh deck?	This is a dark deck:   Monsters:   Mad dog of darkness   The calculator   Beast of Talwar   Obsidian Dragon   Despair From the Dark   A man with wdjat   Baron of the Fiend sword   Breaker the magical warrior   Dark Magician X2   Gravitic Orb   Red eyes Black Dragon   Dark Effigy   Swift Gaia the fierce knight   Dark ruler Ha Des   Dark eradicator warlock   Dark assailant      Spells:   Reasoning   Hammer shot   tribute to the doomed   change of heart X2   mystical space typhoon   Symbols of duty   Misfortune   Different dimention capsule   sword fo the deep seated   axe of dispair   Block attack   Synchro Boost   Infinite cards      Traps:   Exchange of the spirit   Begone, Knave!   Draning shield   Negate attack   Minaturize   Scrap- Iron Scarecrow   Spellbinding circle      This is not ment for totaments i just need some more ideas of what to add. Thanks :)
20090205072228AAP1zha	Games & Recreation;Video & Online Games	How to put walls into the ground in halo 3?	so im a big forger and make alot of maps on foundry but i still havent found how to put double walls and fence walls into the ground. can any one help me out?
20090205070147AA7Izet	Games & Recreation;Video & Online Games	Overlord pc game install screen pictures?	on the overlord install screen for pc there are screenshots or artwork ... who is the woman with red/black wings and stripy outfit? shes so gothic and evil looking. shes awesome. who is that?? help!!!!!!!!!!
20090205070746AA4azsb	Games & Recreation;Video & Online Games	Whats you favourite Games Console??And game for it?	Or answer what your favorite games for any consoles      Sega Mega-drive - Shinobi, Sonic 2 ,James pond robocod,kid chameleon      Dreamcast - Grandia 2,Shenmue 1 , Sonic adventure 1 , jet set radio      Playstation - Parasite eve , Final fantasy 9 , Resident evil 2 , metal gear solid 1       Playstation 2 - Metal gear solid 2,Final fantasy 10,Manhunt,jak and daxter 1      i dont have a ps3,i dont like nintendo after the snes and I dont have enough Games for the 360 that i found i like
20090205074700AA7o0tu	Games & Recreation;Video & Online Games	Top 5 games to play on xbox 360?	I am bored at work and want to know what people think are the top 5 games to own and play on xbox 360. Please feel free to respond. +10 to whoever makes the best list. Thanks everyone.
20090205065219AAqL3kD	Games & Recreation;Gambling	I recieved  from Dr.ahmad Rasuna that i won worth of $250,000 dollar it is true?	N/A
