20060817050653AA4BKE1	Food & Drink;Beer, Wine & Spirits	Qual é a melhor bebida alcoolica???	E ai  pros  AA de plant?o qual a melhor?
20060920155217AAZ0DMB	Food & Drink;Beer, Wine & Spirits	Qual foi a pior(ou melhor)coisa que te aconteceu ou q vc fez durante uma cacha?ada?	N/A
20060922130318AAOqcTb	Food & Drink;Cooking & Recipes	Por que a banana nanica eh grande e naum nanica?	N/A
20060926095925AAWooWJ	Food & Drink;Cooking & Recipes	Quem tem receita de um delicioso Alfajor?	hummmm adorava um alfajor que vendia da turma da m?nica...mas acabou!!! agora estou em busca de uma receita t?o deliciosa quanto!!! quem tiver uma receitinha deliciosa!!!
20061003123504AAKlwNm	Food & Drink;Beer, Wine & Spirits	Você gosta de vinho?Que tipo?	Eu gosto muito do tipo suave,mas há quem prefira o seco...E vc ?
20090203084204AA7XCRo	Food & Drink;Cooking & Recipes	What are your favorite low carb recipes?	I have a friend that is on a low carb diet.      She has started the Atkins diet and is about to start her second week, where she can have a few more carbs. I'm not sure how many she is allowed after the two weeks of only 15 grams (1 serving).      I am just looking for great recipe she can do. She is a nurse and is pretty tired when she gets home at night.       She does like to cook before her shift starts (3 in the afternoon), but she does also need good recipes that are low carb for lunch but will keep her going.
20090203095651AAslTAO	Food & Drink;Cooking & Recipes	Another dish with lasagna?	do you serve anything else with your lasagna? i usually have a green salad... i was just looking for another idea
20090203094355AAvxc2h	Food & Drink;Other - Food & Drink	How do you like your eggs?	scramble, sunny side up,  hard boil, over easy, over medium, over hard, or an omlette.      i like mines scramble, over easy, and i love omlettes.            BTW..   Just in case if you don't know!!!      Sunny-side up is when the egg is cooked on one side && the other side is raw.      Over-easy is when the egg is cook on both sides but the the yolk in the center is not cooked.      Over-medium is when the egg is cook on both sides but the yolk in the center is kind of yolky / hard      Over-hard is when the egg is cook on both sides but the yolk in the center is hard or all the way cooked.
20090203084816AA7F0vB	Food & Drink;Other - Food & Drink	What are you making for dinner today? ?	I'm making Baked Chicken, Velveeta Macaroni and Cheese and Broccoli. Also, is it snowing where you live?
20061103171400AAe6aQY	Food & Drink;Other - Food & Drink	Quanto esta custando a dúzia dos ovos ai?	N/A
20090203095232AAmCsY4	Food & Drink;Other - Food & Drink	Why is there a light in the fridge and not in the freezer?	N/A
20061107110242AAHWCS8	Food & Drink;Other - Food & Drink	O p?o aumentou de pre?o onde vc compra?	Eles aproveitaram a mudan?a no jeito de vender pra dar o golpe? como se compra p?o onde vc mora? rs.
20061018180412AAlqea8	Food & Drink;Cooking & Recipes	Miojo, alguém aí sabe como preparar?	N/A
20061010092548AAcsC9f	Food & Drink;Cooking & Recipes	Alguem conhece uma sobremesa diferente e fácil de fazer?	Quero fazer uma sobremesa pra levar na casa da minha vó no feriado, mas preciso que seja uma receita fácil porque a cozinha n?o é muito minha amiga.
20061110112807AA5VAEK	Food & Drink;Beer, Wine & Spirits	O que vcs preferem: cerveja, refrigerante ou uma boa vodka???	N/A
20090203092448AAJECpa	Food & Drink;Cooking & Recipes	How do i make dry ice?	How do i make dry ice in home? Type it in step by step if there is a way to make it..
20061008182906AAdSwYp	Food & Drink;Other - Food & Drink	Bateu uma fome... o que a gente encontra na sua geladeira?	N/A
20061101101446AAQ910Z	Food & Drink;Cooking & Recipes	Como posso derreter o mel depois que ele cristaliza?	Já tentei colocar em banho maria mas depois que ele esfria volta a ficar cristalizado.
20061024184222AAFOEsk	Food & Drink;Vegetarian & Vegan	Se eu esganar uma alface é crime?	N/A
20090203095112AAQRbHU	Food & Drink;Other - Food & Drink	I want to eat sauces but i am afraid they'll get stuck in my throat, should i or shouldn't i?	Its mayo and i think its gone off, i know my questions are usually awesomely funny but i am serious this time..
20061103074633AAOVaaa	Food & Drink;Beer, Wine & Spirits	Na sua opini?o, qual é a melhor cerveja, e o chopp??	Pra mim é a skol e o chopp da brahma
20090203094659AARMI1A	Food & Drink;Other - Food & Drink	Is there anyone here who can 'take or leave' Marmite?  ?	The company tel us 'you either love it or you hate it'.      Just wondering if there if anyone out there who is ambivilent
20090203084048AABBs4R	Food & Drink;Cooking & Recipes	Can you thaw hamburger in the fridge and then put it in the freezer?	N/A
20090203095245AAl7d01	Food & Drink;Other - Food & Drink	Does cream cheese go bad overnight outside the fridge?	you see, i bought this bagel with cream cheese just now, but probably won't finish it all today. But there is no fridge here in my office and don't want to take it home.
20090203095837AA8tqG8	Food & Drink;Other - Food & Drink	Just cooked ready meal mash potato but left plastic container on and plastic is burnt.  should i eat the mash?	it tastes fine and i'm so hungry.      the plastic was a bit melted around the outside edges/
20061110110803AAnqmLZ	Food & Drink;Cooking & Recipes	Alguém aicurti samba, se n?o me diz por que?Eu sei que vai ser dificil dizer n?o pq a maioria dos dos brasile	gostam que eu sei.Pra mim o melhor som do Brasil...
20070209113545AA2Yb1J	Food & Drink;Other - Food & Drink	Vc está com FOME neste momento?	Fa?a seu pedido que a equipe do YR manda entregar onde vc estiver, agora mesmo. ................. kkk
20061213161939AAEfCqD	Food & Drink;Other - Food & Drink	O prato arroz com feij?o só se come no Brasil? é exclusividade dos brasileiros?	N/A
20070130091248AARXfsm	Food & Drink;Cooking & Recipes	Quem poderia me ensinar como se faz um bom torresmo?	Eu adoro torresmo e uma feijoada, um tutu a mineira sem torresmo é o mesmo que noite sem luar. De preferência o que tem pedacinhos de carne. Crock crock croc adoro tb este barulhinho.
20070216132430AAWsjrp	Food & Drink;Cooking & Recipes	Homens me ajudem! Meu marido disse que eu preciso me aprimorar na cozinha...?	O que ele quer dizer?    Eu me considero uma boa cozinheira, sera que eu nao sou?
20070223154626AAmXCu5	Food & Drink;Beer, Wine & Spirits	Dá pra fazer caldo de cana em casa?	N/A
20061217021159AAF5Ovs	Food & Drink;Other - Food & Drink	Bom dia, o q vcs est?o fazendo para preparar o natal?	N/A
20061204031928AAylzm7	Food & Drink;Other - Food & Drink	Qual o biscoito mais gosta?	Waffer, recheado....qual?Marcas.....qual?
20061114105202AAuyxFh	Food & Drink;Other - Food & Drink	Qual seu lanche preferido do MC?	N/A
20070312112834AAsA67u	Food & Drink;Beer, Wine & Spirits	Vc já cheirou coca?	TEM O MESMO CHEIRO DE PEPSI
20061214143753AAmKkTQ	Food & Drink;Other - Food & Drink	Posso jantar na sua casa , o que tem de bom..estou na  faculdade e morrendo de fome, a cantina da tia ..já era	N/A
20061213103640AAdSfxm	Food & Drink;Cooking & Recipes	Preciso da receita de um bolo chamado cuca  com uvas passas?	Este bolo é comum no rio grande do sul.
20070201090330AA8QEek	Food & Drink;Non-Alcoholic Drinks	Coca -cola , guaraná ou fanta?	N/A
20070125094715AA1ZeAl	Food & Drink;Other - Food & Drink	Qual o seu doce favorito?	Quando eu falo doce, eu falo desses q se compra em lanchonete, padaria, barzinho,etc. O meu sem dúvida é o chocolate (de preferencia c/ recheio de morango tipo sensa??o).
20070205092122AACq3JL	Food & Drink;Cooking & Recipes	Alguem sabe receita de biscoito de povilho?	N/A
20061119092849AAqPzxX	Food & Drink;Beer, Wine & Spirits	Qual destas marcas de cerveja é a sua preferida?... e acompanha com quê?	Brahma, Antártica, shcincariol, Super Bock, Cintra, Skol, Itaipava... ou outra???
20070211074212AAVmHjy	Food & Drink;Cooking & Recipes	Como se faz musse?????	Alguem tem uma receita de musse de chocolate?
20061214024514AAmhlLc	Food & Drink;Cooking & Recipes	é verdade q tem q colocar a?ucar no molho vermelho??	N/A
20070313130923AAxOSem	Food & Drink;Other - Food & Drink	Tudo sobre macarr?o talharim,por favor!?	N/A
20061120085705AACwZAI	Food & Drink;Vegetarian & Vegan	Pergunta para o " Mad-boca do inferno" .?	Se você é vegetariano mesmo, porquê respondeu isto, n?o entendeu o quê eu disse ?      N?o vou atirar pedras em você, primeiro porque babacas n?o merecem nem pedradas.   Depois, n?o vou assar meu cachorro, prefiro assar sua m?e.   O defunto que eu gostaria de assar seria você, mas prá dar pros porcos, que comem qualquer mer da.   Odeio bife.   Sou vegetariano convicto há mais de 20 anos.   Mas n?o sou imbecil como você      Se você lesse o que dizem dos vegetarianos em outras peguntas talvez concordasse comigo.    E n?o precisa assar minha m?e, ela já morreu. E n?o foi nada pessoal.
20061115100159AA6dfMe	Food & Drink;Other - Food & Drink	Fico sentado  respondendo estas perguntas e comendo chocolate,?	mas acabou o último peda?o,hoje é feriado e n?o posso comprar outro o que fa?o como rapadura picada ou vcs tem outra sugest?o.Mas coisa que n?o engorde,pois já estou com 150 quilos
20061115110125AAWWWJI	Food & Drink;Other - Food & Drink	Vc já observou como os consumidores de produtos diet  s?o gordos?	por isso n?o como nada diet  para continuar só com meus 150 quilos, to certo?
20061119095808AALJWvo	Food & Drink;Other - Food & Drink	Vc faz ou ja fez dietas malucas???	Conte-nos a respeito!!!
20061214095951AAd04bn	Food & Drink;Beer, Wine & Spirits	Festas!!!!! Qual será sua bebida?	Que bebida estará em suas festas no Natal e Revellion, um vinho especial, champagne, suco, água.....
20061212110940AA87K58	Food & Drink;Other - Food & Drink	Queimei minha mao com cafe,foi queimadura de 1°grau sera que vai ficar a mancha?	Queimei minha mao fazendo cafe,ela esta vermelha,quente,e um pouca inchada e cosando um pouco  nao deu bolhas foi queimadura de 1grau?Sera que vai ficar a mancha?Tem alguma coisa que é boa para cicatriza??o?Me ajudem
20070104111944AA10Ciw	Food & Drink;Beer, Wine & Spirits	Qual a melhor marca de vinho para tomar com a pessoa amada?	N/A
20070104165552AApGeHh	Food & Drink;Cooking & Recipes	Alguém conhece receita de marzipan (massa de amêndoas)?	A essência de amêndoa amarga é necessária para dar aquele gostinho?
20070201084614AApqiMC	Food & Drink;Cooking & Recipes	Nissin Miojo, sim ou n?o?	Eu adoro, e muitas pessoas tb.. combinam com queijo, presunto,atum comi o novo sabor calabresa picante, e adorei e você, gosta? detesta? qual a sua receita com macarr?o instantaneo nissim?
20070211072950AAhElAy	Food & Drink;Cooking & Recipes	Biscoito maizena?	oi alguem tem receita amanteigados de maizena pois perdi uma receita que tinha a muito tempo. era um biscoitinho de maizena que derretia na boca, mas nao era polvilho. era feito com maisena. se alguem tiver a receita ficarei grata.
20070222141014AAamuKJ	Food & Drink;Non-Alcoholic Drinks	Algum refrigerante é ado?ado com Stevia? Se n?o, algum suco?	Queria algo diferente de água para tomar, que engordasse pouco (ou nada), mas sem riscos de fazer mal à saúde.   Será que Sprite Zero (acho que tem ciclamato e sacarina) e H2OH (acho que esse seria melhor) n?o oferecem riscos?
20070312122016AAhoahk	Food & Drink;Other - Food & Drink	Vcs já viram cabe?a de bacalhau?	Seja sincero.
20090203103947AAkF9L1	Food & Drink;Cooking & Recipes	Can you help me create this recipe?	I plan on having spicy baked chicken tenderloins with rice for dinner and know what ingredients I want to use but am not sure how to put them all together.      Ingredients:   Chicken tenderloins   cajun seasoning   can of diced tomatoes with green peppers   white rice   monteray jack shredded cheese   hot sauce   and maybe bacon?      Will the monteray jack taste good with these ingredients?   How do I make this all work?
20090203103901AAzgRYF	Food & Drink;Other - Food & Drink	Would you ever eat this?	 http://www.nytimes.com/2009/01/28/dining...       a southern delight
20071022112029AAuBSZ5	Food & Drink;Other - Food & Drink	Qual seu doce, salgado prediletos? Aquele que vc n?o resiste nem a p.a.u?	N/A
20080305051659AAPVsA7	Food & Drink;Other - Food & Drink	Vc aprendeu a cozinhar com mam?e ou teve que aprender na ra?a?	Pq n?o aprendeu a cozinhar com a  mam?e?  rsrsrs
20070815090000AAJ8GbB	Food & Drink;Other - Food & Drink	Você já comeu JACARé? ou sucuri?	N/A
20070601175738AAmKF4C	Food & Drink;Other - Food & Drink	Qual fondue vc prefere: de queijo ou de chocolate...e para acompanhar ..qual bebida??	Vixie, tenho dúvida é assim q se escreve mesmo??? fondue,,,,
20080305025930AA0dA3V	Food & Drink;Ethnic Cuisine	Voc? gosta mais de canjica ou mungunzá?	N/A
20070329052534AAyIFgq	Food & Drink;Other - Food & Drink	O que voce mais gosta de comer no café da manh??	-Eu gosto de frutas   -Laranja, banana, abacaxi, acerola, manga.   -Depois, tome o leite com Toddy,   -P?o de forma em forma de Sandy Wish(queijo minas(go) e presunto defumado   -Café neg?o....  etc..   E voce?
20071003143337AAuHwWX	Food & Drink;Other - Food & Drink	Ei vc, vc mesmo?	Vc q adora refrigerantes a base de cola e tb chocolates, saibam q cálculos renais s?o provenientes muitas vezes por quem consomem esses produtos em excesso?
20070712102659AAGrgkN	Food & Drink;Cooking & Recipes	Alguém pode me dar uma receita de p?o de lo ?desde já agrade?o -lhe pela gentileza?	N/A
20070621121227AAMVJW5	Food & Drink;Other - Food & Drink	Qual é seu chocolate favorito (marca)?	Pode ser nacional ou importado.
20070515111552AACRl7F	Food & Drink;Other - Food & Drink	Voce ataca a geladeira a noite?	N/A
20070523114218AAbSoAf	Food & Drink;Cooking & Recipes	Bolinho de chuva é um doce que dá água na boca?	N/A
20070523121059AAKSCJC	Food & Drink;Beer, Wine & Spirits	Você faz muito fiasco quando exagera bas biritas??	E daí galerinha, contem aí o que vcs aprontam quando exageram...      A minha perdi??o é o celular, nossssssa ligo pra agenda masculina solteira inteira.. rsrsrsr...   Sem contar que quando ou?o um funk, nusssa ninguém me segura...   E pos aí vaí..   Contem as presepadas de vcs galeras???
20070329094924AAQ43ig	Food & Drink;Cooking & Recipes	Qual o melhor prato , fejoada ou inhoque ou Pizza?	N/A
20070320121903AAEGAJa	Food & Drink;Beer, Wine & Spirits	Beber uma garrafa de cerveja todo dia siginifica que sou alcólatra?	Em dias quentes n?o tem como resistir aquela loirinha geladinha, como ultimamente vem fazendo bastante calor estou bebendo pelo menos uma garrafa de cerveja quase todos os dias, será que por isso posso ser considerado alcólatra?
20090203101229AANJ1u6	Food & Drink;Cooking & Recipes	How many calories are in a bowl of homemade vegetable soup ?	2 slices of bread too.
20090203103917AAON4Qt	Food & Drink;Cooking & Recipes	What is your favourite cookery book?	Tell you what, I'm feeling generous, you can give three. Mine are:      Mediterranean cookbook by Arabella Boxer, published by Penguin.    The Roux brothers patisserie book   Elizabeth David's Italian food      Share yours with me please
20080909175126AAJRBLn	Food & Drink;Cooking & Recipes	Como vc gosta do seu omelete ?	Adoro meu omelete qdo coloco : espinafre, tomate, cebola, queijo mussarella, oregano e sazon ....   e vc qual seu ingrediente favorito para um delicioso omelete ????   bj
20090203103516AARDe62	Food & Drink;Cooking & Recipes	Tres Leches Cake w/ Bananas?	Does anyone no  a cake like tres leches but its like a banana bread?
20090203105240AAvetpz	Food & Drink;Other - Food & Drink	Which is nicer oreos and mik or digestives and tea?	there both yummy!
20090203103517AAkbUFs	Food & Drink;Cooking & Recipes	What is the best accompaniment to Buffalo Wings?	My boyfriend likes neither blue cheese nor celery.Any suggestions?
20090203104507AAVf7YJ	Food & Drink;Other - Food & Drink	Alka seltzer does it need to be dissolved in water or can i put it in something else? The taste is nasty.?	N/A
20080215161548AAOBekz	Food & Drink;Other - Food & Drink	Vc gosta e come pizza?	N/A
20070530105226AAPwCCi	Food & Drink;Cooking & Recipes	To com fome?	vou preparar uma macarronada agora leva:   linguica calabresa, beringela, molho de tomate, tempero a gosto, mangericao....   alguem tá servido?   tá com vontade de comer o ?   hehehe
20080617183020AAJn7K4	Food & Drink;Beer, Wine & Spirits	No Frio que vc gosta mais de tomar?Quent?oxVinho Quente?	N/A
20081211092728AAVwOpm	Food & Drink;Other - Food & Drink	O que vc n?o pode deixar de comer na ceia de natal?	Eu n?o resisto ao bolinho de bacalhau que minha m?e faz.   é indispensável,já a rabanada eu gosto do dia seguinte.
20070926173541AAKhkzs	Food & Drink;Cooking & Recipes	Alguém conhece aquele gostoso maionese de "XIS BURGER" que fazem em lancherias?	Como se faz?
20070930190909AA9lzle	Food & Drink;Other - Food & Drink	Qual é sua comida favorita e por que?	N/A
20070329104331AARghIk	Food & Drink;Beer, Wine & Spirits	Qual vc gosta vinho tinto ou vinho branco, porque?	N/A
20070927164510AAA0AH6	Food & Drink;Other - Food & Drink	Comer pipoca todos os dias faz bem?	E pipoca feita com azeite é melhor que com óleo?
20071019093626AARgr7b	Food & Drink;Other - Food & Drink	Você conhece alguém que come fígado de boi cru?	Minha amiga me contou que adora fígado bovino cru. Fiquei t?o perplexa que resolvi pesquisar quantas pessoas comem e gostam desse prato t?o exótico...!!!   Por favor, colaborem com a pesquisa.
20080324100008AAwZQPc	Food & Drink;Other - Food & Drink	O que fa?o! Tenho 18 anos e ganhei um ovo de pascoa do meu namorado das meninas super poderosas e n?o gostei??	N/A
20080331102659AAVnZOe	Food & Drink;Beer, Wine & Spirits	O que é gin? sei que é um tipo de bebida.?	me ajudem a treinar o meu pessoal por favor
20080401122748AAvHiMI	Food & Drink;Ethnic Cuisine	Qual é minha comida favorita?	N/A
20090203111324AADqIEt	Food & Drink;Cooking & Recipes	What should I do with this leftover french onion dip?	I don't want to eat it with chips...I had my fill of that on Super Sunday! I'm making a meat loaf and mashed potatoes for dinner...should I add it to one of those? Has anyone ever tried that? Thanks!!!
20090203111710AA9ZpmE	Food & Drink;Other - Food & Drink	Who likes homemade tacos?	i do. i eat 5 of them evertime
20090203111419AAcOfCY	Food & Drink;Cooking & Recipes	How do you make Croutons ??	I was wondering how you make croutins that you have in soup?      Thanks x =D      ???VΣ?
20060719122119AAKPXiM	Food & Drink;Cooking & Recipes	O que eu fa?o hoje no jantar?	N/A
20060620092027AAP74pQ	Food & Drink;Other - Food & Drink	Por que o queijo suí?o é todo furadinho ?	N/A
20060615134728AAIYBdT	Food & Drink;Cooking & Recipes	Como se  faz algod?o doce?	N/A
20060703124226AAMF7h4	Food & Drink;Other - Food & Drink	Qual o segredo de "Tostines"?	N/A
20090203111056AAiA7nV	Food & Drink;Other - Food & Drink	What does water taste like?	N/A
20090203111158AAiccEe	Food & Drink;Other - Food & Drink	Is it weird I don't like cheese?	I'm just not fond of it some times I eat those goldfish cheese crackers but except for that I hate other things having cheese, where as my brother is a cheesaholic and puts it on EVERYTHING. Am I the only one who doesn't like it?
20090203111308AAe1Pr3	Food & Drink;Cooking & Recipes	What can i do with a galaxy chocolate truffle mixture that won't hardened enough to make truffles out of?	i think it's still sticky because i didn't use dark chocolate and used galaxy instead   but i don't want it to go to waste so any ideas what i can do with it?   i wanted to make it into home made gifts for a friends birthday   x
20090203112715AAFN1XP	Food & Drink;Cooking & Recipes	Can I replace the icing sugar in MM fondant recipe for regular sugar?	N/A
20060613052536AA1EYNh	Food & Drink;Other - Food & Drink	O que é o a?úcar invertido?	Muitas embalagens de produtos industrializados se referem a este tipo de a?úcar, mas o que seria na prática?  1/a?úcar?  :)
