20080102150336AA8W6I0	Games & Recreation;Gambling	Yo no soy antisocial?	la sociedad es anti Yo??
20080323103105AAb0JJF	Games & Recreation;Video & Online Games	Can someone trade me a Mew on pokemon diamond(I have a legit Rayquaza Lv.71)?	Pleeeeeeaaase '3'
20080429091848AA5Xwaj	Games & Recreation;Video & Online Games	Gta 4??10 punti?	Come si fanno a immettere i trucchi sul cellulare di nico??   i trucchi li ho ma nn so kome immeterli
20080324205701AAPI0Zd	Games & Recreation;Other - Games & Recreation	Good juicy Truth questions?	Me and my boyfriend are playing truth or dare. Its  leaning more towards the truth and I'm finding out some really juicy screts about his past. I need more questions! Im running out of ideas and I need some fast :)
20080330211619AALH9AI	Games & Recreation;Video & Online Games	COD4 PS3 Online?	How good is cod4 online for the ps3. Do a lot of people play this game online for the ps3? Would it be better to play on the comp or is it just as good on the ps3?
20080403085603AA4mrSK	Games & Recreation;Other - Games & Recreation	Do la miglior risposta a chi risponde x ultimo !!!!!!!!!?	xd
20081011200649AA1StLT	Games & Recreation;Video & Online Games	How can i join a mall in neopets?	N/A
20081002112552AAqYFdK	Games & Recreation;Other - Games & Recreation	Sondaggio contagioso?	Quanti answerini hanno il raffreddore ?????         Oltre alla sottoscritta.....   xP
20080518070917AABCYUi	Games & Recreation;Other - Games & Recreation	Giokino ???	Ragazzi ecco un giokino semplicissimo !!!   Io ho pensato un numero da 1 a 100 ... ki indovina per primo vince !!! Se nessuno indovina darò i 10 punti a ki si è avvicinato di più ... se vi avvicinate allo stesso modo vince ki ha risposto per prima .... ok ??    ah e poi volevo sapere anche dove posso trovare la classifica dei giochi matematici del 17 maggio 2008 !! Sul sito non c'è !! grz 1000!!! E accendete stellineeee vi pregoooooooooooo
20080701090712AAwYhXp	Games & Recreation;Video & Online Games	How can you still be online on msn on your psp at ebuddy.com when putting the psp on sleep mode?	Everytime i sign on to aim or msn on my psp at ebudd.com, and i want to go somewhere and i put my psp on sleep and i come back my aim and msn are signed off..any way i can stay online if my psp turns off or if i put it to sleep? thank you very much!
20081011174507AAlD9sn	Games & Recreation;Video & Online Games	Problem with cracked version of Oblivion?	I'm have Oblivion, and I got a crack for it, so I don't need the CD.      It's been asking me for some file, but then I moved it into the contents of my Oblivion game, I opened it, and it worked for a second (there was a black screen in the top left of my computer with the heading 'Oblivion'), but then a second later, it said an error has occured and it will be shutting down. What should I do?
20080928163107AAJkQR3	Games & Recreation;Video & Online Games	Moving save files on your xbox 360?	I have a save file on a game called Oblivion, and it's on my old gamertag. Somehow that gamertag wasn't working so I made another. How do I get this save file to my new gamertag? I don't want to start all over. I only want the save file, not anything else.
20081001185431AAOXICM	Games & Recreation;Video & Online Games	Should I get the Xbox360 or PS3?	   good explanations on why or why not is preferred.   And what are their costs right now?   
20081006114308AAI6rn7	Games & Recreation;Video & Online Games	Vault Boy Image Needed.?	Can anyone find an image, high resolution preferrably, of the Fallout series Vault Boy with his thumbs up? It needs to be a full body shot and not the half body picture that seems to be far more common.       You can see a very small version of the picture in the top right of this picture:       http://fallout3.files.wordpress.com/2007... 
20080927190926AAXWD82	Games & Recreation;Video & Online Games	Headset adapter cable for Rock Band 2 drum set?	I bought the Rock Band 2 drum set yesterday, but there's no where for me to plug my headset in. By headset I mean the Xbox Live headset you use to talk to people, not the microphone.      I looked online and it said that the Rock Band 2 bundle came with a cable that allowed you to plug your headset into the drum set, but I bought the drum set on its own and I didn't find any cable in the box.      Can I buy it separately? Was it actually in the box but I just didn't see it?       Thanks in advance.
20080927082354AAHtuOV	Games & Recreation;Hobbies & Crafts	GP Gold RC helicopter problem? Plz look! If you have an rc helicopter.!?	My RC helicopter (CP Gold) keeps on spinning! When i give it a little throttle it spins anti-clockwise (to the left). It also tilts to the right, almost falling over whenever it is trying to take off! I crashes also when i give it enough throttle to lift off the ground. Can anyone help me?
20080620122813AAujyul	Games & Recreation;Card Games	Wccf?????????????????	devo sapere assolutamente quando usciranno le 2006/2007 in italia,poi se sapete indacarmi un sito dove vedere le nuove carte...
20080709160802AAcnwFv	Games & Recreation;Video & Online Games	Is there going to be?	is there going to be a third trilogy for star wars
20080520180918AApQLxL	Games & Recreation;Video & Online Games	Looking for a Spiderman game/software?	I remember as a kid I'd use a program that let me make these homemade 'Spiderman' movies. It was kind of like MS paint in that you could draw stuff and stamp trademark Spiderman characters too and then play it all back as a movie. You could use a mic to add voices too.. Sorry if that's incredibly vague.. it's just been a long, long time. I think it was before Windows XP came out.. or 2000
20080602134919AAroEkR	Games & Recreation;Other - Games & Recreation	Carlito clavo un clavito, cuantos clavitos clavo Carlito?	N/A
20080704161018AAhrqNU	Games & Recreation;Video & Online Games	The boolProp testingcheatsenabled in sims 2 won't work!!?	I've tried, repeatedly, in different lots and neighborhoods to make this cheat work and it won't. It did some time ago, but i have since had to removed corrupt custom content and now it won't. Can anyone *please* help?!
20080709212641AAVGhUl	Games & Recreation;Video & Online Games	How do u use the phone on grand theft auto 4?	N/A
20080709222701AASClo9	Games & Recreation;Video & Online Games	Where can i find weapons on grand theft auto 4?	N/A
20080724054304AAqV4Pj	Games & Recreation;Video & Online Games	Is there going to be a sequel to the world ends with you for ds?	N/A
20080926122649AAYmUNq	Games & Recreation;Card Games	Whats the point of the heart points that u get in the kingdom hearts tcg?	N/A
20080816133623AAh9rMB	Games & Recreation;Other - Games & Recreation	Chi di voi ha passato un estate di M  E  R  D  A  come la sottoscritta?	questa è veramente l'estate peggiore della mia vita: sono rimasta tutto il tempo a casa (logicamente non avendo niente da fare sto sempre al pc), sono andata UNA SOLA VOLTA al lido, non ho sentito per niente le mie amike........................... in + ho la preoccupazione del prossimo anno scolastico, nella quale avrò gli esami.... :( uffa... sono giù di morale.... poi le mie amike non rispondono mai ai miei sms :-(((( il fatto mi preoccupa... spesso nel gruppo, si cambiano in fretta i giudizi degli altri, e si viene "cacciati" senza motivo... :( ho paura.. molta paura.... e sono annoiata, triste e rpeoccupata! lo sn stata da 2 mesi...
20080909164644AA3GEdo	Games & Recreation;Hobbies & Crafts	?que harias en mi caso?	estoy en un colegio que soy nuevo y derrepente a los profesores se les ocurre hacer paro por 15 dias nadie te  ha dado su correo vienes de otro pais estas en tu casa que harias para entretenerte esto mepasa a mi xd 
20080926063300AAo1h6Y	Games & Recreation;Video & Online Games	Sims 2 Pets Error, help?	When I try to load Sims 2 Pets, I keep getting an error message that says, "A problem occurred when trying to transfer file 'H:\Support\European Help Files\Pol\My_game_fails_to_start.htm' from the media."      what do i do?
20081001183105AADuK3i	Games & Recreation;Gambling	What are dime betters?	I keep seeing something with bookies. When they talk about dime betters I wondering what they are refering to. Anyone know what it means? Thanks
20090227172227AAStmIj	Games & Recreation;Other - Games & Recreation	Truth or dare...??????????????????????	OKAY I CANT THINK OF ANYMORE TRUTH OR DARE ?S. WE ARE ONLY LIKE 13 SO NOTHING PERSONAL LIKE FLASHING AN STUFF BUT I WANT SOME JUICY ANSWERS , U KNO...AND I WANT SOME DARES THAT WILL B FUN TO DO, FUN TO WATCH , AND OUT OF THE ORDINARY...THANX      AT LEAST GIVE ONE!! PLZ!
20081028151412AAOcjTd	Games & Recreation;Gambling	Age required to enter a casino in Biloxi Mississippi?	What is the age required to gamble?   What is the age required to enter a casino?   In Biloxi Mississippi?
20090227170510AAwL2Br	Games & Recreation;Gambling	Why do casino's have tanning booths in them?	I thought maybe it was just some sort of weird thing that they did where i live, but i walked past yet another casino with a tanning section in it today, and i thought enough is enough, ive got to ask somebody this. What the frick is the association between gambling and tanning?
20090227171940AAlhbMm	Games & Recreation;Card Games	Experts on yugioh only plz. If i have 3 lord of d's in my deck how many flute of summonings should be in it?	N/A
20090227172755AA3VGNL	Games & Recreation;Gambling	At a blackjack table, Whats the difference between "soft 17" and "hard 17"?	and what other rules and variations could be used in blackjack? Which one is better for the players?
20090227172141AAywbFk	Games & Recreation;Hobbies & Crafts	How do you make a fire really hot for blacksmithing use?	I'm trying to make knives out of railroad spike and I can't get the spike hot enough to flatten it out very much. I've tried using anthracite coal, bituminous coal, charcoal, and wood as possible fuel sources. I am currently using charcoal and wood and I am using a leaf blower as my bellows. Am I doing something wrong? Please help!
20081216125754AAmsNGy	Games & Recreation;Video & Online Games	Final Fantasy 7 (PS1) Story?	I didn't really understand the story of final fantasy 7 for the ps1. someone told me sephiroth was a ghost in some parts and i got all kinds of confused. Now that the expansion and other games have like crisis are out i haven't been able to play them to better understand.      so can someone sum up the story where i can understand but not sarcastic like "well you meet aerith she dies, you fight, and a comet nearly hits the planet." (report you dammit) please include some detail . like the turks and so forth.   also if you wanna add things like side notes from other games like, "we learned in crisis that....." it would be a big help.
20090227173000AARbHxw	Games & Recreation;Hobbies & Crafts	Having trouble printing scrapbook page at Costco.com?	I have some 12"x12" digital scrapbook layouts that I would like to print. Someone recommended using Costco's 12"x18" service to get the job done. However, when I load my digital layout, the site crops it to photo ratio...instead of having a 12"x12" layout with a few inches of white space, my layout fills the whole page and a lot of it is cropped off. Does anyone know how to make this work?
20081113035342AAJmCrd	Games & Recreation;Video & Online Games	What is your favourite game and why?	By game im talking about electronic games, compture, xbox,ps, etc etc.
20090227165932AAs4hSv	Games & Recreation;Toys	Whats this bath toy called ?	Its blue &  attaches to the tubs tap, you put bubbles in it and they multiply. It also comes with this soap you can mold and play with then use to wash.   I've seen it on TV Theres a website too.      Whats this called ?    XD      10 POINTS CORRECT ANSWER!!!! ??      Thankies! ?
20090227172318AA5YwPs	Games & Recreation;Video & Online Games	How do I put downloaded item for the sims original onto the game?	N/A
20090227165832AA7nzBc	Games & Recreation;Toys	Does anyone know where I can get a CHUCKY DOLL?	does anyone know where I can get a CHUCKY DOLL?
20081020133916AAb1jP7	Games & Recreation;Toys	What are some good affordable lego sets for ages 16+?	N/A
20090227171326AAGFBs5	Games & Recreation;Hobbies & Crafts	Could you help with ideas for a photo collage?	So far I have pictures of:   cats   horses   Twilight (the book/movie)   fairies   dragons   rain (like raindrops and stuff)   dogs   starry night   Since (after listing these things) could you think of some topics I could find a picture for? Sorry if this is a little vague since you dont exactly know me, but you can like infer from what I'm using =D
20090227170859AA63weL	Games & Recreation;Video & Online Games	Why do you have to pay for xbox live and not play station?	I don't want any stupid bias or anything like that if there's an answer i'd like it. if not tell me there isn't one i don't want any cause ps is better or vise versa.
20090227171907AARqWEb	Games & Recreation;Video & Online Games	Question regarding the Sims 2...?	 http://www.jd-movies.com/allmenus.php    ^^ I have been trying to do that, but I don't have the "config" folder! Can someone send it to:      mperkins97@yahoo.com      I've searched my computer, and everything!! But it isn't there :O I'm so agitated! I cant make one! That's too hard!      Please and thank you!!!
20090227171857AAOK1W7	Games & Recreation;Video & Online Games	What is your all time favorite racing game?	I mean any kind of racing video game from pole position on the old Atari, to Nascar 2009.
20090227171942AAFNcxT	Games & Recreation;Hobbies & Crafts	What are some good activities to do when you live in the Suburbs, on the weekend?	I live in a very metro-politan area, while 2 minutes' drive down the road is the beautiful countryside! X) I just want some ideas, thank you! X)
20081019101147AARt1ww	Games & Recreation;Video & Online Games	In Pokemon Leaf Green, where can you find a metal coat?	Help pleaseeee.
20090227170410AAxQ33R	Games & Recreation;Card Games	I was thinking about making a gladiator beast deck and i was wondering how much it will cost to make the deck.?	A price range would be nice.
20090227172949AAl9tWz	Games & Recreation;Video & Online Games	What are some very fun Online multiplayer games Other than VFK, Habbo, or runescape?	PleaSE I NEED A FUN GAME
20081105172911AAFJdO5	Games & Recreation;Other - Games & Recreation	Im a 16 female wat would be some good website for me to go on ? As in games info on things and just fun stuff!?	N/A
20081111190933AAKUA4q	Games & Recreation;Video & Online Games	How can i spruce up my house in fallout 3?	i have a house in megaton and i want to spruce it up. and i dont mean getting stuff at the craterside supply (themes, infirmary, workbench) i mea items like, garden gnomes, teddy bears and nuka cola trucks. got any ideas and where i can find them?
20081031150647AA4wSpq	Games & Recreation;Video & Online Games	Do i have to lower it to blue? Harvest Moon Cute Question?	I didnt go to skye's blue heart event and now he has a green heart   Should i lower it to blue and then trigger the blue heart event?   Or should I just keep going?   
20081024165008AAf7Vxi	Games & Recreation;Video & Online Games	Casino questions from harvest moon cute?	1. When you play the games what does double up mean?   2. How can i get medals quickly?
20081022223220AAXWxPL	Games & Recreation;Video & Online Games	Questions about Harvest Moon Cute ?	heheh..   yes i know i have asked q's about it before but i forgot some other questions i wanted to ask   1. What is the bar will the orange stuff in it under the sprite team's name when your aqquiring them for a job? And what does it mean for your dog cat and horse?   2. When do i get a horse?    
20081019134539AAajkdp	Games & Recreation;Video & Online Games	Questions about Harvest Moon Cute ?	I have some questions         1. How do i get the love bangle? I know that you have to get it from that harvest sprite but he's not selling it.   2. When you cook something you have before, and they talk about the changes, what does FR and SN mean? I think its those letters but what do they mean?   3. How many harvest sprites do i need to have to marry?   4. How can i get my character to stop getting tired quickly?   5. Is there any faster way in winning skye's heart?
20081128102120AAAdSyP	Games & Recreation;Video & Online Games	My sims 2 game (for mac) wont play on my macbook?	i got sims 2 maybe 2 years ago for my mac mini and it worked fine (with a few minor problems) but it still worked. recently i got a macbook and everytime i try to install the game on it it doesnt work for some reason... it says theres not enough room or i dont have something to support the game or something... do i have to get a new game? i dont want too... whats wrong with it? and i have alot of memory/room... thanks!
20090119165956AAMamTP	Games & Recreation;Video & Online Games	Internet Game Help Please?	Hey there guys. Im trying to play a flash game and I am using the arrow keys. Whenever I press a key, it interacts with the game but also moves the page around. Any help?
20081107075431AAqDjPK	Games & Recreation;Video & Online Games	Enchanted Arms Questions?	I have the PS3 game and I was going through trying to find the Orbs that open the Holy Beast Shrines and can't seem to find any. The only one I have is the Earth Orb. Can someone please tell me where I can find the other three. I know I have passes by them but for the life of me I can't remember.    Thanks!
20081022135008AAVFuqF	Games & Recreation;Video & Online Games	I wan to get a new game for my wii should i get spider man web of shadows or naruto clash revolution 2?	N/A
20081017063720AAOcXT7	Games & Recreation;Video & Online Games	Which is better to get guitar hero 3 or rock band?	for the x-box 360
20081019085657AA6JniP	Games & Recreation;Video & Online Games	How do i escape the cage in one of the missions?	N/A
20081106185548AAnjV8t	Games & Recreation;Other - Games & Recreation	Where do you get a leaf stone and metal coat in Pokemon Crystal?	is it possible to get the metal coat before the elite four?
20081021165831AAxgMoF	Games & Recreation;Video & Online Games	How do I get medals from the casino in Harvest Moon Cute?	The sprite in the casino tells me that I have to buy medals from the "bottom left counter" and then the sprite names Guts tells me that I can't do anything because I don't have any medals. How do I get medals to play the casino games and hire sprites?!
20081030221347AA1Qd3V	Games & Recreation;Hobbies & Crafts	Threading a Singer Simple sewing machine?	Hello. I can't find my manual and the picture instructions are for the most part, useless. I've no earthly idea how to thread the silly machine. My mom has gotten it mostly done, but we can't remember how to thread the needle - the thread is just hanging down,  parallel to it. Help?
20081109224219AAvo5VB	Games & Recreation;Video & Online Games	Need free rs account?	i am needing a new acc because my owner and pure lvl 107 was owned in bh by zezima(yea, the true and real zezima). If ur wondering what happened, my friend knows zezima and he dared me to go into bh with all my stuff and beat zezima. Zezima owned me with corrupt dragon(?) and well i was a pure range and i was owned. I am giving away 2 accounts lvled 10(full steel with black 2h) and 22(full mith with mith scimmy).
20081111172943AAKw91l	Games & Recreation;Video & Online Games	How Do I make my Shop On Neopets Have all the Little buttons and pictures?	I look at all the stores on Neopets at the Marketplace and I want my store to be in the Marketplace and have all those buttond that say the different categories. How do i make my store like that?
20081116075606AAJySqp	Games & Recreation;Video & Online Games	Neopets!beauty contest?	i entered the beauty contest but i never win so could u please vote for my neopets and judge it about whats wrong with it or corrections   heres link    http://www.neopets.com/beauty/details.ph...     http://www.neopets.com/beauty/details.ph... 
20081119080754AAihumT	Games & Recreation;Video & Online Games	What is the hardest song on Guitar Hero World Tour?	I'm too cheap to buy the game right now, but am looking to in the near future. Looking to find out the most difficult songs on the game. (on expert of course)
20090130100803AAtnEgP	Games & Recreation;Video & Online Games	Voti a questi gioki per Xbox 360 (miei)?	Viva Pinata   Need for Speed: Most Wanted   Surf's Up   Seg@ Superstar Tennis
20090227170737AAAO0iO	Games & Recreation;Gambling	Anyone have the numbers for Sun-times scratch 2 win for the dates Feb, 14-17?	N/A
20090227171403AAQokPp	Games & Recreation;Video & Online Games	What class is the best power leveling class for WOW?	ok i want to start wow and i dont know what is easiest to level up on can someone help tell what is easiest to level plzzz!!! asap!!!!
20090227172026AAOsFBw	Games & Recreation;Card Games	Yu-Gi-Oh! Cards Similar to Nightmare Tri Mirror?	Is there any Yu-Gi-Oh! cards similar to nightmare tri mirror?
20090227172127AAMJ4wf	Games & Recreation;Hobbies & Crafts	When crocheting, what do i do after joining?	do i continue to crochet around the circle of do i make it flat?
20090227172750AAQMmXy	Games & Recreation;Video & Online Games	How to tell if your copy of spore has DRM on it?	I just got a copy of spore galactic edition and i was wondering if it has drm on it
20090227172841AAcGkbN	Games & Recreation;Video & Online Games	Looking to buy a 50 in halo 3?	If u have a 50 in atleast team slayer or doubles...send me a message.       Trust me i know how the process works and i only want someone who has done this before.      No comments or criticism, just reply.
20090227173452AAYGxfL	Games & Recreation;Video & Online Games	If you had a wii and wanted a new video game system, which one would you get?	I only ask because both ps3 and xbox are supposed to come down in price. xbox has better online but no wireless and blue ray, and ps3 has fewer games, and not as good but free online play.
20090227181038AA5DxO4	Games & Recreation;Video & Online Games	How to download Mario Kart 64  for Mac?	I've seen people playing it on their computers, and can't figure out how to download it correctly. Can anyone help?
20090227173302AAFQ4Kz	Games & Recreation;Video & Online Games	Are there any Great tricks or cheat codes i could use to get better at Fallout 3?	i kinda suck at it...a lot, and i just don't get how i can quickly level up.
20060619094818AAgBWXN	Games & Recreation;Video & Online Games	How much would i have to trade in to get a DS lite?	i have the old DS, animal crossing, madden 06, and super mario 64 DS and i was wondering how much stuff i would have to trade in for a DS Lite
20061113141949AAD6DGn	Games & Recreation;Video & Online Games	I have a psp and was wondering if any1 had an opinion of which nba game to buy.?	my picks are leaning toward either nba live 07 or nba 07 also rate the game if you can for graphics, gameplay, and value and also give overall  thanks
20070307155023AAevFjJ	Games & Recreation;Hobbies & Crafts	Alguien me puede dar instrucciones de como hacer una silvatana?????????????????????…	N/A
20070528025917AAGDEmn	Games & Recreation;Other - Games & Recreation	Avete presente i vari concorsi?	Quelli dove si vincono viaggi..automobili ecc..quelli che si vedono anche in tv, conoscete qualcuno che ha mai vinto qualcosa voi?
20070613100638AAPCs8x	Games & Recreation;Video & Online Games	Mi sapete dire se x il gioco "buzz-the sports quiz" occorrono le pulsantiere?	si puo giocare col joistick? x "buzz-the big quiz" ci vogliono le pulsantiere! ma x quello dello sport?...   x favore rispondetemi....grazie
20070603021357AARAcKX	Games & Recreation;Video & Online Games	Aiuto installazione!!!!?	non so se lo posso dire ma ho scaricato un gioco da emule e adesso ci sono una marea di cartelle e non so come installarlo!!   i dareste una mano grazie 1000
20061223201509AATA0hd	Games & Recreation;Video & Online Games	Hey gamers xbox?	hey can you guys give me codes for need for speed underground 2???
20090227174928AAtK6Z8	Games & Recreation;Toys	Do they give you a random bakugan card when you buy a bakugan?	N/A
20090227180059AA9NK1O	Games & Recreation;Video & Online Games	When is sims 3 coming out?	I really want to know when the sims 3 is coming out.
20070412210337AAZcOlz	Games & Recreation;Video & Online Games	Grand theft auto san andreas... where is that one mini bike located at??? i cant find any mini bikes at all.?	help me please i want to find any mini bike at all in this game can u help me please? just post the location or how to get a pocket rocket/minibike ty guys so much if u post locations
20070413221644AAKjiLL	Games & Recreation;Video & Online Games	Where can i download Grand Theft Auto San Andreas from the internet that actually WORKS???	where can i download Grand Theft Auto San Andreas from the internet that actually WORKS??? and wont take hours apon hours to download? please post ty guys so much who ever does post with a link or somthing.
20090227175448AAKnUO4	Games & Recreation;Video & Online Games	Would this work when transferring a character to a different account in WoW?	I would like to transfer my character to my friend's account, but our personal information is different on each account, of course. So can I change my friend's personal info so that it's possible for me to transfer my character to his account?
20090227175040AAs6Fhf	Games & Recreation;Video & Online Games	When I try to play neopets "keyquest" there is only a white screen, but the music still plays? help?	Key quest works perfectly fine on my desktop computer, but not on my laptop. whats the deal here?
20090227174809AAYgdKV	Games & Recreation;Card Games	Where do I find yugioh gx episodes 156-180?	N/A
20090227174442AAXCx7r	Games & Recreation;Video & Online Games	How do you get a drill on clubpenguin?	On ClubPenguin, you can get a drill. I was just wondering if you could get a drill still and how? Help? Best answer WILL be picked!
20090227180627AAWcOVG	Games & Recreation;Hobbies & Crafts	What type of ribbon do you use to make Korker bows?	I am gunna start making korker bows for my daughter but I don't know what type of ribbon I'm supposed to use. I don't want to get the wrong ribbon when I start to bake it in the oven!! please help! thanks!
20090227174024AAAM5WT	Games & Recreation;Video & Online Games	Video Card drivers are out of date, could this be reducing my frame rate on WoW?	I have a NVIDIA GeForce 7000M / nForce 610M and i just found out my drivers are out of date, can anyone link me to a website, i tried a few, that didn't work, to try get hold of it.      Recently my WoW frame rate has been like 4 or 5 fps and its getting to the point where im playing less, could it be my video card drivers?      thanks, Liz x
20070306113849AAHQf0a	Games & Recreation;Board Games	Palabras en espa?ol que empiecen con "W" o contengan esta letra?	me encanta jugar al scrabble de mesa pero siempre tengo problemas con la letra "w" ya que no encuentro donde ponerla, solamente con la palabra kiwi (ya sea la fruta o el animal) ya que segun las reglas no puedo poner wisky ni otra extranjera. ah! tienen que ser palabras que aparezcan en el diccionario de la real academia espa?ola ya que siempre que jugamos tenemos la pagina de la RAE a mano para aclarar cualquier duda. desde ya muchisimas gracias
20090227175120AABJK1y	Games & Recreation;Video & Online Games	RUNESCAPE?????????????????????…	how do u make dragon bars to make dragon items      like i can make iron platelegs with an iron bar      is it possible to make dragon bars?
20090227180049AA7mArZ	Games & Recreation;Other - Games & Recreation	What are thoughts on the game  Spore?	N/A
20070106093006AAUbJWM	Games & Recreation;Other - Games & Recreation	What do you think of this websit  http://hollithesidecardog.com? 	any suggestions for improvements, what would draw people to look at it!!!
20070121180934AAclu7G	Games & Recreation;Video & Online Games	Why are my videos so choppy on you tube?	I have fast internet speed, time warner and I have tried firefox and internet explorer, neither have made a difference, look for yourself, any suggestions?  http://youtube.com/user/foxyraley 
20070408150203AA4vk0G	Games & Recreation;Other - Games & Recreation	Webkinz Clubhouse?	Where is it???
20090227174409AAQhdWU	Games & Recreation;Card Games	Is this a good Magic card?	i just started magic the gathering and i got a intro deck that came with one of those 15 card booster packs and then i also got 7 of the 6 card booster packs and i was wondering if at the body right corner of the card it has a number the / then another number. well it has 8/8. is that a good card?
20090227181105AAKp3SO	Games & Recreation;Video & Online Games	Are there any games like world of war-craft for the ps3?	im not asking if there is going to be a world of war-craft game out for the ps3, im asking if there are similar games like world of war-craft for ps3
20061224195743AAM0IG0	Games & Recreation;Video & Online Games	Why does my Sims 2 game keep crashing?	I took a test and it said that I need a better video card. I don't want to have buy another video card. Is it happening for another reason possibly?
20090227175159AAaNsZT	Games & Recreation;Video & Online Games	When does the sims 3 get out?	apparently i heard that it was supposed to come out this month but i haven't seen it? is that right???
20061228004429AAwWdhD	Games & Recreation;Video & Online Games	I have the minimum requirements but nfs underground is still not running.Why?	An error in speed.exe is occurring when i start the game and the game gets closed. Any way by which i can run the game?
20070515191545AAzsKTy	Games & Recreation;Video & Online Games	Do anyone know the answers to the medic quiz or Special Forces Training quiz on america's army?	N/A
20060614141039AAml2Ss	Games & Recreation;Video & Online Games	How do you get the secrets menu in the incredibles rise of the underminer?	N/A
